"Title","Year","Source title","Link","Abstract"
"Mental Health in the Association of Working Environment Stress and Work Performance among Aviation Crew Members: A Nationwide Cross-sectional Study","2026","Asian Journal of Social Health and Behavior","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018886907&partnerID=40&md5=79a33b3ff0309db578fbf6ac1bed0257","Introduction: Aviation crew members often face high work stress, which is under-researched. This study investigates the association between working environment stress and work performance among aviation crew members while examining the mediating role of mental health. Methods: A total of 19,137 aviation crew members (61.6% male), with a mean age of 32.2 ± 6.2 years, were included in the analysis. Working environment stress, anxiety, and depression were measured by the Nordic Work Psychiatry and Social Factors Questionnaire (QPS-Nordic), 7-item Generalized Anxiety Disorder Scale, and 9-item Patient Health Questionnaire, respectively. Use the single item in the Health and Work Performance Questionnaire to evaluate work performance. Unordered logistic regression analyzed the relationship between working environment stress and work performance, whereas mediation analysis examined the role of anxiety and depression. Results: Results showed that 51.6% of aviation crew members reported medium to high levels of working environment stress, with 7.3% showing anxiety and 11.7% experiencing depression. Compared to low stress, moderate stress increased the odds of poor work performance by 2.38 times (odds ratio [OR] =2.38, 95% confidence interval [CI]: 2.17–2.61), and high stress by 2.48 times (OR = 2.48, 95% CI: 2.17–2.83). Higher working environment stress was linked to increased risks of anxiety and depression, which mediated 68.2% and 71.8% of the relationship between working environment stress and work performance, respectively. Conclusion: High working environment stress among aviation crew can lower work performance, mediated by anxiety and depression. Prioritizing mental health and stress management is crucial to prevent negative impacts. © 2025 Asian Journal of Social Health and Behavior."
"Measuring cognitive load by a score-based causal network model with multichannel physiological signals","2026","Neurocomputing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018855554&partnerID=40&md5=f56c7e39b72c09dfc45652f7fe20ccba","Cognitive load significantly affects performance in safety-sensitive fields like aviation, where excessive cognitive demands are linked to increased operational errors and heightened risks. However, cognitive load measurement faces the challenge of neglecting spatio-temporal and causal dependencies in multi-channel physiological signals. We present a score-based causal representation model that captures causal structural diversity and spatio-temporal dependencies within single channels and inter-dependencies among multiple channels. By optimizing a score-based causal function under causal Markov property constraints, the model disentangles latent spatio-temporal features into causal and task-irrelevant groups. Experimental results on two public and one in-house dataset show our model significantly outperforms state-of-the-art methods. © 2025 Elsevier B.V."
"Investigating Transfer of Input Device Practice on Psychomotor Performance in an Aviation Selection Test","2026","Human Factors","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015970457&partnerID=40&md5=6b4730182b5b5c7122bc768a2487ce30","Objective: We explored transfer of learning from brief practice with different input devices in the Navy’s Performance Based Measures Battery (PBM), a psychomotor subset of the Aviation Selection Test Battery (ASTB). Background: The PBM is a set of computerized tests used as a part of the ASTB to select aviators in the U.S. military. Official practice is not available, leading candidates to practice with unofficial re-creations and with or without access to the stick and throttle used on the PBM. Method: Our between-subjects study with 152 cadets from the U.S. Military Academy evaluated the impact of mouse/keyboard or stick/throttle practice on the psychomotor portions of the PBM compared to a control group that was only presented with an informational video. Results: The results showed that practice with either input device resulted in improved performance relative to control on the PBM’s two-dimensional airplane tracking task (ATT). For the simpler vertical tracking task (VTT), the mouse/keyboard group showed significantly worse performance than either stick/throttle practice or control groups, indicating a transfer cost from practicing with an alternative input device. Conclusion: The results suggest that becoming familiar with the unique dynamics of the ATT may be more important than practicing with the appropriate input device. Conversely, device-specific motor learning appears to be a more impactful determinant of performance for the simpler VTT. This indicates that transfer effects from alternative input devices depend in part on properties of the task. Application: This research can inform practice policies for psychomotor test selection. © 2025 Human Factors and Ergonomics Society"
"Impact of Experience on Cognitive Load and Physiological Responses in Aviation Pilots","2026","Lecture Notes in Computer Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013059832&partnerID=40&md5=36bf18f7aca8d13b5205282361916dd0","This study explores the impact of aviation experience on cognitive and physiological responses during simulated flight scenarios, focusing on heart rate, cognitive workload, and facial temperature. This research builds on previous studies showing how experience helps manage stress and cognitive demands in aviation. We did two experiments at different times divided into two experience groups: Experts, consisting of licensed pilots and pilot engineers, and Novices, including individuals with and without simulation experience. Participants completed Airbus A320 takeoff simulations under normal and emergency conditions. The study employed a Split-Plot Design, with experience level as the between-subjects factor and flight scenarios as the within-subjects factor, comprising two rounds of six scenarios repeated twice. Results reveal that experts exhibited lower stress levels and cognitive demands than novices, especially in high-pressure conditions. Furthermore, a learning curve effect was evident, as repeated exposure reduced stress and improved performance for all participants. These findings underscore the importance of experience in managing cognitive and physiological demands, offering actionable insights for designing pilot training programs that emphasize gradual exposure and stress management to enhance safety and adaptability. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026."
"Heat of the Moment: Exploring the Influence of Stress and Workload on Facial Temperature Dynamics","2026","Lecture Notes in Computer Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013048341&partnerID=40&md5=25f695a20bc185beb9035a11b1cae8d9","In high-stress aviation environments, maintaining optimal pilot performance is critical for flight safety. This study investigates the relationship between cognitive workload, stress, and facial thermal responses during simulated Airbus A320 takeoff procedures. Utilizing a multimodal approach, facial thermography, heart rate monitoring, and EEG-derived workload measures were recorded from ten participants—five with and five without prior simulation experience—while they navigated 12 distinct flight scenarios comprising both standard and engine failure conditions. The experimental design featured two rounds of simulation tasks interleaved with rest periods to capture both cooling (during task performance and stress) and warming (rest and recovery) phases. Results revealed that elevated cognitive workload induced significant cooling across the nose, forehead, and cheeks, with the nasal region exhibiting the most rapid and pronounced temperature decline. These thermal changes were synchronized with increases in heart rate and subjective workload ratings, thereby validating the use of facial thermography as an objective, real-time indicator of stress. Additionally, preliminary analyses suggest that individual differences, such as prior simulation experience, moderate the magnitude of these physiological responses. The findings underscore the potential of integrating facial thermal imaging into cockpit monitoring systems as an early warning mechanism for cognitive overload. Future work should focus on refining critical temperature thresholds and exploring real-world applicability to further enhance pilot training and operational safety. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026."
"Research on optimization of exhaust structure and exhaust noise reduction for an aviation piston two-stroke engine","2026","Aerospace Science and Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012990583&partnerID=40&md5=0c7a11ed427808a02999963ebcb14762","The two-stroke engine has emerged as the predominant power source for drones due to its distinctive advantages. However, the operational principles of these engines generate significant exhaust noise, which compromises both the stealth capabilities of drones and human physical and mental health. The installation of a muffler in two-stroke engines can increase back pressure within the cylinder, leading to a reduction in power output. To optimize the balance between power performance and noise reduction in two-stroke engines, this study focuses on an aviation piston two-stroke engine as the subject of investigation. By developing a comprehensive flow model of the engine, it undertakes a detailed analysis of the exhaust flow characteristics and energy properties within the exhaust pipe and muffler, which integrate the scavenging, combustion, and exhaust processes. This approach enables the identification of the dissipation pattern of exhaust energy throughout the entire flow domain. A genetic optimization algorithm is utilized to design the engine's exhaust structure, and a detailed mechanism analysis of the exhaust system was performed via 3D acoustics and fluid dynamics simulations. The findings reveal that, compared to conventional mufflers, the optimized muffler developed in this study achieves a noise reduction of 41.7 dB, while the power loss decreases from 16.6 % to 5.6 %. This research confirms the viability of employing genetic algorithms to optimize exhaust structures, offering a novel approach to the design of exhaust systems in two-stroke engines. © 2025 Elsevier Masson SAS"
"Workload Analysis of Pilot During Single-Engine Failure Based on EEG Data","2025","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026446080&partnerID=40&md5=239007f10e62cc63b9d71f05a0de8dea","This study investigates cognitive workload assessment in aviation emergency scenarios using electroencephalography (EEG). Thirty-seven male cadet pilots performed single-engine failure tasks on the Chengdu Tianfu-Shuangliu route using a high-fidelity Airbus A320 simulator. EEG signals were recorded using a 32-channel Emotiv EPOC Flex system, from which 448 features were extracted across time-domain, frequency-domain, and nonlinear domains. Statistical screening yielded 379 significant features for analysis. Results demonstrated that electrophysiological changes were most pronounced in the central electrode Cz region, where high workload conditions were characterized by increased top five important features. Among five machine learning algorithms evaluated, gradient boosting-based methods significantly outperformed conventional machine learning approaches, with XGBoost achieving optimal performance at 80.1% accuracy. This study confirms the feasibility of real-time pilot cognitive workload monitoring using EEG-based approaches and demonstrates the superior performance of gradient boosting algorithms in physiological signal classification. © 2025 Copyright held by the owner/author(s)."
"Portable EEG-Based Emotion Recognition Utilizing Flexible Brain Electrodes for Hairless Regions","2025","IEEE Sensors Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020760977&partnerID=40&md5=e508bb5b54335d1074a6d9678079638a","Electroencephalogram (EEG)-based emotion recognition is crucial for understanding human behavior as well as individual mental health and social interactions. Currently, EEG-based emotion recognition is hindered by challenges with cumbersome equipment, complex procedures, and low recognition accuracy. Here, this study presents a novel method for portable EEG-based emotion recognition utilizing flexible electrodes on hairless scalp regions. First, flexible brain electrodes are prepared, aiming to enhance the comfort and convenience of emotional EEG signals in hairless regions. Furthermore, a hemisphere global convolutional neural network (HGCNN) model is designed to address the asymmetry between the left and right hemispheres of the cerebral cortex while overcoming challenges associated with limited channel availability in portable EEG-based emotion recognition. On the publicly available DEAP dataset, the HGCNN model achieved average recognition accuracies of 92.55% and 93.22% on the valence and arousal dimensions, respectively. In addition, on a specialized hairless emotion EEG dataset (HED), the HGCNN model attains an average recognition accuracy of 88%. Finally, combining virtual reality (VR) technology to simulate extreme environments, such as falling and weightlessness. Under these conditions, we collected emotional EEG signals and analyzed them utilizing the HGCNN model. The results show that the HGCNN model can effectively identify emotional fluctuations experienced by subjects over time, which is expected to promote the application of portable emotion EEG recognition technology in daily life and specialized extreme contexts such as aviation, aerospace, and maritime settings. © 2001-2012 IEEE."
"Public Health","2025","Alzheimer's and Dementia","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025739130&partnerID=40&md5=667e10222a385ea1692515c0d8fbcc5c","BACKGROUND: Environmental noise exposure is known to negatively affect both physical and mental health through various pathways. Given the heterogeneous findings in previous research, further investigation into the impact of environmental noise on brain health and cognitive function is crucial. This study explores the relationship between both objective and subjective residential noise exposure and cognitive functioning, as well as markers of brain damage, in a large adult population. The analysis also considers dementia risk factors and demographic variables for a comprehensive understanding. METHOD: Cross-sectional data on cognitive functioning and brain volumes (MRI markers) from 4,018 Dutch participants aged 40-75 from The Maastricht Study were matched with address-level noise exposure data (noise: from roads, railways, aviation, industry, and wind turbines) from the Geoscience and Health Cohort Consortium. Subjective noise exposure (traffic, work, and neighbor noise) was assessed via self-report questionnaires. Linear and non-linear relationships were explored using multiple regression analyses and restricted cubic splines, adjusted for air pollution, demographic and dementia risk factors. Pathways via hearing loss, daytime sleepiness, and depression were also assessed through interaction analyses. RESULT: Higher residential noise exposure was linked to lower white matter (WM) volume and higher cerebrospinal fluid (CSF) volume. An U-shaped relationship was observed between residential noise and grey matter (GM) volume. Objective noise exposure was not associated with cognitive function. Subjective noise exposure at work was associated with worse overall cognition, memory, and executive functioning and attention. Interaction analyses for hearing loss, daytime sleepiness, and depression did not alter the results. Sensitivity analyses revealed a significant positive interaction between objective noise and age for CSF volumes. CONCLUSION: Our findings indicate that higher residential noise exposure is associated with brain atrophy (lower WM and higher CSF volumes), while the relationship with GM was unexpected. Additionally, subjective noise exposure at work was linked to worse cognitive performance, suggesting a discrepancy between objective and subjective noise effects. Lastly, older individuals might be more vulnerable to the effects of noise exposure. Future research should explore factors such as housing quality, noise mitigation, and the potential threshold effects of noise exposure on brain health. © 2025 The Alzheimer's Association. Alzheimer's & Dementia published by Wiley Periodicals LLC on behalf of Alzheimer's Association."
"A cross-sectional study on the association between environmental residential noise exposure with cognitive functioning and structural markers of brain damage − The Maastricht study","2025","Environment International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024495446&partnerID=40&md5=2bf56adc8aadaf47a1fb303c7df816e5","Background Environmental noise negatively impacts physical and mental health, but its effects on brain health remain unclear. This study investigates associations between environmental noise exposure (objective and self-reported), cognitive functioning, and structural brain markers in a large adult population, while considering psychological, sensory, sociodemographic, and health-related modifiers. Methods Cross-sectional data from 4,023 participants (aged 40–75 years) in The Maastricht Study were matched with address-level noise data (roads, railways, aviation, industry, wind turbines) and self-reported noise exposure (traffic, work, neighbors). Cognitive functioning and brain-MRI markers were analyzed using linear/logistic regression and restricted cubic splines, adjusted for demographics, cardiometabolic/lifestyle factors, and air pollution. Modifying roles of sleepiness, depression, socioeconomic position, cardiometabolic health and hearing loss were assessed through interaction analyses. Results Objective noise exposure showed no association with cognitive function, while work-related noise was associated with worse overall cognition, memory, executive functioning, and information processing speed. Higher environmental noise was linked to lower white matter volume, higher cerebrospinal fluid volume, and a U-shaped relationship with grey matter volume. The association with cerebrospinal fluid was stronger in older individuals and those with cardiometabolic or lifestyle risk factors. Sleepiness, depression, and hearing loss did not modify results. Conclusion Higher environmental noise exposure is associated with more brain atrophy, while reported noise at work was linked to lower cognitive functioning. The U-shaped grey matter association may reflect compensatory or adaptive responses to extreme exposure. Findings highlight differences between objective and self-reported noise measures, sources, and indicate groups with higher vulnerability. © 2025 The Authors."
"The role of psychological stress in the subjective well-being of aviation ground crews: mediating effects of social support and self-esteem","2025","BMC Public Health","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014999460&partnerID=40&md5=505efdf8ba50112633d271f89d717b81","Background: This study investigated the relationship between psychological stress and subjective well-being among aviation ground crews, with a focus on the mediating roles of social support and self-esteem. Methods: In this cross-sectional investigation, 533 ground crew members completed validated assessments, including the Stress Self-evaluation Test, the Perceived Social Support Scale, the Self-liking/Self-competence Scale-Revised, the Satisfaction with Life Scale and the Positive and Negative Affect Scale. Statistical analyses were performed via R software and Mplus. Results: (1) Single participants presented significantly lower subjective well-being than married individuals did (p = 0.001, Cohen’s d = 0.349). (2) Psychological stress (r = – 0.527, p < 0.001), social support (r = 0.579, p < 0.001), and self-esteem (r = 0.678, p < 0.001) were significantly correlated with subjective well-being. (3) Three distinct mediation pathways emerged: the social support-mediated pathway, self-esteem-mediated pathway, and a chain-mediating effect through social support-self-esteem. Conclusions: Psychological stress was significantly associated with reduced subjective well-being in aviation ground crews, with tentative evidence of mediation through social support and self-esteem. Interventions targeting these psychosocial resources may improve well-being, but require further validation. © The Author(s) 2025."
