year,title,doc
2025,Quantifying Pilot Performance and Mental Workload in Modern Aviation Systems: A Scoping Literature Review,<title>Quantifying Pilot Performance and Mental Workload in Modern Aviation Systems: A Scoping Literature Review</title>
2025,Experimental Study on the Effects of Cockpit Noise on Physiological Indicators of Pilots,<title>Experimental Study on the Effects of Cockpit Noise on Physiological Indicators of Pilots</title>
2025,Human-Centric Cognitive State Recognition Using Physiological Signals: A Systematic Review of Machine Learning Strategies Across Application Domains,<title>Human-Centric Cognitive State Recognition Using Physiological Signals: A Systematic Review of Machine Learning Strategies Across Application Domains</title>
2025,Predictive Validity of Selection and Training for Ab Initio Air Traffic Controllers,<title>Predictive Validity of Selection and Training for Ab Initio Air Traffic Controllers</title>
2025,"The Mental Health Symposium: An Effective Tool to Improve Collegiate Aviation Students’ Knowledge, Understanding, and Comfort with Mental Health","<title>The Mental Health Symposium: An Effective Tool to Improve Collegiate Aviation Students’ Knowledge, Understanding, and Comfort with Mental Health</title>"
2025,Pilot flying versus pilot monitoring: The effect of role assignment on pilots’ perceived risk in flight simulation experiment,<title>Pilot flying versus pilot monitoring: The effect of role assignment on pilots’ perceived risk in flight simulation experiment</title>
2025,Vection Measured During the 2023 Military Health Service Research Symposium Using a Virtual Reality Headset,<title>Vection Measured During the 2023 Military Health Service Research Symposium Using a Virtual Reality Headset</title>
2025,"Cognitive Engagement Profiling of Pilots in High-Speed, High-Threat Scenarios","<title>Cognitive Engagement Profiling of Pilots in High-Speed, High-Threat Scenarios</title>"
2025,Assessing the role of emotional intelligence in risk behavior across safety critical environments: A systematic review,<title>Assessing the role of emotional intelligence in risk behavior across safety critical environments: A systematic review</title>
2025,Predicting safety attitudes in aviation maintenance using machine learning: An exploratory study,<title>Predicting safety attitudes in aviation maintenance using machine learning: An exploratory study</title>
2025,Dare to Fly? Analyzing psychological reactions and travel attitudes of Chinese social media users post-aviation accidents through text mining,<title>Dare to Fly? Analyzing psychological reactions and travel attitudes of Chinese social media users post-aviation accidents through text mining</title>
2025,How to assess situation awareness while driving with automation? Impact of visual attention during AD mode on measures of situation awareness,<title>How to assess situation awareness while driving with automation? Impact of visual attention during AD mode on measures of situation awareness</title>
2025,Avoiding automation surprise: Identifying requirements to support pilot intervention in automated Uncrewed Aerial Vehicle (UAV) flight,<title>Avoiding automation surprise: Identifying requirements to support pilot intervention in automated Uncrewed Aerial Vehicle (UAV) flight</title>
2025,Fostering Mental Wellness in the Early Stages of Professional Pilots’ Careers: A Collegiate Curriculum for Aviators,<title>Fostering Mental Wellness in the Early Stages of Professional Pilots’ Careers: A Collegiate Curriculum for Aviators</title>
2025,A psychological perspective on aviation disasters through ecological and social lenses,<title>A psychological perspective on aviation disasters through ecological and social lenses</title>
2025,NO CRASH LANDINGS: UPHOLDING THE STANDARD OF CARE IN BEHAVIORAL HEALTH SERVICES FROM CHILDHOOD THROUGH YOUNG ADULTHOOD,<title>NO CRASH LANDINGS: UPHOLDING THE STANDARD OF CARE IN BEHAVIORAL HEALTH SERVICES FROM CHILDHOOD THROUGH YOUNG ADULTHOOD</title>
2025,Resilience and Grit for Sustainable Well-Being at Work: Evidence from High-Pressure Service Organizations,<title>Resilience and Grit for Sustainable Well-Being at Work: Evidence from High-Pressure Service Organizations</title>
2025,Autistic-led insights on airport accessibility: A retrospective analysis of environmental assessments,<title>Autistic-led insights on airport accessibility: A retrospective analysis of environmental assessments</title>
2025,The impact of performance management systems on employee work attitudes: empirical evidence,<title>The impact of performance management systems on employee work attitudes: empirical evidence</title>
2025,Assessment of Mental Health and Help-Seeking Barriers Among Collegiate Aviation Students,<title>Assessment of Mental Health and Help-Seeking Barriers Among Collegiate Aviation Students</title>
2025,Psychological resilience among emergency medical teams in Singapore,<title>Psychological resilience among emergency medical teams in Singapore</title>
2025,A Psychophysiological Model Based on Machine Learning Algorithms for Evaluating Commercial Airline Pilots' Mental Workload in Flight-Simulation Context,<title>A Psychophysiological Model Based on Machine Learning Algorithms for Evaluating Commercial Airline Pilots' Mental Workload in Flight-Simulation Context</title>
2025,Quantifying the Impact of Spatial Disorientation on Pilot Mental Workload and Attentional Focus,<title>Quantifying the Impact of Spatial Disorientation on Pilot Mental Workload and Attentional Focus</title>
2025,Déjà vu all over again: what the past can teach us about the future,<title>Déjà vu all over again: what the past can teach us about the future</title>
2025,"A Theoretical Model to Understand Flight Instructors’ Safety Behaviors in the United States: Through Personality Traits, Self-Efficacy, Risk Perception, and Safety Climate","<title>A Theoretical Model to Understand Flight Instructors’ Safety Behaviors in the United States: Through Personality Traits, Self-Efficacy, Risk Perception, and Safety Climate</title>"
2025,Real-time assessment of triage nurse situational awareness (SA) using the situation awareness global assessment technique (SAGAT),<title>Real-time assessment of triage nurse situational awareness (SA) using the situation awareness global assessment technique (SAGAT)</title>
2025,Cooperative scheduling of airport ground electric service vehicles considering workload balance: A column generation approach,<title>Cooperative scheduling of airport ground electric service vehicles considering workload balance: A column generation approach</title>
2025,Relations of personality factors and suitability ratings to Swedish military pilot education completion,<title>Relations of personality factors and suitability ratings to Swedish military pilot education completion</title>
2025,Aircraft Maintenance Technician Perceptions and Evaluations about the Safety Culture and Responsibility Related Competencies,<title>Aircraft Maintenance Technician Perceptions and Evaluations about the Safety Culture and Responsibility Related Competencies</title>
2025,Mediating Roles of Resilience and Stress in Emotion Regulation Strategies and Pilot Job Burnout,<title>Mediating Roles of Resilience and Stress in Emotion Regulation Strategies and Pilot Job Burnout</title>
2025,Future time perspective and incident involvement among civil pilots: the mediating role of vocational calling and the moderating role of perceived organizational support,<title>Future time perspective and incident involvement among civil pilots: the mediating role of vocational calling and the moderating role of perceived organizational support</title>
2025,"Gaze behaviours, situation awareness and cognitive workload of air traffic controllers in radar screen monitoring tasks with varying task complexity","<title>Gaze behaviours, situation awareness and cognitive workload of air traffic controllers in radar screen monitoring tasks with varying task complexity</title>"
2025,PilotCareTrans Net: an EEG data-driven transformer for pilot health monitoring,<title>PilotCareTrans Net: an EEG data-driven transformer for pilot health monitoring</title>
2025,Effective strategies for reducing pilots’ job burnout: cognitive reappraisal guided by high resilience with perceived stress as a mediator,<title>Effective strategies for reducing pilots’ job burnout: cognitive reappraisal guided by high resilience with perceived stress as a mediator</title>
2025,Cognitive and Emotional Impacts of Face Pareidolia Application Among Pilot Students,<title>Cognitive and Emotional Impacts of Face Pareidolia Application Among Pilot Students</title>
2025,Arterial Oxygen Desaturation Hinders Gamified Working Memory Performance,<title>Arterial Oxygen Desaturation Hinders Gamified Working Memory Performance</title>
2025,Association of Control Service Types with Aviation Medical Examination Results and Sick Leave in Air Traffic Controllers in Korea,<title>Association of Control Service Types with Aviation Medical Examination Results and Sick Leave in Air Traffic Controllers in Korea</title>
2025,An experimental comparison on the effectiveness of various levels of simulator fidelity on ab initio pilot training,<title>An experimental comparison on the effectiveness of various levels of simulator fidelity on ab initio pilot training</title>
2025,"A little more conversation, a little more action, please: the carbon footprint of travelling to conferences of the European Health Psychology Society","<title>A little more conversation, a little more action, please: the carbon footprint of travelling to conferences of the European Health Psychology Society</title>"
2025,Unveiling the Narrative Around Pilot Mental Health and Aviation - A Content Analysis of FAA and Mental Health-Related Social Media Content,<title>Unveiling the Narrative Around Pilot Mental Health and Aviation - A Content Analysis of FAA and Mental Health-Related Social Media Content</title>
2025,Validation of a job satisfaction scale for predicting employee churn in commercial airlines in Portugal,<title>Validation of a job satisfaction scale for predicting employee churn in commercial airlines in Portugal</title>
2025,"Association of Internet Addiction Severity with Anxiety, Depression, and Suicidal Ideation among Civil Aircrew Members: A Nationwide Cross-Sectional Survey","<title>Association of Internet Addiction Severity with Anxiety, Depression, and Suicidal Ideation among Civil Aircrew Members: A Nationwide Cross-Sectional Survey</title>"
2025,The Sustained Attention Paradox: A Critical Commentary on the Theoretical Impossibility of Perfect Vigilance,<title>The Sustained Attention Paradox: A Critical Commentary on the Theoretical Impossibility of Perfect Vigilance</title>
2025,The impact of impulsivity on incident involvement in Chinese airline pilots: The serial mediating roles of risk perception and situation awareness,<title>The impact of impulsivity on incident involvement in Chinese airline pilots: The serial mediating roles of risk perception and situation awareness</title>
2025,An exploratory study of pilot EEG features during the climb and descent phases of flight,<title>An exploratory study of pilot EEG features during the climb and descent phases of flight</title>
2025,Influential Factors Behind the Declining Helicopter Parenting in Chinese Emerging Adults’ First-Year University Life,<title>Influential Factors Behind the Declining Helicopter Parenting in Chinese Emerging Adults’ First-Year University Life</title>
2025,An Intellectual–Analytical Platform for Assessing the Psychophysiological Load on Flight Instructors,<title>An Intellectual–Analytical Platform for Assessing the Psychophysiological Load on Flight Instructors</title>
2025,Cleared for Takeoff: Using Technology to Safeguard Aviation Mental Health,<title>Cleared for Takeoff: Using Technology to Safeguard Aviation Mental Health</title>
2025,Bounded Rationality Decision-making Mode of Warship Formation Operational Command Based on Dual-process Theory; 基于双系统理论的海上舰艇编队作战指挥有限理性决策模式,<title>Bounded Rationality Decision-making Mode of Warship Formation Operational Command Based on Dual-process Theory; 基于双系统理论的海上舰艇编队作战指挥有限理性决策模式</title>
2025,Mental Imagery as a Formal Educational Adjunct for Surgical Skills Development in Medical Students: A Scoping Review,<title>Mental Imagery as a Formal Educational Adjunct for Surgical Skills Development in Medical Students: A Scoping Review</title>
2025,Development and validation of spatial disorientation scenarios using virtual reality and motion simulator,<title>Development and validation of spatial disorientation scenarios using virtual reality and motion simulator</title>
2025,Impact of automation level on airline pilots’ flying performance and visual scanning strategies: A full flight simulator study,<title>Impact of automation level on airline pilots’ flying performance and visual scanning strategies: A full flight simulator study</title>
2025,Expert consensus on aeromedical identification of vasogenic white matter hyperintensities in aircrews; 飞行人员血管源性脑白质高信号航空医学鉴定专家共识,<title>Expert consensus on aeromedical identification of vasogenic white matter hyperintensities in aircrews; 飞行人员血管源性脑白质高信号航空医学鉴定专家共识</title>
2025,Forest biodiversity and structure modulate human health benefits and risks,<title>Forest biodiversity and structure modulate human health benefits and risks</title>
2025,Warwick-Edinburgh mental well-being scale (WEMWBS) – a validity and reliability study in the civil aviation sector in Turkey,<title>Warwick-Edinburgh mental well-being scale (WEMWBS) – a validity and reliability study in the civil aviation sector in Turkey</title>
2025,Review of heart rate variability parameter estimation methods in facial video; 人脸视频中心率变异性参数估计方法综述,<title>Review of heart rate variability parameter estimation methods in facial video; 人脸视频中心率变异性参数估计方法综述</title>
2025,Climate-conscious conferences: Redefining medical meetings for a sustainable tomorrow,<title>Climate-conscious conferences: Redefining medical meetings for a sustainable tomorrow</title>
2025,Veterinary students do not need an elephantine memory: Effectiveness of an anesthetic pre-induction checklist,<title>Veterinary students do not need an elephantine memory: Effectiveness of an anesthetic pre-induction checklist</title>
2025,A Southeast Asia National Aviation Company benchmarking by regret theory-based data envelopment analysis model,<title>A Southeast Asia National Aviation Company benchmarking by regret theory-based data envelopment analysis model</title>
2025,"Preparing industry-ready graduates: Interplay of lecturer behavior, self-motivation, and soft skill development in vocational education","<title>Preparing industry-ready graduates: Interplay of lecturer behavior, self-motivation, and soft skill development in vocational education</title>"
2025,A systematic review on the impact of climate change on occupational mental health: a focus on vulnerable industries,<title>A systematic review on the impact of climate change on occupational mental health: a focus on vulnerable industries</title>
2025,"Aviation Maintenance Technicians’ Perceptions of Safety Management System Implementation at Maintenance, Repair, and Overhaul Facilities","<title>Aviation Maintenance Technicians’ Perceptions of Safety Management System Implementation at Maintenance, Repair, and Overhaul Facilities</title>"
2025,"Digital Addiction, Perceived Helicopter Parental Attitudes and Dissociative Experiences: Examining Relationality in Adolescents","<title>Digital Addiction, Perceived Helicopter Parental Attitudes and Dissociative Experiences: Examining Relationality in Adolescents</title>"
2025,Developing a learning tool for advanced life support and resuscitation: Performance Reflection Model for Resuscitation (PRM-Resus),<title>Developing a learning tool for advanced life support and resuscitation: Performance Reflection Model for Resuscitation (PRM-Resus)</title>
2025,“What’s so civil ‘bout war anyway?” Advancing Civility as a Path Forward in Developmental and Life-Course Criminology,<title>“What’s so civil ‘bout war anyway?” Advancing Civility as a Path Forward in Developmental and Life-Course Criminology</title>
2025,The Impact of Clinical Sample Transportation by Unmanned Aerial Systems on the Results of Laboratory Tests,<title>The Impact of Clinical Sample Transportation by Unmanned Aerial Systems on the Results of Laboratory Tests</title>
2025,"Effects of Helicopter Parenting, Tiger Parenting and Inhibitory Control on the Development of Children’s Anxiety and Depressive Symptoms","<title>Effects of Helicopter Parenting, Tiger Parenting and Inhibitory Control on the Development of Children’s Anxiety and Depressive Symptoms</title>"
2025,Graph-Enhanced Deep Learning With Character Similarity Mining for Automated NOTAM Correction in Aviation Systems,<title>Graph-Enhanced Deep Learning With Character Similarity Mining for Automated NOTAM Correction in Aviation Systems</title>
2025,Parent and Adolescent Reports of Helicopter Parenting: Discrepancies and Associations with Adolescent Depression and Anxiety,<title>Parent and Adolescent Reports of Helicopter Parenting: Discrepancies and Associations with Adolescent Depression and Anxiety</title>
2025,Spatial Marginalization of Emotional Support: Understanding Public Response to Animals on Airplanes,<title>Spatial Marginalization of Emotional Support: Understanding Public Response to Animals on Airplanes</title>
2025,Modeling Airline Choice Behavior Based on Observed and Latent Variables Using Structural Equation Modeling and Multinomial Logit-Factor Analysis Hybrid Approach,<title>Modeling Airline Choice Behavior Based on Observed and Latent Variables Using Structural Equation Modeling and Multinomial Logit-Factor Analysis Hybrid Approach</title>
2025,Eye movements as predictors of student experiences during nursing simulation learning events,<title>Eye movements as predictors of student experiences during nursing simulation learning events</title>
2025,Integrating Cognitive and Visual Scanning Strategies in Flight Instruction: Effects on Student Pilots’ Learning During Approach and Landing,<title>Integrating Cognitive and Visual Scanning Strategies in Flight Instruction: Effects on Student Pilots’ Learning During Approach and Landing</title>
2025,Psychological Profiles of Individuals Involved in US Air Force Aircraft Mishaps: A Latent Class Analysis,<title>Psychological Profiles of Individuals Involved in US Air Force Aircraft Mishaps: A Latent Class Analysis</title>
2025,Estimating Price Responsiveness for Service of a Luxury Transportation Company: A Zero Inflated Poisson Approach,<title>Estimating Price Responsiveness for Service of a Luxury Transportation Company: A Zero Inflated Poisson Approach</title>
2025,Barriers and Facilitators to Mental Health Support Among Airline Pilots: A Narrative Review,<title>Barriers and Facilitators to Mental Health Support Among Airline Pilots: A Narrative Review</title>
2025,Assessing the Impact of Aviation Emissions on Air Quality at a Regional Greek Airport Using Machine Learning,<title>Assessing the Impact of Aviation Emissions on Air Quality at a Regional Greek Airport Using Machine Learning</title>
2025,Associations Between Helicopter Parenting and Academic Outcomes: The Role of Entitlement,<title>Associations Between Helicopter Parenting and Academic Outcomes: The Role of Entitlement</title>
2025,Psychological Impact of Aviation Grounding Amid Covid-19 Pandemic: A Case Study of Zimbabwe,<title>Psychological Impact of Aviation Grounding Amid Covid-19 Pandemic: A Case Study of Zimbabwe</title>
2025,Public health nurse-delivered cognitive behavioral therapy for postpartum depression: Assessing the effects of maternal treatment on infant emotion regulation,<title>Public health nurse-delivered cognitive behavioral therapy for postpartum depression: Assessing the effects of maternal treatment on infant emotion regulation</title>
2025,"IoT-Based Airport Noise Perception and Monitoring: Multi-Source Data Fusion, Spatial Distribution Modeling, and Analysis","<title>IoT-Based Airport Noise Perception and Monitoring: Multi-Source Data Fusion, Spatial Distribution Modeling, and Analysis</title>"
2025,"A cross‐sectional study on the association between residential noise exposure, cognitive functioning, and structural markers of brain damage ‐ The Maastricht Study","<title>A cross‐sectional study on the association between residential noise exposure, cognitive functioning, and structural markers of brain damage ‐ The Maastricht Study</title>"
2025,The Impact of Helicopter Parenting on Emerging Adults in Higher Education: A Scoping Review of Psychological Adjustment in University Students,<title>The Impact of Helicopter Parenting on Emerging Adults in Higher Education: A Scoping Review of Psychological Adjustment in University Students</title>
2025,Analysis of Major Factors Contributing to Air Force Pilot Fatigue: A South Korea Case,<title>Analysis of Major Factors Contributing to Air Force Pilot Fatigue: A South Korea Case</title>
2025,Exploring the influence of perceived safety in residential underground car parks on residents’ satisfaction and well-being,<title>Exploring the influence of perceived safety in residential underground car parks on residents’ satisfaction and well-being</title>
2025,Community impacts of aviation noise: a pilot survey,<title>Community impacts of aviation noise: a pilot survey</title>
2025,Digital Learning Platforms in Aircraft Maintenance Technology: Evaluating the Effectiveness of Gamified Learning Approaches,<title>Digital Learning Platforms in Aircraft Maintenance Technology: Evaluating the Effectiveness of Gamified Learning Approaches</title>
2025,Wings or Handcuffs? The Dilemmas of Helicopter Parenting Based on a Systematic Literature Review,<title>Wings or Handcuffs? The Dilemmas of Helicopter Parenting Based on a Systematic Literature Review</title>
2025,Rethinking Pilot Retention in the United States: An Analysis of Key Factors,<title>Rethinking Pilot Retention in the United States: An Analysis of Key Factors</title>
2025,Assessment of Occupational Health and Safety Performance in Air Traffic Control: An Empirical Investigation of Stress and Well-Being,<title>Assessment of Occupational Health and Safety Performance in Air Traffic Control: An Empirical Investigation of Stress and Well-Being</title>
2025,"Medical Reporting Behavior of Military, Commercial, and General Aviation Pilots","<title>Medical Reporting Behavior of Military, Commercial, and General Aviation Pilots</title>"
2025,Construction of leadership competency model for civil aviation flight cadets: An empirical study from China,<title>Construction of leadership competency model for civil aviation flight cadets: An empirical study from China</title>
2025,Post-COVID-19 Neurocognitive Screening in Routine Pilot Aeromedical Evaluations,<title>Post-COVID-19 Neurocognitive Screening in Routine Pilot Aeromedical Evaluations</title>
2025,The Moderating Role of Resilience in the Relationship Between Occupational Stressors and Psychological Distress Among Aviation Pilots in Pakistan,<title>The Moderating Role of Resilience in the Relationship Between Occupational Stressors and Psychological Distress Among Aviation Pilots in Pakistan</title>
2025,Artificial Intelligence: Effective Socionics Models of Psycho-Informational Processes and Quantum Computers,<title>Artificial Intelligence: Effective Socionics Models of Psycho-Informational Processes and Quantum Computers</title>
2025,Assessment of individual and dyadic workload of student and instructor pilots in real and simulated flight: An exploratory study,<title>Assessment of individual and dyadic workload of student and instructor pilots in real and simulated flight: An exploratory study</title>
2025,A panel data analysis of the impact of government trust on support for universal and air travel vaccine mandates during the COVID-19 pandemic,<title>A panel data analysis of the impact of government trust on support for universal and air travel vaccine mandates during the COVID-19 pandemic</title>
2025,Effect of HD-tDCS targeting the DLPFC on cognitive ability and flight simulation performance in healthy adults,<title>Effect of HD-tDCS targeting the DLPFC on cognitive ability and flight simulation performance in healthy adults</title>
2025,"Examining flight time, cognitive reflection, workload, stress and metacognition on decision making performance for pilots during flight simulation","<title>Examining flight time, cognitive reflection, workload, stress and metacognition on decision making performance for pilots during flight simulation</title>"
2025,"Effects of Simulated Short-Haul Flights on Sport-Specific Performance, Sleep, and Psychophysiological Responses in Football Players","<title>Effects of Simulated Short-Haul Flights on Sport-Specific Performance, Sleep, and Psychophysiological Responses in Football Players</title>"
2025,Spatial Disorientation Event During Flight Due to Proposed Reverse-Dip Visual Illusion,<title>Spatial Disorientation Event During Flight Due to Proposed Reverse-Dip Visual Illusion</title>
2025,Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research,<title>Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research</title>
2025,Mentoring for Wellbeing Across the Professions and Disciplines,<title>Mentoring for Wellbeing Across the Professions and Disciplines</title>
2025,Reinforcement learning-based affine formation maneuver control of autonomous surface vehicles with safety constraints under time-varying actuator faults,<title>Reinforcement learning-based affine formation maneuver control of autonomous surface vehicles with safety constraints under time-varying actuator faults</title>
2025,"Physical, psychological and behavioural responses of aircraft occupants to volcanic emissions","<title>Physical, psychological and behavioural responses of aircraft occupants to volcanic emissions</title>"
2025,The Effect of Grit and Mindset on Professional Pilot Student Persistence,<title>The Effect of Grit and Mindset on Professional Pilot Student Persistence</title>
2025,The investigation on EEG characteristic parameters change when executing cognitive ability tasks under centrifuge G acceleration,<title>The investigation on EEG characteristic parameters change when executing cognitive ability tasks under centrifuge G acceleration</title>
2025,From family incivility to burnout among Chinese commercial aviation pilots: A moderated mediation role of psychological capital and happiness at work,<title>From family incivility to burnout among Chinese commercial aviation pilots: A moderated mediation role of psychological capital and happiness at work</title>
2025,The role of psychological stress in the subjective well-being of aviation ground crews: mediating effects of social support and self-esteem,<title>The role of psychological stress in the subjective well-being of aviation ground crews: mediating effects of social support and self-esteem</title>
2025,A cross-sectional study on the association between environmental residential noise exposure with cognitive functioning and structural markers of brain damage − The Maastricht study,<title>A cross-sectional study on the association between environmental residential noise exposure with cognitive functioning and structural markers of brain damage − The Maastricht study</title>
2025,Portable EEG-Based Emotion Recognition Utilizing Flexible Brain Electrodes for Hairless Regions,<title>Portable EEG-Based Emotion Recognition Utilizing Flexible Brain Electrodes for Hairless Regions</title>
2025,Workload Analysis of Pilot During Single-Engine Failure Based on EEG Data,<title>Workload Analysis of Pilot During Single-Engine Failure Based on EEG Data</title>
2025,Pilot flying versus pilot monitoring: The effect of role assignment on pilots' perceived risk in flight simulation experiment,<title>Pilot flying versus pilot monitoring: The effect of role assignment on pilots' perceived risk in flight simulation experiment</title>
2025,Radical calm in aviation security: profiling controlled dissociation and behavioral ambiguity at checkpoints,<title>Radical calm in aviation security: profiling controlled dissociation and behavioral ambiguity at checkpoints</title>
2025,The Invisible Copilot?: Assessing Task Engagement and Team Dynamics in a Virtual Flight Environment Using Eye-Tracking Metrics,<title>The Invisible Copilot?: Assessing Task Engagement and Team Dynamics in a Virtual Flight Environment Using Eye-Tracking Metrics</title>
2025,Defining competence profiles in obstetrics and gynecology using the modified requirement tracking questionnaire,<title>Defining competence profiles in obstetrics and gynecology using the modified requirement tracking questionnaire</title>
2025,"Age, Education, and Service As Moderators of the Predictive Relationship Between Emotional Intelligence and Work Engagement in Pilots","<title>Age, Education, and Service As Moderators of the Predictive Relationship Between Emotional Intelligence and Work Engagement in Pilots</title>"
2025,Pilots’ Likelihood to Report Sleep Disorder(s) in Part 121 Commercial Aviation Operations,<title>Pilots’ Likelihood to Report Sleep Disorder(s) in Part 121 Commercial Aviation Operations</title>
2025,Is it safe to be safe? Examining underreporting and presenteeism among European pilots: The role of employment type,<title>Is it safe to be safe? Examining underreporting and presenteeism among European pilots: The role of employment type</title>
2025,A Study on the Spatio-temporal Evolution Path and Driving Mechanisms of Online Public Opinion from a Hypernetwork Perspective: A Case Study of the ×× Airlines Aircraft Accident; 超网络视角下网络舆情的时空演化路径与驱动机制研究——以××航空客机事故为例,<title>A Study on the Spatio-temporal Evolution Path and Driving Mechanisms of Online Public Opinion from a Hypernetwork Perspective: A Case Study of the ×× Airlines Aircraft Accident; 超网络视角下网络舆情的时空演化路径与驱动机制研究——以××航空客机事故为例</title>
2025,Exploring perceptions of pilot licensing and training standards: a survey of Canadian student and licensed pilots,<title>Exploring perceptions of pilot licensing and training standards: a survey of Canadian student and licensed pilots</title>
2025,Predicting honest behavior based on Eysenck personality traits and gender: an explainable machine learning study using SHAP analysis,<title>Predicting honest behavior based on Eysenck personality traits and gender: an explainable machine learning study using SHAP analysis</title>
2025,Cars are Ready to Fly: Urban Air Mobility and Psychological Process of Sustainable Travel Mode Choices,<title>Cars are Ready to Fly: Urban Air Mobility and Psychological Process of Sustainable Travel Mode Choices</title>
2025,"Two Theories, Two Tests, One Outcome: Indifference of the Indicator","<title>Two Theories, Two Tests, One Outcome: Indifference of the Indicator</title>"
2025,"Employees’ belief restoration in a crisis context: the role of servant leadership, workplace spirituality, and proactive personality","<title>Employees’ belief restoration in a crisis context: the role of servant leadership, workplace spirituality, and proactive personality</title>"
2025,Extension of mindful safety practices through safety knowledge and safety motivation: a study of the aviation industry,<title>Extension of mindful safety practices through safety knowledge and safety motivation: a study of the aviation industry</title>
2025,Assessment policy of post-traumatic stress disorder in aviation and its practical application using turbulence-triggered trauma as an example,<title>Assessment policy of post-traumatic stress disorder in aviation and its practical application using turbulence-triggered trauma as an example</title>
2025,Self-service technology in airports: analyzing flow experience and user acceptance in Indonesia,<title>Self-service technology in airports: analyzing flow experience and user acceptance in Indonesia</title>
2025,Bracing for Impact: The Montreal Convention 1999 a Quarter of a Century Later: An Insurance Perspective,<title>Bracing for Impact: The Montreal Convention 1999 a Quarter of a Century Later: An Insurance Perspective</title>
2025,Single Pilot Concept of Operations: Hazard Identification and Mitigation Measures,<title>Single Pilot Concept of Operations: Hazard Identification and Mitigation Measures</title>
2025,Mental health of airline pilots in France: insights from an anonymous online survey,<title>Mental health of airline pilots in France: insights from an anonymous online survey</title>
2025,Rapid Design of Geometric Parameter for Inlet Acoustic Liner,<title>Rapid Design of Geometric Parameter for Inlet Acoustic Liner</title>
2025,"The Impact of Yoga Practice on Health, Strength, and Respiratory Capacity in Portuguese Airforce Pilots: an Applied Psychophysiology and Biofeedback Approach","<title>The Impact of Yoga Practice on Health, Strength, and Respiratory Capacity in Portuguese Airforce Pilots: an Applied Psychophysiology and Biofeedback Approach</title>"
