"Title","Year","Source title","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Gamification of Learning Aviation Knowledge for Improving the Efficiency of Flight Training","2025","International Journal of Aerospace Psychology","10.1080/24721840.2024.2358763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194401496&doi=10.1080%2F24721840.2024.2358763&partnerID=40&md5=b07c4eca1a2fbff390abfb53e963ea89","Objective: The goal of the present study was to determine whether using gamification with the flexibility of board game design to prepare aviation cadets for future flight training could reduce their fatigue and stress from work overload and thereby decrease risk of human error leading to accidents. Background: Cadets need to have fully acquired aviation knowledge so as be able to access it spontaneously in decision-making when operating an aircraft and performing multi-tasks. The current tight training schedule and the need to immediately apply newly learned knowledge add considerable stress to the fatigue resulting from highly demanding physical training. Method: A board game involving specific content, rules, and contexts and incorporating competition and collaboration was designed. Results: The results showed that the learning effect of the game group was at least the same as, if not better than, traditional self-study. Both groups of cadets could retrieve their learning after two months. The game group was significantly more positive in their responses to the flow survey and expressed being in favor of learning by playing board games in the interviews. Conclusion: The findings suggest the feasibility of adjusting the current pilot training program by adopting game-based learning of aviation knowledge at an early stage for future use. © 2024 Taylor & Francis Group, LLC.","air force; board games; flight training; Gamification; pilot",""
"The Use of Hedonic-Motivation System Adoption Model in Evaluating Aviation Technology students’ Behavioral Intention and Immersion Toward Using Flight Simulator","2025","International Journal of Aerospace Psychology","10.1080/24721840.2024.2337622","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189783063&doi=10.1080%2F24721840.2024.2337622&partnerID=40&md5=75f3e73ecd873fea9b5db8292e0ad6da","Background: In aviation education, flight simulators are required instructional infrastructures, but there is a scarcity of studies exploring students’ behavioral intention and immersion to use these technologies within the lens of Hedonic–Motivation System Adoption Model. Methods: Using quantitative cross-sectional survey design, 241 aviation technology students participated in an online survey. Results: The structural equation modeling reveals that most of the hypothesized paths are supported except the influence of joy to immersion. Conclusion: This study reveals HMSAM’s usefulness to understand the factors influencing students’ intention and immersion to use flight simulators. Consequently, practical and theoretical implications are suggested. © 2024 Taylor & Francis Group, LLC.","",""
"Relationship Between Organizational Justice and Organizational Trust Perceptions and Voluntary Non-Reporting in Aviation","2025","International Journal of Aerospace Psychology","10.1080/24721840.2024.2313040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185660657&doi=10.1080%2F24721840.2024.2313040&partnerID=40&md5=2334c1031f81ca51f21ebbcf202fb504","Background: Until now, numerous empirical investigations have been conducted to examine the correlation between organizational justice and organizational trust. However, it is worth noting that little attention has been given to exploring the role of organizational justice and organizational trust perception on voluntary reporting behavior, which is critical in accessing valuable data for enhancing aviation safety. Objective: The purpose of this study is to propose a mediation model regarding the relationship between the voluntary non-reporting behavior of aviation employees and their organizational justice and organizational trust perceptions. Method: We collected online survey data from a total of 800 employees that work in four different areas of aviation in Turkey. Results: Organizational trust had no intermediary role in the influence of organizational justice over voluntary non-reporting. However, organizational justice had an intermediary role in the influence of organizational trust over voluntary non-reporting. Furthermore, a significant portion of the aviation employees involved in the study refrained from submitting voluntary reports concerning unsafe incidents they witnessed or suggestions to mitigate risks. Conclusion: This study serves as a pioneering effort, examining the mediating role of organizational trust in the relationship between organizational justice and voluntary non-reporting. Given its contextual relevance, the results provide valuable recommendations to practitioners, as it is the first study to explore the relationship between voluntary non-reporting, organizational trust, and justice within the aviation industry. © 2024 Taylor & Francis Group, LLC.","",""
"A Comparative Study of Cognitive Abilities of Generation Y and Generation Z Pilot Candidates","2025","International Journal of Aerospace Psychology","10.1080/24721840.2025.2602926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025681133&doi=10.1080%2F24721840.2025.2602926&partnerID=40&md5=2713b0a8a795f4552c0b6c6403ce740f","Objective: Training aviation specialists is a complex and rigorous process. According to statistics, 75% of incidents negatively impacting flight safety have been caused by human error. This article analyzes the admission process to aircraft piloting studies, which has remained unchanged over the last decade. Background: Various research results show variability between different generations’ abilities and achievements. It is unclear what differences emerge during the selection process to aircraft piloting studies. Methods: The admission process to aircraft piloting studies involves selecting the most capable young people between 18 and 20 years of age who have completed their secondary education and demonstrate that they possess the required abilities for such studies. Results: The tasks of the selection process are divided into four factors with the help of exploratory factor analysis–Initial information processing, 3D perception, 2D perception, and Level of analysis. The period analyzed includes representatives of Generation Y and Generation Z. The study results revealed statistically significant differences in the performance of the two generations. The results indicate that technology has a significant influence on the abilities of the candidates. Conclusions: Generation Y representatives excel in concentration and logical thinking, making fewer errors in such tasks. However, they demonstrate weaker performance in spatial thinking tasks. Conversely, Generation Z representatives outperform the former in spatial thinking and sequence arrangement tasks. However, they are prone to making more errors in tasks that demand high concentration and attention. © 2025 Taylor & Francis Group, LLC.","",""
"Why Pilots Push On: Motivational Influences on Weather-Related Risk Appraisal in Small Airplane and Helicopter Operations","2025","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023891348&doi=10.1027%2F2192-0923%2Fa000304&partnerID=40&md5=9fb9be78722e89bff5d6e53f2c6bd6b2","This study explores the multilevel influences associated with commercial pilots’ risk appraisal when deciding whether to continue a flight into deteriorating conditions, focusing on small airplane and helicopter commercial operations in Australia and New Zealand. Deductive content analysis of online survey responses identified congruences with the extant literature. Commercial/financial and customer pressures were discovered as major external influences. Notably, pilots’ prior experience of similar conditions emerged as an important personal motivator that potentially leads to risk normalization. The findings underscore the interplay between multilevel influences and extrinsic/intrinsic safety motivations affecting pilots’ risk appraisal. The outcomes offer insights into the motivational orientations behind risk-taking intentions, offering an additional perspective on this complex aviation issue and contributing to efforts to reduce weather-related accidents. Hogrefe Publishing","aviation; motivation; normalization; risk; weather",""
"Meta-Analysis of Age and Student Air Traffic Controller (ATCO) Training Outcomes","2025","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013120506&doi=10.1027%2F2192-0923%2Fa000296&partnerID=40&md5=27dbcfd0da5aa0b9a34e27b52f1cf1dc","Some air navigation service providers (ANSPs) set a maximum age for entry into the air traffic controller (ATCO) occupation. Are such rules justified by empirical evidence? A recent meta-analysis of four studies reported no relationship between age at entry and training outcomes. Drawing on a larger number of studies (k = 8, N = 34,389) spanning 60 years, the age-training outcome relationship was investigated in a ""bare bones""random-effect meta-analysis (without correction for artifacts or moderator analyses). The mean correlation was = -.15 (SEρ =.04)[-.23, -.06] and was statistically different from 0 (Z = -3.39, p <.001). Overall, a small but significant negative correlation between age at entry and ATCO training outcomes was found. Practical implications for ANSPs are illustrated through utility analysis. © 2025 Hogrefe Publishing.","age; air traffic controller; personnel selection; training; utility analysis",""
"Critical Connections: Network Analysis of Human Errors in Aviation Accidents","2025","International Journal of Aerospace Psychology","10.1080/24721840.2025.2531741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011958168&doi=10.1080%2F24721840.2025.2531741&partnerID=40&md5=0410cd526e76eaf1adeda57028241bb2","Objective: This study aims to explores the systemic role of human factors in aviation safety by integrating the Human Factors Analysis and Classification System (HFACS) with network analysis. Background: Human factors contribute to over 70% of aviation accidents, emphasizing their importance in safety research. This study uses the National Transportation Safety Board (NTSB), 2024 accident database to uncover systemic vulnerabilities through network analysis. Methodology: A bipartite network of 150,000 nodes and 250,000 edges was constructed using Python’s NetworkX and visualized in Gephi. Centrality metrics identified systemic vulnerabilities, analyzing pilot error, crew error, and maintenance issues across general aviation, commercial jets, and rotary-wing aircraft. Results: Pilot error dominated general aviation accidents (70%), linked to single-pilot demands. Crew error was most prevalent in commercial jets (50%), highlighting multi-crew coordination challenges. Maintenance oversights in rotary-wing aircraft (45%) showed the highest betweenness centrality, underscoring their systemic impact. Conclusion: Targeted safety measures include advanced training for general aviation pilots, optimized Crew Resource Management (CRM) for jet crews, and stricter maintenance protocols for helicopters. Integrating HFACS with network analysis provides a robust framework for mitigating systemic vulnerabilities and enhancing aviation safety. © 2025 Taylor & Francis Group, LLC.","",""
"Anthropomorphic AI: Sociopathic AI Features as Predictors of Career Opportunities and Threats Perceived by Pilots in Commercial Aviation","2025","International Journal of Aerospace Psychology","10.1080/24721840.2025.2531746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011294188&doi=10.1080%2F24721840.2025.2531746&partnerID=40&md5=2e4212b3ea4b8d0c5297344c31994328","Objective: The study aims to investigate how anthropomorphic, particularly sociopathic, features ascribed to AI affect commercial pilots’ perceptions of career threats, opportunities, and performance benefits of AI integration in the cockpit. Background: Although technology has long been an irreplaceable, valuable ally for airline pilots, artificial intelligence (AI) differs significantly from previously used technologies and pilots perceive AI not only as a tool but as an agent with human-like attributes. These anthropomorphic perceptions shape their career-related attitudes, especially as AI’s cognitive capabilities and ethical limitations challenge pilot identity. Methods: Survey data were collected from 363 commercial pilots and measures included anthropomorphic features ascribed to AI (including sociopathic AI features), perceived career threats and opportunities as well as expected performance enhancement due to AI. Regression and moderated mediation analyses were conducted. Background: Sociopathic AI features were positively associated with career threats and negatively with opportunities. Career opportunities significantly mediated the relationship between sociopathic features and perceived performance gains. Perceived career threats related to AI reduced performance expectations due to AI only when perceived career opportunities were low. Conclusions: The study offers a broad perspective on introducing artificial intelligence into the cockpit, considering commercial pilots' tendency to anthropomorphise AI. It seeks to ensure that AI can deliver operational benefits in safety and performance that meet the industry's and its end-users' needs, therefore addressing ethical concerns is critical for AI integration in aviation. © 2025 The Author(s). Published with license by Taylor & Francis Group, LLC.","",""
"Relationships Between Pilot Gaze Patterns and Control Lapses in Challenging Instrument Approach Flight","2025","International Journal of Aerospace Psychology","10.1080/24721840.2025.2531740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010966310&doi=10.1080%2F24721840.2025.2531740&partnerID=40&md5=621b18282effe7ee8c60a3f1ea33f92a","Objective: This study investigates the link between pilot gaze patterns and control deviations during simulated instrument flight approaches, aiming to understand how attentional focus impacts flight safety. Background: Building on previous research that underscores the importance of situational awareness in aviation, this work delves into the specific aspects of gaze behavior as indicators of cognitive workload and attentional distribution. Unlike prior studies that broadly assessed attentional markers, this research utilizes advanced iris tracking technology to pinpoint how gaze metrics correlate with flight performance. Method: Employing a quantitative research design, the study analyzed over 45 simulated instrument flight approaches conducted by 15 pilots. Detailed metrics of gaze behavior, including fixation duration, saccade rate, scanning patterns, and gaze variability, were captured using iris tracking technology. A novel metric, exceedance autocorrelation, was introduced to assess aircraft control deviations and pilot performance. Results: Statistical analyses uncovered significant correlations: fixation duration exhibited a strong positive correlation with control quality (r = 0.684), and saccade rate correlated even more strongly (r = 0.827). Conversely, scan pattern predictability and gaze variability correlated negatively (r = −0.55) and positively (r = 0.546), respectively, highlighting their relevance under high cognitive workload conditions. Conclusion: The results confirms that specific gaze behaviors are critical indicators of pilot performance in challenging flight scenarios. These insights advance our understanding of pilot attentional mechanisms, offering valuable implications for enhancing aviation safety through improved training programs and cockpit technology design. © 2025 Taylor & Francis Group, LLC.","",""
"Total and Recent Flight Experience as Predictors of Pilot Instrument Performance","2025","International Journal of Aerospace Psychology","10.1080/24721840.2025.2531742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010648137&doi=10.1080%2F24721840.2025.2531742&partnerID=40&md5=b9f4d629a1891c8bd855d02e3c519962","Objective: The present research sought to investigate the impact of total flight time and recent flight time on instrument flight performance. Background: Studies that examined the impact of total flight time and recent flight time on pilot proficiency and have reported mixed results for both total time and recent flight time. The present study examined the impact of total and recent flight time along with vocabulary and mental rotation on instrument flight performance. Method: Thirty-nine instrument pilots were recruited from the aviation program at a midwestern university. All had successfully completed FAA approved instrument flight training. Each participant was required to conduct an instrument flight using an ELITE Personal Computer Aircraft Training Device (PCATD) to simulate instrument flight. The impact of total and recent flight time, total and recent instrument time (both actual and simulated), and recent instrument approaches along with vocabulary ability and mental rotation on instrument flight proficiency was examined using multiple regression procedures. Results: The results revealed no significant effect of any of the predictor variables on specific deviations from a perfect flight profile using several navigation measures. Pilot adherence to proper flight procedures was primarily predicted by mental rotation ability, vocabulary ability but not flight time. Mental rotation ability also predicted major flight errors. Conclusion: These results indicate that individual differences in instrument flight proficiency were predicted by vocabulary and mental rotation ability, while flight time (total or recent) had minimal impact on flight performance. © 2025 Taylor & Francis Group, LLC.","",""
"Single Pilot Concept of Operations: Hazard Identification and Mitigation Measures","2025","International Journal of Aerospace Psychology","10.1080/24721840.2025.2481880","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002029389&doi=10.1080%2F24721840.2025.2481880&partnerID=40&md5=62494ff02f61be140fa5902808b3a348","Objective: This work identifies the human factors hazards associated with Single Pilot Operations (SiPO) in small jets currently certified for single-pilot operations and assesses their transferability to future airliner single-pilot concept. Background: SiPO of commercial airliners is imminent. Hazard identification of SiPO based upon an extant similar system could contribute to proving SiPO equally safe to multicrew operations (MCO). Method: The three-part study consisted of archival analysis of 47 accidents and 237 incident involving small single-pilot jets, subject matter expert (SME) interviews and an opinion survey of one hundred airline pilots. The multi-method approach provided holistic, complementary data, enabling findings to be triangulated. Results: Results identified the human factors hazards were mainly associated with the absence of a second crew member, specifically for: monitoring, workload management; situational awareness and verifying decision-making. SiPO acceptance was generally low amongst the airline pilot community. SJ pilots and airliner pilots favored a system configuration based around high levels of automation/autonomy rather than the displacement of the second pilot to the ground with on-demand availability (a distributed air/ground socio-technical system). Conclusion: In addition to the development of enabling technologies fundamental for de-crewing the need for further research into the design and development of single-pilot resource management (SRM) courses and definition of minimum flight experience for SiPO was recommended. © 2025 The Author(s). Published with license by Taylor & Francis Group, LLC.","",""
"Affect and Performance in Simulated Flying Tasks: A Systematic Literature Review","2025","International Journal of Aerospace Psychology","10.1080/24721840.2024.2425856","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001081762&doi=10.1080%2F24721840.2024.2425856&partnerID=40&md5=b791417f85d3e477a772cec16e52bbd8","Objective: This systematic review explores the relationship between affect and performance during flight simulations in the context of training using simulated flying tasks. Background: A goal of human factors is to understand pilots’ psychological processing to reduce human error. Psychological insights have mainly focused on cognition, whereas recent approaches suggest that affective responses (stress and emotions) can impact performance accuracy. This is the first literature review exploring affect and performance in simulated flying tasks. Method: Following the PRISMA framework, a systematic review was conducted, resulting in 29 articles meeting the inclusion criteria. Results: Studies were grouped in themes according to the manner they contributed to our objective. Findings revealed that: 1) affect and flying performance are continuous processes that need to use continuous and noninvasive measurements; 2) negative-activating affect (stress and anxiety) tend to be detrimental for flight performance; 3) pilot–copilot and pilot–instructor interactions induce affect in simulated flight; 4) unusual flying scenarios induce negative and activating affective responses and decrease performance accuracy; 5) interventions are successful for pilots to manage performance and affect. Conclusion: This systematic review demonstrates the relationships between affect and performance. The main connection is that unpredicted and intense affective reactions can distract pilots, resulting in errors. Simulations can induce authentic affective reactions, allowing pilot trainees to familiarize themselves with their reactions, and regulate themselves, to achieve successful performance. © 2024 Taylor & Francis Group, LLC.","",""
"Cars are Ready to Fly: Urban Air Mobility and Psychological Process of Sustainable Travel Mode Choices","2025","International Journal of Aerospace Psychology","10.1080/24721840.2024.2384377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001076371&doi=10.1080%2F24721840.2024.2384377&partnerID=40&md5=6c8bfdcaf56bd59e634ce66b03530707","Objective: This study is designed to predict individuals’ pro-social behavior in their choice of travel modes. Specifically, the consumer adoption process and the norm activation model are incorporated as the overarching theoretical model in consideration of the relative advantages of urban air mobility. Background: Urban air mobility, the next generation urban transport system, is all set to fly. Urban air mobility is a notable disruptive innovation in aviation and mobility system as a sustainable means of transportation. Method: Using a quantitative procedure, we developed the theoretical framework based on the existing theories and examined hypotheses using structural equation modeling and invariance test. Results: The findings indicate that the adoption intention toward urban air mobility is driven by problem recognition, awareness, interest, evaluation, ascribed responsibility, and personal norms. In addition, the relative advantage of urban air mobility moderates the relationships between interest and evaluation, and between ascribed responsibility and personal norms. Conclusion: Based on the empirical evidence, this study discusses the findings and subsequent implications for academia. We also address the opportunities for governmental organizations and industry to maximize the utilization of urban air mobility in order to make a city more convenient, cleaner, faster, greener, and safer. © 2024 Taylor & Francis Group, LLC.","",""
"Two Theories, Two Tests, One Outcome: Indifference of the Indicator","2025","International Journal of Aerospace Psychology","10.1080/24721840.2024.2373057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001069042&doi=10.1080%2F24721840.2024.2373057&partnerID=40&md5=7120b8bf016b8f1575f30405c457bcfd","Objective: This study sought to investigate if the constructs measured by the MAB II and the MicroCog are related. The similarity of two tests designed using two theories was examined. Background: Distinctions between tests of general cognitive ability (g) versus specific abilities (s) have been investigated for over a century. The Multidimensional Aptitude Battery used the individual differences psychometric approach while the MicroCog used a brain-behavior relationships approach. The authors of the tests claim they measure differing constructs based on differing theories; individual differences versus brain-behavior relations. Methods: Both tests were administered to 10,612 participants. Correlations suggested the tests shared a common source of variance for the constructs measured. Confirmatory factor analyses established this and established a hierarchical structure with g at the apex. The test designed to measure specific abilities (MicroCog) measured a single factor, g. Results: Although different theories underlie their respective construction methods, results indicated the two tests measured much in common; that is, two theories, one outcome. Conclusions: Despite the assertions of the publishers of the two tests of differences, practitioners gain little by using both tests as they both measure the same constructs. © This work was authored as part of the Contributor’s official duties as an Employee of the United States Government and is therefore a work of the United States Government. In accordance with 17 U.S.C. 105, no copyright protection is available for such works under U.S. Law.","",""
"The Effect of Personality Traits and Flight Experience on Pilots' Cognitive and Affective Responses to Simulated In-Flight Hazards","2024","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218059303&doi=10.1027%2F2192-0923%2Fa000283&partnerID=40&md5=4e999e7c4fc4d57f59b09e714f50ca3b","We investigated the effect of personality traits and flight experience on pilot cognitive and affective responses across seven startling and surprising scenarios performed in motion-based simulators. A dataset of 89 airline pilots from four studies was used. The personality traits measured were trait anxiety, decision-related action orientation (AOD), and failure-related action orientation (AOF). Pilot self-reported responses in scenarios were standardized by obtaining z scores of startle, surprise, stress, and mental workload. Only trait anxiety was found to be significantly positively correlated with stress. No significant effects of AOD, AOF, or flight hours were found on pilots responses. The results indicate trait anxiety may affect pilots responses to stressful scenarios, even though pilots are selected based on low trait anxiety. © 2024 Hogrefe Publishing.","aviation; flight hours; individual difference; state anxiety",""
