year,title,doc,topic
2026,Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates,"<title>Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates</title> <excerpt>Most air traffic controllers (ATCO) are selected after high school graduation, partly based on cognitive abilities. On the contrary, French ATCO are selected after an intensive scientific post-secondary program without undergoing cognitive assessment. This study examines the potential incremental validity of cognitive predictors in ATCO training for such proficient applicants.</excerpt>",-1
2026,Fatigue risk management in healthcare: A scoping literature review,"<title>Fatigue risk management in healthcare: A scoping literature review</title> <excerpt>Background: Occupational fatigue among healthcare professionals is a complex, multifaceted issue associated with increased likelihood of medical error, compromised patient safety and negative impacts on staff mental and physical health. While safety-critical sectors such as aviation and rail have implemented formal systems to manage fatigue-related risks, it remains unclear whether similarly structured approaches exist or operate effectively within healthcare. Objective: This scoping literature review aimed to examine the current state of knowledge regarding fatigue risk management strategies and countermeasures in healthcare and explore the barriers and facilitators to their implementation.</excerpt>",1
2026,Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior,"<title>Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior</title> <excerpt>Human error is a significant cause of aviation accidents, and numerous individual psychological factors strongly influence pilots' safety behavior. Therefore, it is crucial to identify factors that may enhance pilots' safety behavior and explore their underlying mechanisms. Based on the Theory of Planned Behavior (TPB), this study examines whether, how, and under what conditions defensive pessimism affects pilots' safety behavior from a cognitive strategy perspective.</excerpt>",6
2026,Flying high or saying goodbye? passenger incivility and flight attendants’ turnover intention: A serial mediation model of surface acting and emotional exhaustion,"<title>Flying high or saying goodbye? passenger incivility and flight attendants’ turnover intention: A serial mediation model of surface acting and emotional exhaustion</title> <excerpt>This study aims to examine a serial mediation model in which passenger incivility affects emotional labour (ie surface acting), which in turn influences emotional exhaustion, which ultimately increases the intention to leave among flight attendants. The mediating roles of surface acting and emotional exhaustion are also examined in this model. Data from a sample of 203 flight attendants of major airlines in China was collected and analysed.</excerpt>",3
2026,Business travel stress and the moderating effect of corporate aircraft utilization on employee Well-Being: Business aviation from a stakeholder perspective,"<title>Business travel stress and the moderating effect of corporate aircraft utilization on employee Well-Being: Business aviation from a stakeholder perspective</title> <excerpt>This study investigates how access to corporate aircraft moderates the relationship between business travel stress and employee well-being. Using the Job-Demands-Resources and Person-Environment Fit models, this research reveals that business travel stress relates to time pressure, travel environment, and work-family conflict, which affect physical, psychological, and social well-being. However, corporate aircraft use restores control, relieves stress, and reduces fatigue, emotional exhaustion, and work-family conflict.</excerpt>",3
2026,"Leadership, safety climate, and neuroticism: Integrating organizational and individual factors into the prediction of air technicians’ safety behaviors","<title>Leadership, safety climate, and neuroticism: Integrating organizational and individual factors into the prediction of air technicians’ safety behaviors</title> <excerpt>Air technicians' safety behavior is crucial to aviation safety, and thus it is important to identify factors that may enhance such behavior and explore its mechanisms. By incorporating Safety-Specific Transformational Leadership (SSTL), safety climate, and neuroticism, this study examines whether, how, and when SSTL predicts air technicians' safety behaviors from the perspective of both organizational and individual factors. Correlation, mediation, and moderation analyses were conducted on data from a sample of 995 air technicians from six aviation enterprises in China.</excerpt>",32
2026,Research on optimization of exhaust structure and exhaust noise reduction for an aviation piston two-stroke engine,"<title>Research on optimization of exhaust structure and exhaust noise reduction for an aviation piston two-stroke engine</title> <excerpt>The two-stroke engine has emerged as the predominant power source for drones due to its distinctive advantages. However, the operational principles of these engines generate significant exhaust noise, which compromises both the stealth capabilities of drones and human physical and mental health. The installation of a muffler in two-stroke engines can increase back pressure within the cylinder, leading to a reduction in power output.</excerpt>",7
2025,A systematic review on the impact of climate change on occupational mental health: a focus on vulnerable industries,"<title>A systematic review on the impact of climate change on occupational mental health: a focus on vulnerable industries</title> <excerpt>Aims: This systematic review aims to examine how climate change and its related stressors may affect the mental health of workers in industries vulnerable to climate change. The review also seeks to evaluate coping strategies used by affected workers, as well as potential interventions to mitigate and prevent these mental health effects. Method: A literature search was conducted in June 2024 in databases such as PUBMED, EMBASE, PsycINFO and Web of Science, using a combination of keywords about climate change, mental health or illness, and vulnerable industries.</excerpt>",-1
2025,The role of psychological stress in the subjective well-being of aviation ground crews: mediating effects of social support and self-esteem,"<title>The role of psychological stress in the subjective well-being of aviation ground crews: mediating effects of social support and self-esteem</title> <excerpt>Background: This study investigated the relationship between psychological stress and subjective well-being among aviation ground crews, with a focus on the mediating roles of social support and self-esteem. Methods: In this cross-sectional investigation, 533 ground crew members completed validated assessments, including the Stress Self-evaluation Test, the Perceived Social Support Scale, the Self-liking/Self-competence Scale-Revised, the Satisfaction with Life Scale and the Positive and Negative Affect Scale. Statistical analyses were performed via R software and Mplus.</excerpt>",3
2025,A Southeast Asia National Aviation Company benchmarking by regret theory-based data envelopment analysis model,"<title>A Southeast Asia National Aviation Company benchmarking by regret theory-based data envelopment analysis model</title> <excerpt>National airlines play a pivotal role in fostering economic growth, facilitating trade, and promoting tourism. With Asia's aviation economic expansion and diverse cultural landscapes, the aviation industry has a role in linking nations, facilitating cultural exchange, and enhancing cross-border cooperation. In the aftermath of the global COVID-19 pandemic, the aviation industry in Asia has faced unprecedented challenges.</excerpt>",-1
2025,Vection Measured During the 2023 Military Health Service Research Symposium Using a Virtual Reality Headset,"<title>Vection Measured During the 2023 Military Health Service Research Symposium Using a Virtual Reality Headset</title> <excerpt>Introduction Vection, a stationary individual's illusion of self-motion, is a form of spatial disorientation (SD) typically provoked visually. In aviation, SD is a failure to correctly sense one's position, motion, and/or attitude in relation to the earth's surface and its gravitational vertical. The Virtual Reality Vection System (VRVS) induces vection with visual virtual reality (VR) technology.</excerpt>",13
2025,"Cognitive Engagement Profiling of Pilots in High-Speed, High-Threat Scenarios","<title>Cognitive Engagement Profiling of Pilots in High-Speed, High-Threat Scenarios</title> <excerpt>INTRODUCTION: This study investigated pilot cognitive engagement patterns across diverse flight conditions using electroencephalography (EEG)-based measurements in a high-fidelity rotary-wing simulation environment. METHODS: A total of 8 experienced U.S. Army test pilots completed 24 flights across 3 distinct route designs using the National Aeronautics and Space Administration Ames Vertical Motion Simulator, with airspeeds ranging from 120 to 240 kn.</excerpt>",0
2025,Assessing the role of emotional intelligence in risk behavior across safety critical environments: A systematic review,"<title>Assessing the role of emotional intelligence in risk behavior across safety critical environments: A systematic review</title> <excerpt>Background: Emotional Intelligence (EI) refers to the capacity to perceive, understand, regulate, and manage emotions in oneself and others. In safety–critical environments, this ability can influence risk perception and decision-making. Objective: This systematic literature review (SLR) assesses how EI affects risk-related behaviors in domains such as aviation, ground transportation, healthcare, and psychology.</excerpt>",69
2025,Predicting safety attitudes in aviation maintenance using machine learning: An exploratory study,"<title>Predicting safety attitudes in aviation maintenance using machine learning: An exploratory study</title> <excerpt>This study explores the application of machine learning techniques in predicting safety attitudes among aviation maintenance personnel. Personality traits and demographic information are used for this purpose, with data obtained from an online dataset. The Random Forest machine learning algorithm was utilised to identify the relationships and to enable predictions.</excerpt>",-1
2025,Dare to Fly? Analyzing psychological reactions and travel attitudes of Chinese social media users post-aviation accidents through text mining,"<title>Dare to Fly? Analyzing psychological reactions and travel attitudes of Chinese social media users post-aviation accidents through text mining</title> <excerpt>Background: Commercial air travel is essential to modern society, but aviation accidents can have profound psychological impacts. The public's emotional responses and attitudes toward air travel are shaped by factors such as the severity of the incident and its social repercussions. Objectives: The study analyzes how the Chinese public's concerns, emotional responses, attributions, and attitudes toward air travel change following aviation accidents with varying severity and social impact.</excerpt>",-1
2025,How to assess situation awareness while driving with automation? Impact of visual attention during AD mode on measures of situation awareness,"<title>How to assess situation awareness while driving with automation? Impact of visual attention during AD mode on measures of situation awareness</title> <excerpt>A variety of objective and subjective methods is used to assess situation awareness (SA) in automated driving (AD). In fields like aviation, established methods like SAGAT are used as state of the art for assessing SA, whereas in AD, there is less consensus on the most valid measures. In a driving simulator study with N = 41 participants, four different levels of SA were experimentally created by manipulating visual attention during AD.</excerpt>",9
2025,Pilot flying versus pilot monitoring: The effect of role assignment on pilots’ perceived risk in flight simulation experiment,"<title>Pilot flying versus pilot monitoring: The effect of role assignment on pilots’ perceived risk in flight simulation experiment</title> <excerpt>Humans’ risk perception has been recognized as a significant factor affecting behavior safety. In the aviation domain, the two different roles of crews in the cockpit—pilot flying (PF) versus pilot monitoring (PM)—are responsible for different tasks. However, little is known about how role assignment shapes pilots’ perceived risk.</excerpt>",6
2025,Portable EEG-Based Emotion Recognition Utilizing Flexible Brain Electrodes for Hairless Regions,"<title>Portable EEG-Based Emotion Recognition Utilizing Flexible Brain Electrodes for Hairless Regions</title> <excerpt>Electroencephalogram (EEG)-based emotion recognition is crucial for understanding human behavior as well as individual mental health and social interactions. Currently, EEG-based emotion recognition is hindered by challenges with cumbersome equipment, complex procedures, and low recognition accuracy. Here, this study presents a novel method for portable EEG-based emotion recognition utilizing flexible electrodes on hairless scalp regions.</excerpt>",0
2025,Avoiding automation surprise: Identifying requirements to support pilot intervention in automated Uncrewed Aerial Vehicle (UAV) flight,"<title>Avoiding automation surprise: Identifying requirements to support pilot intervention in automated Uncrewed Aerial Vehicle (UAV) flight</title> <excerpt>The breadth and depth of Uncrewed Aerial Vehicle (UAV) operations are expanding at a considerable rate. With expansion comes challenges for the design of automation to support decision making. This research takes the perceptual cycle model (PCM) and the derived trust version of the Schema World Action Research Method (T-SWARM), to identify the issues and challenges of pilot intervention in UAVs operating during highly automated states.</excerpt>",90
2025,A psychological perspective on aviation disasters through ecological and social lenses,"<title>A psychological perspective on aviation disasters through ecological and social lenses</title> <excerpt>Reuben Baron's key contribution to ecological psychology lies in advocating the idea that we perceive humans and animals in our environment similarly to how we perceive inanimate objects, through the active detection of information. This chapter explores how this perspective can enhance our understanding of real-world behavior, focusing on three case studies from the history of commercial aviation disasters. By integrating Baron's direct social perception strategy with the theoretical framework of distributed cognition in functional group activity, we argue that these approaches are highly compatible.</excerpt>",-1
2025,NO CRASH LANDINGS: UPHOLDING THE STANDARD OF CARE IN BEHAVIORAL HEALTH SERVICES FROM CHILDHOOD THROUGH YOUNG ADULTHOOD,"<title>NO CRASH LANDINGS: UPHOLDING THE STANDARD OF CARE IN BEHAVIORAL HEALTH SERVICES FROM CHILDHOOD THROUGH YOUNG ADULTHOOD</title> <excerpt>The introduction establishes the book's focus on the leadership demands of behavioral health organizations serving children, youth, and young adults with complex needs. Drawing a parallel between crash landings in aviation and sentinel events in behavioral health, it underscores the critical need for leadership vigilance to prevent avoidable crises. The introduction defines the book's purpose: to equip current and emerging leaders with practical models, strategies, and real-world case studies that illuminate essential management practices for upholding the standard of care.</excerpt>",-1
2025,Resilience and Grit for Sustainable Well-Being at Work: Evidence from High-Pressure Service Organizations,"<title>Resilience and Grit for Sustainable Well-Being at Work: Evidence from High-Pressure Service Organizations</title> <excerpt>This study investigates how resilience and multidimensional happiness at work (HAW), comprising work engagement, job satisfaction, and affective organizational commitment, contribute to grit among employees in high-pressure service environments. Drawing on Fredrickson’s Broaden-and-Build Theory, we test a model using data collected in 2024 from 293 employees at an international airport in Cyprus. Structural equation modeling reveals that resilience significantly enhances both grit and all three HAW dimensions.</excerpt>",3
2025,Autistic-led insights on airport accessibility: A retrospective analysis of environmental assessments,"<title>Autistic-led insights on airport accessibility: A retrospective analysis of environmental assessments</title> <excerpt>Autistic people often encounter significant barriers when navigating airports, largely due to overwhelming sensory environments, stringent security procedures, and crowded spaces. This study aimed to enhance understanding of airport accessibility by retrospectively analyzing reports from Autistic-led environmental assessments conducted at six Australian airports between 2017 and 2024. Drawing on an evidence-informed autism-friendly framework, the assessments focused on eight key elements, including sensory adaptations, communication supports, and preparation and predictability.</excerpt>",28
2025,The impact of performance management systems on employee work attitudes: empirical evidence,"<title>The impact of performance management systems on employee work attitudes: empirical evidence</title> <excerpt>In today’s dynamic business environment, organizations are increasingly recognizing their workforce as a vital asset, with effective performance management playing a crucial role in driving success. This study investigates the impact of Performance Management Systems (PMS) on employee attitudes within the United Arab Emirates (UAE) aviation industry. Specifically, it examines the mediating role of Employee Engagement (EE) and the moderating influence of Organizational Climate (OC), two factors that have been underexplored in the existing literature.</excerpt>",-1
2025,A cross-sectional study on the association between environmental residential noise exposure with cognitive functioning and structural markers of brain damage − The Maastricht study,"<title>A cross-sectional study on the association between environmental residential noise exposure with cognitive functioning and structural markers of brain damage − The Maastricht study</title> <excerpt>Background Environmental noise negatively impacts physical and mental health, but its effects on brain health remain unclear. This study investigates associations between environmental noise exposure (objective and self-reported), cognitive functioning, and structural brain markers in a large adult population, while considering psychological, sensory, sociodemographic, and health-related modifiers. Methods Cross-sectional data from 4,023 participants (aged 40–75 years) in The Maastricht Study were matched with address-level noise data (roads, railways, aviation, industry, wind turbines) and self-reported noise exposure (traffic, work, neighbors).</excerpt>",7
2025,From family incivility to burnout among Chinese commercial aviation pilots: A moderated mediation role of psychological capital and happiness at work,"<title>From family incivility to burnout among Chinese commercial aviation pilots: A moderated mediation role of psychological capital and happiness at work</title> <excerpt>Family incivility is a low-intensity, disrespectful behaviour among family members that violate norms of mutual respect. It affects individuals' mental health, thus posing a substantial threat to positive work outcomes and organisational performance. This study examines the influence of family incivility on airline transport pilots' burnout through the mediating role of happiness at work (HAW) and the moderating role of psychological capital (PsyCap).</excerpt>",3
2025,"Medical Reporting Behavior of Military, Commercial, and General Aviation Pilots","<title>Medical Reporting Behavior of Military, Commercial, and General Aviation Pilots</title> <excerpt>INTRODUCTION: Pilots are undoubtedly among employees who undergo rigorous medical evaluations to ensure they are fit to fly. However, accidents like the Germanwings Flight 9525 highlight that medically unfit individuals can still end up in the cockpit. METHODS: This study sought to investigate Greek pilots' attitudes toward medical reporting, given that the available national research is very limited.</excerpt>",40
2025,The investigation on EEG characteristic parameters change when executing cognitive ability tasks under centrifuge G acceleration,"<title>The investigation on EEG characteristic parameters change when executing cognitive ability tasks under centrifuge G acceleration</title> <excerpt>Objectives: Flight cognitive ability is the core element of guaranteeing flight safety. This study attempts to explore the basic cognitive operation ability of pilots under overload environment, and provides reference for the research on the index screening and monitoring technology methods cognitive operation ability under centrifuge overload condition. Methods: A specific cognitive operation ability task is designed, physiological signals such as electroencephalography (EEG) when performing cognitive ability tasks under human centrifuge overload condition are obtained, and the characteristic parameters changes are studied.</excerpt>",0
2025,Post-COVID-19 Neurocognitive Screening in Routine Pilot Aeromedical Evaluations,"<title>Post-COVID-19 Neurocognitive Screening in Routine Pilot Aeromedical Evaluations</title> <excerpt>INTRODUCTION: One crucial aspect of flight safety is being able to detect medical or neuropsychological conditions during aeromedical examinations. However, subtle but safety-significant post-COVID-19 neurocognitive impairments may go unreported or undetected. The Trail Making Test (TMT) and Symbol Digit Modalities Test (SDMT) can detect these impairments in domains essential to pilot performance, though further investigation is needed to assess their effectiveness and clinical utility in routine pilot aeromedical examinations.</excerpt>",17
2025,Quantifying the Impact of Spatial Disorientation on Pilot Mental Workload and Attentional Focus,"<title>Quantifying the Impact of Spatial Disorientation on Pilot Mental Workload and Attentional Focus</title> <excerpt>Objective: We aimed to find objective measures of the impact of spatially disorienting (SD) stimuli on pilot cognition in an ecologically valid environment. Background: SD frequently occurs in military rotary-wing operations and often contributes to mishaps. Effects of SD stimuli on pilots are usually quantified using control errors, but effects on cognition have not yet been successfully quantified.</excerpt>",13
2025,The Moderating Role of Resilience in the Relationship Between Occupational Stressors and Psychological Distress Among Aviation Pilots in Pakistan,"<title>The Moderating Role of Resilience in the Relationship Between Occupational Stressors and Psychological Distress Among Aviation Pilots in Pakistan</title> <excerpt>Background: Aviation is one of the most demanding professions, exposing pilots to persistent stressors such as fatigue, irregular schedules, and high safety responsibility. These conditions heighten vulnerability to depression, anxiety, and stress (DAS), yet the protective mechanisms mitigating such effects remain less well understood. Objective: This study examined the roles of resilience, coping strategies, and fatigue in predicting DAS among commercial airline pilots.</excerpt>",3
2025,Artificial Intelligence: Effective Socionics Models of Psycho-Informational Processes and Quantum Computers,<title>Artificial Intelligence: Effective Socionics Models of Psycho-Informational Processes and Quantum Computers</title> <excerpt>The creation of a full-fledged multifunctional artificial intelligence is impossible without understanding mental processes and the nature of consciousness. This review of theoretical and experimental studies of the quantum nature of the psyche and consciousness is based on the author's results showing the connection between quantum and mental processes. Numerous studies confirm the quantum nature of mental processes and consciousness.</excerpt>,52
2025,Assessment of individual and dyadic workload of student and instructor pilots in real and simulated flight: An exploratory study,"<title>Assessment of individual and dyadic workload of student and instructor pilots in real and simulated flight: An exploratory study</title> <excerpt>Flight instructors are vital in the training of novice pilots. Just as the mental workload in student pilots fluctuates during training, so does the mental workload of the instructors, affecting their dyadic performance and judgment. This paper explored how training environments (simulated vs real flight), flight control conditions (student pilot flying vs monitoring), and flight phases (take-off vs downwind vs landing) could affect mental workload in student and instructor pilots, as well as their interpersonal coordination through electrocardiography (ECG) based measures.</excerpt>",0
2025,A panel data analysis of the impact of government trust on support for universal and air travel vaccine mandates during the COVID-19 pandemic,"<title>A panel data analysis of the impact of government trust on support for universal and air travel vaccine mandates during the COVID-19 pandemic</title> <excerpt>Does trust in the executive branch of the government influence support for collective public health measures? While previous research has primarily examined how trust in the government influences personal health decisions, such as individual vaccination choices, this article explores the role of trust in shaping support for collective public health measures like vaccine mandates. Unlike individual vaccine acceptance, which focuses on the costs and benefits of personal health decisions, supporting vaccine mandates requires individuals to weigh community health benefits against the potential restriction of others' autonomy. Insufficient support for these measures can undermine a government's ability to achieve its public health objectives.</excerpt>",14
2025,Effect of HD-tDCS targeting the DLPFC on cognitive ability and flight simulation performance in healthy adults,"<title>Effect of HD-tDCS targeting the DLPFC on cognitive ability and flight simulation performance in healthy adults</title> <excerpt>Objective: This study aimed to investigate the effects of high-definition transcranial direct current stimulation (HD-tDCS) on attention, working memory, inhibitory control, and cognitive flexibility in healthy adults, and to examine its association with flight simulation performance. Methods: One hundred healthy adults aged 18–30 years were randomly assigned to one of four groups: left DLPFC anodal HD-tDCS, right DLPFC anodal HD-tDCS, bilateral DLPFC anodal HD-tDCS, or sham stimulation. Cognitive abilities and flight simulation performance were assessed before and after the intervention.</excerpt>",0
2025,"Preparing industry-ready graduates: Interplay of lecturer behavior, self-motivation, and soft skill development in vocational education","<title>Preparing industry-ready graduates: Interplay of lecturer behavior, self-motivation, and soft skill development in vocational education</title> <excerpt>This study investigates the influence of lecturer behavior on student self-motivation, soft skill development, and the integration of these factors into learning quality and hard skill competency within the context of vocational education. Drawing on Self-Determination Theory (SDT) and Social Learning Theory (SLT), the research emphasizes the importance of motivation-driven instruction in preparing students for Industry 4.0. Data were collected from 229 final-year students at four Indonesian aviation polytechnic institutions.</excerpt>",66
2025,Workload Analysis of Pilot During Single-Engine Failure Based on EEG Data,"<title>Workload Analysis of Pilot During Single-Engine Failure Based on EEG Data</title> <excerpt>This study investigates cognitive workload assessment in aviation emergency scenarios using electroencephalography (EEG). Thirty-seven male cadet pilots performed single-engine failure tasks on the Chengdu Tianfu-Shuangliu route using a high-fidelity Airbus A320 simulator. EEG signals were recorded using a 32-channel Emotiv EPOC Flex system, from which 448 features were extracted across time-domain, frequency-domain, and nonlinear domains.</excerpt>",0
2025,Spatial Disorientation Event During Flight Due to Proposed Reverse-Dip Visual Illusion,"<title>Spatial Disorientation Event During Flight Due to Proposed Reverse-Dip Visual Illusion</title> <excerpt>BACKGROUND: Spatial disorientation is a leading nontechnical cause of fatal military aviation accidents, triggered by insufficient or misleading cues mainly from the visual and vestibular systems. Spatial disorientation accounts for 20-38% of fatal military aviation accidents, but case reports describing specific illusions during actual flight are rare. CASE REPORT: On a clear night, an aerial refueling tanker was cruising at 16,000 ft (4877 m), while an F-15I fighter aircraft was 3 mi behind and 971 ft (296 m) below.</excerpt>",13
2025,Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research,"<title>Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research</title> <excerpt>Monitoring pilot cognitive state in real time is becoming increasingly important as automation plays a larger role in aviation. Traditional workload assessments, such as questionnaires or task-based performance metrics, provide useful insights but can be limited in rapidly changing flight environments. Physiological measures, including heart rate, respiration, and electroencephalogram (EEG), offer continuous data streams, yet their variability and complexity present challenges for analysis.</excerpt>",0
2025,Mentoring for Wellbeing Across the Professions and Disciplines,"<title>Mentoring for Wellbeing Across the Professions and Disciplines</title> <excerpt>Mentoring for Wellbeing Across the Professions and Disciplines offers invaluable insights into how mentorship can enhance wellbeing across various fields and professional settings. By focusing on the dual aims of personal support and professional learning, this book highlights the often-overlooked positive impact of mentoring on both mentors and mentees. It provides practical advice and theoretical perspectives on how developmental relationships foster mutual trust and benefit all parties involved, ultimately helping mentees assimilate into new roles and develop essential skills.</excerpt>",-1
2025,Reinforcement learning-based affine formation maneuver control of autonomous surface vehicles with safety constraints under time-varying actuator faults,"<title>Reinforcement learning-based affine formation maneuver control of autonomous surface vehicles with safety constraints under time-varying actuator faults</title> <excerpt>As a novel strategy, the affine formation maneuver control (AFMC) employs stress matrices and affine transformation theory to simultaneously realize various leader–follower formation maneuvers including collinearity, rotation, scaling, shearing, and translation. So far, only a few publications have reported the AFMC of multiple autonomous surface vehicles (ASVs). This study aims to explore the leader–follower reinforcement learning-based fractional-order sliding mode AFMC (RL-based FOSMAFMC) approach for ASVs with safety constraints subjected to time-varying actuator faults.</excerpt>",-1
2025,Construction of leadership competency model for civil aviation flight cadets: An empirical study from China,"<title>Construction of leadership competency model for civil aviation flight cadets: An empirical study from China</title> <excerpt>Human factors are often linked to unsafe events in civil aviation transport, with the competency level and decision-making abilities of flight crews playing a significant role. The leadership and teamwork competency of the flight crew in the cockpit directly influences the occurrence of aviation safety incidents. Leadership is a developmental and trainable skill.</excerpt>",-1
2025,"Physical, psychological and behavioural responses of aircraft occupants to volcanic emissions","<title>Physical, psychological and behavioural responses of aircraft occupants to volcanic emissions</title> <excerpt>Volcanic eruptions produce plumes of ash, gas and aerosols that present a risk to aviation at all standard flight levels. Here, we investigate atmospheric dispersal of volcanic emissions, whether and how they infiltrate aircraft, and whether ground-level public health exposure thresholds can be related to the pressurised cabin environment. We then review the limited evidence for physical and mental health, and behavioural impacts, resulting from volcanic emissions entering aircraft.</excerpt>",36
