Topic,Count,Name,Representation,Representative_Docs
9,33,9_motion sickness training,['motion sickness training'],"['<title>The time course of postflight simulator sickness symptoms</title> <excerpt>Reports of posteffects following training sessions in Navy and Army flight simulators were obtained from pilots to determine the time course of recovery from simulator sickness. Results imply that posteffects may be a more serious problem than previously considered; 45% of all those queried (N > 700) reported having experienced symptoms of simulator sickness; 25% of the symptoms lasted more than 1 h after leaving the simulator; and 8% lasted more than 6 h.</excerpt>', '<title>A comparison of two methods of training resistance to visually-induced motion sickness.</title> <excerpt>This report concerns the use of two methods of training subjects to tolerate visually-induced motion sickness (VMS). Sixteen subjects were selected on the basis of their response to a motion sickness history questionnaire and assigned to one of four groups on the basis of their ability to tolerate visually-induced motion (VM).</excerpt>', '<title>Simulator induced syndrome: Evidence for long-term aftereffects</title> <excerpt>Pilots have experienced various adverse symptoms hours and even days following flight simulator training. This study surveyed pilots undergoing simulator training in an attempt to provide an initial gauge of the extent, severity, and possible risk factors of long-term (>1 day) simulator aftereffects.</excerpt>']"
10,33,10_circadian rhythms in aviation,['circadian rhythms in aviation'],"[""<title>Circadian adaptation of airline pilots during extended duration operations between the USA and Asia</title> <excerpt>This study tracked circadian adaptation among airline pilots before, during, and after trips where they flew from Seattle (SEA) or Los Angeles (LAX) to Asia (7-9 time zones westward), spent 7-12d in Asia, and then flew back to the USA. In Asia, pilots' exposures to local time cues and sleep opportunities were constrained by duty (short-haul flights crossing 1 time zone/24h).</excerpt>"", ""<title>Flight attendants' desynchronosis after rapid time zone changes</title> <excerpt>The aim of the present study was to measure perceived effects of rapid time zone changes on flight attendants' sleep length, quality, adaptation, and recovery time, and to clarify the individuals factors related to perceived desynchronosis after time zone changes. The mean age of 285 female subjects was 35.0 years and that of 57 men was 34.1 years.</excerpt>"", '<title>Eastward long distance flights, sleep and wake patterns in air crews in connection with a two-day layover</title> <excerpt>The present study describes the spontaneous sleep/wake pattern in connection with an eastward (Stockholm to Tokyo, +8 h) transmeridian flight and short (51 h) layovers. To describe all sleep episodes and the recovery process across 4 days, and to relate adjustment to individual differences, 49 Scandinavian Airlines System (SAS) air crew were monitored for 9 days with activity monitors and sleep/wake diary before-during-after flight.</excerpt>']"
11,33,11_aeromedical evacuation insights,['aeromedical evacuation insights'],"['<title>Coping and recovery styles in the vietnam era prisoner of war</title> <excerpt>Of the nearly 600 Vietnam War American prisoners of war (POWs), 332 were United States Air Force flyers who had suffered maltreatment, confinement, and boredom for months to years. We examined four coping styles of USAF POWs related to successful/ unsuccessful coping and resistance stance during captivity and cognitive integration of the prisoner experience after repatriation.</excerpt>', '<title>Care in the air: Bringing the wounded closer to home</title> <excerpt>Aeromedical evacuation (AE) is a system within the Air Force to provide patient care in the air during transport between levels of care. The system predominantly uses guard and reserve flight crew members who are arranged into rotations.</excerpt>', ""<title>Air medical transport: What the family wants to know</title> <excerpt>Introduction: The needs of family members of intensive care unit patients are well-documented, but there is little published about the specific needs of family members of air medical patients. Purpose: This study was devised to identify family member's information needs regarding air medical transport.</excerpt>""]"
12,33,12_team dynamics in aviation,['team dynamics in aviation'],"['<title>Communication as group process mediator of aircrew performance</title> <excerpt>This study of group process was motivated by a high-fidelity flight simulator project in which aircrew performance was found to be better when the crew had recently flown together. Considering recent operating experience as a group-level input factor, aspects of the communication process between crewmembers (Captain and First Officer), were explored as a possible mediator to performance.</excerpt>', ""<title>Team task analysis: Differentiating between tasks using team relatedness and team workflow as metrics of team task interdependence</title> <excerpt>Objective: As a constructive replication and extension of Arthur, Edwards, Bell, Villado, and Bennett (2005), the objective of the current study was to further investigate the efficacy of team relatedness and team workflow ratings (along with their composite) as metrics of interdependence.Background: Although an analysis of task and job interdependence has important implications and uses in domains such as job design, selection, and training, the job analysis literature has been slow to develop an effective method to identify team-based tasks and jobs.Method: To achieve the study's objectives, 140 F-16 fighter pilots (35 four-person teams) rated 34 task and activity statements in terms of their team relatedness and team workflow.Results: The results indicated that team relatedness and team workflow effectively differentiated between tasks with varying levels of interdependency (as identified by instructor pilots who served as subject matter experts) within the same job. In addition, teams that accurately perceived the level of interdependency performed better on a four-ship F-16 flight-training program than those that did not.Conclusion: Team relatedness and team workflow ratings can effectively differentiate between tasks with varying levels of interdependency.Application: Like traditional individual task or job analysis, this information can serve as the basis for specified human resource functions and interventions, and as diagnostic indicators as well.</excerpt>"", '<title>The role of trainee knowledge structures in aviation team environments</title> <excerpt>The importance of having well-developed knowledge structures to enhance complex team performance has been recently indicated in the training effectiveness literature. This work tested that proposition within an aviation team training setting.</excerpt>']"
13,31,13_air traffic controller selection,['air traffic controller selection'],"['<title>Use of path models to study a precareer air traffic control training program</title> <excerpt>Past studies have demonstrated that women and minorities are less likely to be selected as FAA air traffic controllers than are nonminority men and, when selected, are less likely to be successful. One major reason for this is that women and minorities have less aviation-related background experience.</excerpt>', '<title>Do Personality Traits Predict Training Performance?: the Use of a Personality Questionnaire for Air Traffic Controller Selection</title> <excerpt>Most test batteries for the selection of ab initio air traffic controllers (ATCOs) include a personality questionnaire. However, the literature suggests that the relationship between personality and job performance is not straightforward: Correlations are found only for a limited set of personality factors, depend on job characteristics, and are at best small to moderate in size.</excerpt>', ""<title>Objective assessment of prior air traffic control-related experience through the use of an occupational knowledge test</title> <excerpt>The Occupational Knowledge Test (OKT) 101-B was administered to 784 air traffic control trainees who entered the FAA Academy's 16-week training course in 1976. All trainees completed the nonradar laboratory portion of the training and, in addition, completed a preemployment questionnaire.</excerpt>""]"
14,29,14_spatial disorientation in pilots,['spatial disorientation in pilots'],"['<title>Aviation-Associated Spatial Disorientation and Incidence of Visual Illusions Survey in Military Pilots</title> <excerpt>Objective: The lack of information on active military pilots has led to the present study, which aimed to analyze the sense of aviation-associated spatial disorientation and the incidence of visual illusions of fighter and transport military pilots through a post-flight survey. Background: The advance of aeronautics has led to further aircraft developments, increasing heights and speeds which increase the psychophysiological demands, thus leading to greater incidence of spatial disorientation and visual illusions.</excerpt>', '<title>Susceptibility to Flight Simulator-Induced Spatial Disorientation in Pilots and Non-Pilots</title> <excerpt>Objective: This study aimed to investigate whether pilots and non-pilots differ in their susceptibility to spatial disorientation (SD) during a flight in various disorienting scenarios, and in coping with SD. Background: Pilot selection is relevant in assessing pilots’ susceptibility to SD.</excerpt>', '<title>Flight Experience and Mental Representations of Space</title> <excerpt>Objective: This study investigated whether increased flight experience as a pilot was associated with improved small-scale spatial skills and the ability to form a cognitive map of a novel ground-based virtual environment. Background: Early-career civil aviation pilots have been shown to form more accurate cognitive maps of a novel virtual environment than nonpilots.</excerpt>']"
15,29,15_pilot performance and awareness,['pilot performance and awareness'],"['<title>The Invisible Copilot?: Assessing Task Engagement and Team Dynamics in a Virtual Flight Environment Using Eye-Tracking Metrics</title> <excerpt>Gaze behavior represents a vital predictor of flight performance in pilots operating an aircraft. However, its role in collaborative settings with a copilot has been largely disregarded.</excerpt>', '<title>Effect of Pilot Expertise on Visual Scanning and Precision of Flight Maneuvers in Military Aviation</title> <excerpt>This study explored how expertise affects visual scanning strategies and the precision of flight maneuvers in military aviation. A total of 38 French Air Force pilots of three different expertise levels performed horizontal and vertical maneuvers in a flight simulator.</excerpt>', '<title>Pilot Flying and Pilot Monitoring’s Aircraft State Awareness During Go-Around Execution in Aviation: A Behavioral and Eye Tracking Study</title> <excerpt>Objective: Examination of the performance and visual scanning of aircrews during final approach and an unexpected go-around maneuver. Background: Accident and incident analyses have revealed that go-around procedures are often imperfectly performed because of their complexity, their high time stress, and their rarity of occurrence that avails little time for practice.</excerpt>']"
16,29,16_military flight physiology,['military flight physiology'],"['<title>Urinary catecholamine responses in F-15 pilots: Evaluation of the stress induced by long-distance flights</title> <excerpt>Included in the Cooperative Cope Thunder exercises from Japan to Alaska is one of the longest distance flight missions carried out by Japan Air-Self Defense Force F-15 pilots. The magnitude of the flight stress of these pilots is considered to be quite high.</excerpt>', '<title>Neuroendocrine responses to real and simulated BA Hawk MK 51 flight</title> <excerpt>The effects of psychological workload on the plasma levels of eight neuroendocrine hormones were studied in 5 undergraduate and 5 senior military pilots of the Finnish Air Force (FAF). All subjects performed the same short- term basic flight mission, which included the following: 1) start; 2) ILS- approach in minimum weather conditions; 3) visual approach; and 4) landing.</excerpt>', '<title>Effects of flight workload on urinary catecholamine responses in experienced military pilots</title> <excerpt>Summary.-This study investigated the flight responses induced by strenuous acrobatic demonstration flight and an air-to-air combat maneuvering flight in experienced pilots. Subjects were 54 military male pilots on a volunteer basis: 8 T-4 pilots (M = 35.8 yr., SD = 4.9), 15 F-4 pilots (M = 32.6 yr., SD = 5.1), 13 F-15 pilots (M = 33.8 yr., SD=1.0), and 18 F-2 pilots (M = 33.7 yr., SD = 3.9).</excerpt>']"
17,28,17_pilot health and safety,['pilot health and safety'],"['<title>Aviator Healthcare Hesitance: An Examination of Healthcare Avoidance, Pilot Mistrust, Presenteeism, & Risk</title> <excerpt>Safe aviation operations require pilots to maintain constant physical and psychological well-being. While the FAA and pilot advocacy organizations encourage aviators to discuss health concerns with their medical providers, studies demonstrate continued healthcare hesitance behaviors.</excerpt>', '<title>Fit for Flight? Inappropriate Presenteeism Among Swedish Commercial Airline Pilots and Its Threats to Flight Safety</title> <excerpt>Objective: The purpose of this cross-sectional survey study was to investigate the prevalence of presenteeism, attending work when ill, among Swedish commercial airline pilots and how presenteeism relates to mental health and flight safety. Background: Pilots are regulated to refrain from duty when their mental or physical state could endanger safety.</excerpt>', '<title>Pilot mental health, negative life events, and improving safety with peer support and a just culture</title> <excerpt>BACKGROUND: In the last 35 yr, 17 commercial aviation accidents and incidents, with 576 fatalities, could likely have been attributed to mental disease of a pilot. Screening tools for mental health risks in airline pilots are needed.</excerpt>']"
18,26,18_health impacts on pilots,['health impacts on pilots'],"['<title>A Contactless App-Based Intervention to Improve Health Behaviors in Airline Pilots: A Randomized Trial</title> <excerpt>Introduction: There is a need for enhanced preventive health care among airline pilots to mitigate the prevalence of cardiometabolic health risk factors. Study design: A randomized, waitlist-controlled trial was utilized to evaluate the effectiveness of a smartphone-based app intervention for improving health behaviors and cardiometabolic health parameters.</excerpt>', '<title>The effectiveness of a 17-week lifestyle intervention on health behaviors among airline pilots during COVID-19</title> <excerpt>Purpose: The aim of this study was to evaluate the efficacy of a 17-week, 3-component lifestyle intervention for enhancing health behaviors during the coronavirus disease 2019 (COVID-19) pandemic. Methods: A parallel-group (intervention and control) study was conducted amongst 79 airline pilots over a 17-week period during the COVID-19 pandemic.</excerpt>', '<title>Psychological distress in Spanish airline pilots during the aviation crisis caused by the COVID-19 pandemic and psychometric analysis of the 12-item general health questionnaire</title> <excerpt>The aim of this study was to evaluate the psychological distress of Spanish airline pilots, a group of professionals undergoing an unprecedented work situation as a result of the Covid-19 pandemic. To do so, we administered the General Health Questionnaire-12 (GHQ-12).</excerpt>']"
19,26,19_pilot performance assessment,['pilot performance assessment'],"['<title>The visual stress model-A psycho-physiological method for the evaluation of operational reliability of pilots and cosmonauts</title> <excerpt>An experimental psycho-physiological method is presented for the evaluation of visual-cognitive performance preconditions and operational reliability of pilots and cosmonauts. As visual-cognitive stress are used tachistoscopically presented instrument symbols under conditions of individual speed of work and time pressure.</excerpt>', '<title>Grounding of Pilots: Medical Reasons and Recommendations for Prevention</title> <excerpt>BACKGROUND: this article presents the results of an EASA-commissioned study aimed at analyzing the medical causes of grounding of a broad European pilot population and recommending measures to reduce the risk of in-flight incapacitation in commercial air transport pilots. method: European National Aviation Authorities (NAAs) were requested to provide data concerning the total number of pilots that were examined, their age and license category, number of unfit pilots, and the medical causes of each case of grounding.</excerpt>', ""<title>Professional aircrews' attitudes toward infectious diseases and aviation medical issues</title> <excerpt>Introduction: Air carrier and professional corporate aircrews provide a unique and highly distinct population in which to examine potential transport and transmission of infectious diseases (ID). This study sought to assess frequency of fl ying while acutely ill, identify clinical triggers in self-grounding, determine employer support for self-grounding, examine rates of infl uenza vaccination, and identify unmet needs for current information on ID issues related to extensive travel required of professional aircrews.</excerpt>""]"
20,25,20_pilot fatigue and safety,['pilot fatigue and safety'],"['<title>“Flying on empty”–effects of sleep deprivation on pilot performance</title> <excerpt>Today’s flight operations work on pressurised 24/7 timetables. As a result, sleep loss and fatigue are becoming commonplace among pilots and pose a serious threat to flight safety.</excerpt>', '<title>Fatigue in aviation: A survey of the awareness and attitudes of Indian air force pilots</title> <excerpt>Sleep loss and circadian rhythm disruptions cause fatigue in aircrew and thus affect flight safety. Intervention programs for fatigue in any organization should be based on relevant indigenous data.</excerpt>', '<title>Prevalence of fatigue among commercial pilots</title> <excerpt>Background: Short-haul pilots have largely been neglected in studies of fatigue, sleep loss and circadian disruption created by flight operations, but anecdotal evidence from pilots suggests that with the increasing amount of low-cost air travel, commercial pilots working short-haul operations may be becoming seriously fatigued. Aims: This study attempted to ascertain how much subjective fatigue short-haul pilots reported, and makes comparisons between low-cost and scheduled airline pilots.</excerpt>']"
21,23,21_aviation psychology studies,['aviation psychology studies'],"['<title>Some lessons from aviation psychology</title>', '<title>Selected papers from the First International Symposium on Aviation Psychology: I.</title>', '<title>Selected papers from the Fourth Symposium on Aviation Psychology: I</title>']"
22,22,22_military psychology research,['military psychology research'],"['<title>Clinical research in the Aviation Psychology Program of the Army Air Forces</title> <excerpt>During the past year there has been increased emphasis on the problems of training methods, instructor selection, selection of flying personnel for key positions in combat, and redistribution of returnees. Several significant studies utilizing clinical psychological methods are described in this report.</excerpt>', '<title>History, organization and research activities, Psychological Research Project (Navigator), Army Air Forces</title> <excerpt>The ninth in a series of reports describing the Aviation Psychology Program of the Army Air Forces, this article covers the work of the application of psychological and statistical techniques to research in navigation. It deals with the following points: (1) objective measures of skill in navigation; (2) research in training; (3) research on the selection of instructors; and (4) work in the Navigation Schools.</excerpt>', '<title>Psychological activities in the Training Command, Army Air Forces</title> <excerpt>The development of the Aviation Psychology Program in the AAF Training Command since an earlier report in 1943 (see 18: 1497) is treated, consisting largely of a report of the activities of the Psychological Section, Medical Division, Headquarters, AAF Training Command. The report is made under the following headings: mission of the section; organization and personnel; supervision of classification testing and processing; maintenance of basic data; development and validation of devices for predicting aircrew success; application of the classification test battery to other groups; training research problems; special research studies; publications; and prospectus.</excerpt>']"
23,22,23_aerospace mental health,['aerospace mental health'],"['<title>Psychiatric Aspects of Aviation Medicine</title>', '<title>Becoming a flight surgeon</title> <excerpt>This text is the inaugural lesson given by the Professor of Aeronautic Psychiatry and starts the training period for new flight surgeons in the French Air Force. Introducing the French Air Force Medicine Training Session, the author speaks about the psychological aspects in aviation medicine.</excerpt>', ""<title>The psychiatrist's role in aerospace operations</title> <excerpt>This paper presents two unique aspects of aerospace psychiatry: the influence of the specialized stressors and occupational requirements of an aviation career and the ambiguous role of the aerospace psychiatrist. Aerospace psychiatrists have multiple, sometimes conflicting, responsibilities to the organization and society (the social control task) and to the individual aviator (the humanistic and medical tasks).</excerpt>""]"
24,21,24_pilot mental health risks,['pilot mental health risks'],"['<title>After the Accident: Is There a Blame Bias Against the Airline?</title> <excerpt>Based on the deontological ethical perspective and concepts from blame psychology such as the defensive attribution hypothesis and culpable control, it is argued that people are predisposed to blame a transportation company when it is involved in an accident. This was tested in a scenario of an airline accident of uncertain cause, finding that respondents blamed the airline the most among a list of five blamable entities (pilots, mechanics-maintenance-inspectors, the weather, ground crew-air traffic control, and airline).</excerpt>', '<title>Post accident/incident counseling: Some exploratory findings</title> <excerpt>An examination of the literature, and other sources of information, suggested that there might be prophylactic value in early psychological intervention following crewmember involvement in stressful incidents. An exploratory study, at a small commercial pilot base (c200 pilots), was undertaken to assess the value of early intervention.</excerpt>', ""<title>Corporate instability is related to airline pilots' stress symptoms</title> <excerpt>The Symptoms of Stress questionnaire was administered to three random samples of commercial airline pilots. Respondents included 1 group of 212 pilots who were employed by an airline company with a history of corporate instability; and 2 groups, totalling 220 pilots, who were employed by 2 airline carriers with histories of corporate stability.</excerpt>""]"
25,21,25_situation awareness in pilots,['situation awareness in pilots'],"[""<title>A coherent impression of the pilots' situation awareness: Studying relevant human factors tools</title> <excerpt>A flight simulator experiment was set up to study relevant human factors tools for situation awareness assessment of pilots. A specific scenario was designed in which a malfunction of the aircraft was introduced during flight: an indicated air speed discrepancy.</excerpt>"", ""<title>Time Course of Anticipation in Pilots' Beyond-Visual-Range Situation Awareness</title> <excerpt>The study presented here aims to objectively measure the persistence in time of situation awareness (SA) in beyond-visual-range (BVR) situations. How long does a pilot maintain SA of air traffic communicated by radio? Overall, 63 participants (non-pilot and pilot trainees) had to position air traffic on a map based on radio calls.</excerpt>"", '<title>Evaluation of computer-based situation awareness training for general aviation pilots</title> <excerpt>This article describes the evaluation of 6 different computer-based training modules created to teach skills that underlie the development and maintenance of situation awareness, a competency shown to be critical in pilot decision-making performance. The modules targeted basic skills training for low-time pilots (checklist completion, air traffic control comprehension, psychomotor skills) as well as training on higher order cognitive skills (attention sharing, contingency planning) and intensive preflight planning.</excerpt>']"
