Topic,Count,Name,Representation,Representative_Docs
9,34,9_Stress in air traffic control,['Stress in air traffic control'],"['<title>Mental Workload in Air Traffic Control: An Index Constructed from Field Tests</title> <excerpt>Background: Mental workload assessment is a recurrent issue in air traffic control (ATC). Studies of ATC have used either objective aspects, ie, numbers and distribution of aircraft, or subjective factors, such as self-imposed performance and stress levels, with mixed results. This is partly due to the difficulty in bringing together comparable data pertaining to both air traffic, with its ever-changing distribution, and judgement or quickly fluctuating psychophysiological variables.</excerpt>', '<title>Review of stress in air traffic control: its measurement and effects</title> <excerpt>A large number of investigations have been conducted into air traffic control stress by researchers from different disciplines. This paper attempts to draw together this work by examining the methodologies and interpretations that have been used. The purpose of this approach is to highlight the research gaps in the area and to emphasize the need for greater interdisciplinary cooperation in the measurement and interpretation of air traffic control stress..</excerpt>', '<title>‘Actions not as planned’ in military air-traffic control</title> <excerpt>Observations were made of the errors made by eight air-traffic controllers over two periods each of 2½ hours. Errors were classified using a recently devised classification of motor-program errors (Reason 1979) and all the controllers were observed under three conditions of workload, and performing two ostensibly similar air-traffic tasks. More errors were found with increasing workload, but only in one of the tasks This was interpreted in terms of the pacing and time stress inherently imposed in that task.</excerpt>']"
10,33,10_Pilot fatigue impacts,['Pilot fatigue impacts'],"[""<title>Prevalence of fatigue among commercial pilots</title> <excerpt>Background: Short-haul pilots have largely been neglected in studies of fatigue, sleep loss and circadian disruption created by flight operations, but anecdotal evidence from pilots suggests that with the increasing amount of low-cost air travel, commercial pilots working short-haul operations may be becoming seriously fatigued. Aims: This study attempted to ascertain how much subjective fatigue short-haul pilots reported, and makes comparisons between low-cost and scheduled airline pilots. Methods: Pilots completed anonymous questionnaires (encompassing aviation factors, flight experience and a fatigue scale) posted on the Professional Pilots' Rumours Network website.</excerpt>"", '<title>How Pilot Fatigue Affects Operational Flight Risk in Scheduled Commercial Aviation</title> <excerpt>Pilot fatigue remains a hazard in scheduled commercial aviation, contributing to 31 aircraft accidents between 2005 and 2022, according to International Air Transport Association statistics (2023). Therefore, this study further investigated fatigue and its impact on operational flight risk in commercial aviation. More than 16,000 safety reports were analyzed using mixed methods.</excerpt>', '<title>The impact of fatigue in air medical and other types of operations: a review of fatigue facts and potential countermeasures.</title> <excerpt>Because of its effects on productivity and safety, fatigue is receiving increasing attention in a variety of settings, including aviation. Fatigue-related problems cost America an estimated $18 billion a year in terms of lost productivity, and fatigue-related drowsiness on the highways contributes to more than 1500 fatalities, 100,000 crashes, and 76,000 injuries annually. Furthermore, evidence is mounting that pilot and aircrew fatigue has been a causative factor in several aviation mishaps.</excerpt>']"
11,33,11_Crew interpersonal dynamics,['Crew interpersonal dynamics'],"['<title>Ethical problems of interaction between ground-based personnel and orbital station crewmembers</title> <excerpt>Manned missions onboard orbital stations Salyut-6 and Salyut-7 have led us to the conclusion that a long-term space mission can be viewed as a complex socio-man-machine system whose effectiveness largely depends on the quality of interaction between its subsystems. When analyzing and assessing the reliability of this system, it is important to consider ethical aspects, because they concern human relations, permeating its very component and in the long run determining its efficiency. Psychological and medical examinations before, during and after manned missions have helped us to identify the major points of interaction of the subsystems which require adequate monitoring and optimization using socio-psychological and organization-technical approaches: arrangement and evaluation of the quality of work, arrangement of proper leisure, psychological comfort in the interpersonality and intergroup relations during prolonged space missions.</excerpt>', '<title>Psychological, emotional studies of Mir space station missions show Russians fared better than Americans.</title> <excerpt>Weekly surveys gathered from crewmembers and mission control personnel during NASA missions to the Mir space station were used to rate mood, work environment, and interactions with the rest of the crew. Analysis of the surveys indicated that Americans were less satisfied with their group interactions and work environments than Russians. Also, mission control workers reported higher levels of tension, fatigue, confusion, and overall negative feelings than the astronauts and cosmonauts..</excerpt>', '<title>Content analysis of the crew communication with external communicants under prolonged isolation</title> <excerpt>Background: The communication between space crews and outside monitoring personnel in Mission Control gives us valuable information about crewmember psychological health. Studying the formal parameters of similar communication during ground-based space simulation missions helps us understand the psychological climate of confined groups over time, and this information can be applied to long-term space missions. Hypotheses: We hypothesized that psychological closing and information filtration will be observed in a confined crew as the mission progresses and will differ by the type of communication (eg, audio vs computer-generated) with the outside monitors in the simulated Mission Control (MC).</excerpt>']"
12,30,12_Pilot health challenges,['Pilot health challenges'],"['<title>Psychological distress in Spanish airline pilots during the aviation crisis caused by the COVID-19 pandemic and psychometric analysis of the 12-item general health questionnaire</title> <excerpt>The aim of this study was to evaluate the psychological distress of Spanish airline pilots, a group of professionals undergoing an unprecedented work situation as a result of the Covid-19 pandemic. To do so, we administered the General Health Questionnaire-12 (GHQ-12). A total of 342 questionnaires were obtained, with the largest respondent age group being 41–50 years.</excerpt>', '<title>Grounding of Pilots: Medical Reasons and Recommendations for Prevention</title> <excerpt>BACKGROUND: this article presents the results of an EASA-commissioned study aimed at analyzing the medical causes of grounding of a broad European pilot population and recommending measures to reduce the risk of in-flight incapacitation in commercial air transport pilots. method: European National Aviation Authorities (NAAs) were requested to provide data concerning the total number of pilots that were examined, their age and license category, number of unfit pilots, and the medical causes of each case of grounding. Diagnoses were classified according to the format and definitions laid down in Commission Regulation (EU) No.</excerpt>', ""<title>Investigation of pilots' mental health and analysis of influencing factors in China: based on structural equation model</title> <excerpt>Background: Pilots' physical and mental health might be significant contributing factors to flight safety. Exploring pilots’ health-related quality of life (HRQoL) is crucial for aviation security, health management, and psychological security. This study aimed to explore HRQoL and mental health of pilots and analyze the health characteristics and influencing factors, such as demographic data, personality traits, social support, and resilience.</excerpt>""]"
13,29,13_Aviation Safety Culture,['Aviation Safety Culture'],"['<title>Aviation on the ground: Safety culture in a ground handling company</title> <excerpt>Ground handling work performance is an important part of the civil aviation flight cycle. Well-functioning safety management for minimizing the risk for accidents is vital and dependent on the safety culture. This article reports on a safety culture assessment of a ground handling company using a multiplex approach method.</excerpt>', '<title>Development and initial validation of an Aviation Safety Climate Scale</title> <excerpt>Problem: A need was identified for a consistent set of safety climate factors to provide a basis for aviation industry benchmarking. Method: Six broad safety climate themes were identified from the literature and consultations with industry safety experts. Items representing each of the themes were prepared and administered to 940 Australian commercial pilots.</excerpt>', '<title>Development and initial validation of a survey for assessing safety culture within commercial flight operations</title> <excerpt>This article describes efforts to validate a safety culture survey for aviation operations based on the 5-factor model suggested by Wiegmann, Zhang, von Thaden, Gibbons, and Sharma (2004). The 5-factor model includes organizational commitment, management involvement, pilot empowerment, reporting systems, and accountability systems as they pertain to safety within an airline. The Commercial Aviation Safety Survey, designed around these 5 factors, was distributed to pilots and managers of a large U.S.</excerpt>']"
14,28,14_Occupational stress in aviation,['Occupational stress in aviation'],"['<title>Psychosocial work environment and medical symptoms among swedish commercial airline cabin crew</title> <excerpt>Background Associations between stress measured by the demands-control model, iso-strain model, and stress-related symptoms among cabin crew were studied. Methods A questionnaire about psychosocial work environment and symptoms was answered by 918 (82%) flight attendants, stewards, and pursers at one airline company in 2005. Adjustment was made for age, gender, smoking, job category, and flight length using multiple logistic regression.</excerpt>', '<title>The stress of work: An overview</title> <excerpt>This paper looks at a number of potential occupational stressors found to predict job dissatisfaction and ill health (both mental and physical) in a variety of different occupational settings. Factors intrinsic to the nature of the job, role ambiguity and conflict, poor relationships at work, lack of career development, inadequate organisation structure/climate, and problems associated with the interface between work and homelife are the focal points of attention. Many of these sources of occupational stress are prevalent in the field of aviation, and may be exacerbated by the move toward deregulation and increasing commercial competition within the industry..</excerpt>', '<title>Subjective health complaints, work-related stress and self-efficacy in Norwegian aircrew</title> <excerpt>Background The European civilian aviation industry has undergone major changes in the last decade. Despite this, there is little knowledge about work-related stress and subjective health complaints (SHCs) affecting Norwegian aircrew. Aims To investigate the relationships between work-related stress, self-efficacy and SHCs in commercial aircrew in Norway and to explore differences between cockpit and cabin crew.</excerpt>']"
15,28,15_Prospective memory cues,['Prospective memory cues'],"['<title>Instructions and information processing in a complex task</title> <excerpt>Designed 2 experiments involving a decision task with a static display analog of a radar display similar to that used in air traffic control. 50 male undergraduates were required to detect potential collision situations in a sequence of independent displays. Ss in both experiments either (a) were trained entirely with pictorial displays and provided with assumptions involved in constructing the air traffic situations, or (b) were initially trained with displays containing verbal descriptions of possible situations and not given underlying assumptions.</excerpt>', '<title>Effects of information load and instructions on performance in a complex task</title> <excerpt>Employed a decision task designed with a static display analogue of a radar display similar to that used in air traffic control. The analogue allowed formal information load to vary independently of numerosity. Ss detected potential collision situations in a sequence of independent displays.</excerpt>', ""<title>Temporal management of flight strips in en route air traffic control: A full-scope simulation test on task analyses assumptions</title> <excerpt>In en route air traffic control, task analyses assume that the planning controller detects potential problems to alleviate the radar controller's workload. Ten expert controllers were involved in a full-scope simulation study, and displacements of flight strips were analyzed as a function of the controller and as a function of the role these motor acts have in indicating problem detection, monitoring the ongoing resolution, or sending the aircraft to other control positions. Task analysis assumptions related to the ongoing resolution and to the end of problems were confirmed.</excerpt>""]"
16,28,16_Psychological Capital in Hospitality,['Psychological Capital in Hospitality'],"['<title>Examining the moderating effects of service climate on psychological capital, work engagement, and service behavior among flight attendants</title> <excerpt>This study aims to validate the mediating process of “psychological capital-work engagement-service behavior”, and examines the moderated mediating effect of service climate. By questionnaire survey, this study investigated 375 flight attendants of China Airlines based in Taiwan, and validated the hypotheses through hierarchical regression analysis. The results showed that flight attendants with high psychological capital tend to show more work engagement and better service behavior.</excerpt>', ""<title>Positive psychological capital and emotional labor in Korea: the job demands-resources approach</title> <excerpt>This study examined the effect of organizational justice perception on service employees' positive psychological capital and the influence of positive psychological capital on surface and deep acting. Drawing on the job demands-resources (JD-R) model and the literature on positive work environment, the indirect effects of perceived distributive and procedural justice on surface and deep acting through service employees' psychological capital were hypothesized. Using data from 263 flight attendants of the largest airline company in South Korea, the results indicated that perceived distributive and procedural justice were positively related to service employees' psychological capital, which, in turn, fostered deep acting but not surface acting.</excerpt>"", '<title>Effects of Psychological Capital and Person-Job Fit on Hospitality Employees’ Work-Family Conflict, Family-Work Conflict and Job Performance: The Moderating Role of Marital Status</title> <excerpt>Drawing on the conservation of resources (COR) theory and congruence theory, this study aims to investigate the influence of psychological capital (PsyCap) and person-job fit (PJ fit) on work–family conflict (WFC), family–work conflict (FWC) and job performance (JP), especially the moderating effect of marital status on hypothesized relationships between two directions of conflicts in the work-family interface and JP. Utilizing a two-stage design, this study surveyed 312 flight attendants employed by two international airline companies in Malaysia and used the structural equation modeling technique to test the hypothesized relationships. Findings showed that PsyCap could significantly alleviate two directions of WFC simultaneously and promote employees’ JP.</excerpt>']"
17,26,17_Aviation Psychology Research,['Aviation Psychology Research'],"[""<title>Some lasting consequences of US Psychology Programs in World Wars I and II</title> <excerpt>Applied research in psychology not only has contributed directly to societal advances but often has fostered basic research as well. Prominent examples are die programs directed by Yerkes in World War I to develop the Army Alpha test and several programs in World War II, including The American Soldier diat assessed soldiers' attitudes during the war; a program for selecting agents for the Office of Strategic Services; and the Aviation Psychology Program to select and classify applicants for flight training in the Army Air Forces. Highlights of these programs are presented here, with special attention given to by far the largest, the Air Forces program.</excerpt>"", '<title>Psychological activities in the Training Command, Army Air Forces</title> <excerpt>The development of the Aviation Psychology Program in the AAF Training Command since an earlier report in 1943 (see 18: 1497) is treated, consisting largely of a report of the activities of the Psychological Section, Medical Division, Headquarters, AAF Training Command. The report is made under the following headings: mission of the section; organization and personnel; supervision of classification testing and processing; maintenance of basic data; development and validation of devices for predicting aircrew success; application of the classification test battery to other groups; training research problems; special research studies; publications; and prospectus. (PsycINFO Database Record (c) 2006 APA, all rights reserved).</excerpt>', '<title>Clinical research in the Aviation Psychology Program of the Army Air Forces</title> <excerpt>During the past year there has been increased emphasis on the problems of training methods, instructor selection, selection of flying personnel for key positions in combat, and redistribution of returnees. Several significant studies utilizing clinical psychological methods are described in this report. These are discussed under the following headings: case studies of pilots in training, clinical evaluation of aviation trainees, projective techniques, and adjustment after combat.</excerpt>']"
18,26,18_Aviation training devices,['Aviation training devices'],"['<title>Event-based approach to training (EBAT)</title> <excerpt>The importance of providing real-world experience through virtual environments is well accepted, and this mode of training is used extensively in aviation. It is, therefore, surprising that there are few general methods that guide the design of simulation-based training. The lack of such methods is problematic.</excerpt>', ""<title>Personal Computer Aviation Training Devices: Their Effectiveness for Maintaining Instrument Currency</title> <excerpt>This study examined the effectiveness of personal computer aviation training devices (PCATDs) for maintaining the Federal Aviation Administration's instrument-currency requirement. One hundred and six instrument-current pilots received an instrument proficiency check (IPC) and were assigned equally to 3 independent training groups (aircraft, flight training device [FTD], and PC AID) and to a control group who received no training. The 3 training groups received recurrent training in their respective devices over the course of a 6-month period, following which all 4 groups received a second IPC.</excerpt>"", '<title>Personal computer-based flight training devices</title> <excerpt>This article reviews the role of personal computer aviation training devices (PCATDs) in general aviation pilot training. A brief history of flight simulator development is provided, accompanied by a sampling of early research on the effectiveness of simulator training. PCATDs are described along with their more common interface devices.</excerpt>']"
19,24,19_Stress in pilots,['Stress in pilots'],"['<title>Salivary alpha-amylase activity and stress in Japan air self-defense force cargo pilots involved in Iraq reconstruction</title> <excerpt>Objectives: This study aimed to verify whether salivary α-amylase enzyme activity (Amy) is useful as a biomarker of stress in pilots working in a stressful environment. Methods: The subjects in this study were nine Japan air self-defense force pilots who participated in Iraq reconstruction support activity in Kuwait. Amy was measured using a portable salivary amylase monitor at preflight, postflight, and on stand-by day.</excerpt>', '<title>Neuroendocrine responses to psychological workload of instrument flying in student pilots</title> <excerpt>Background: Information processing and stress tolerance are necessary features for instrument flying (IRF), especially among student pilots. Psychological workload of IFR flight may lead to stress reactions such as neuroendocrine activity. Methods: Neuroendocrine responses to an IFR flight with Vinka piston-engined primary trainer were studied in 35 male volunteers who participated in the basic military flying course of the Finnish Air Force (FAF).</excerpt>', '<title>Effects of air transportation cause physiological and biochemical changes indicative of stress leading to regulation of chaperone expression levels and corticosterone concentration</title> <excerpt>Laboratory animals generally experience numerous unfamiliar environmental and psychological influences such as noises, temperatures, handling, shaking, and smells during the process of air transportation. To investigate whether stress induced by air transportation affects stress-related factors in animals, the levels of hormone and chaperone protein were measured in several tissues of F344 rats transported for 13 h and not transported. Herein, we conclude that the levels of corticosterone, HSP70, and GRP78 were significantly increased in the transported group compare to not transported group, but they were rapidly restored to the not transported group level after a recovery period of one week.</excerpt>']"
