year,country,title,doc
2025,United States,Development and Validation of the Military Readiness Scale in U.S. Naval Aircrew,"<title>Development and Validation of the Military Readiness Scale in U.S. Naval Aircrew</title> <excerpt>Introduction Readiness is a ubiquitous term in DoD doctrine and has been broadly defined as the ability of military forces to meet the demands of assigned missions. There is currently no criterion standard of military readiness and there is also a lack of published readiness measures for the individual military service member, the fundamental building block of force readiness.</excerpt>"
2025,France - Netherlands,Assessment of individual and dyadic workload of student and instructor pilots in real and simulated flight: An exploratory study,"<title>Assessment of individual and dyadic workload of student and instructor pilots in real and simulated flight: An exploratory study</title> <excerpt>Flight instructors are vital in the training of novice pilots. Just as the mental workload in student pilots fluctuates during training, so does the mental workload of the instructors, affecting their dyadic performance and judgment.</excerpt>"
2025,United States,Flight-associated cortisol dynamics and subjective assessments of pain and stress in fighter pilots: an exploratory study,<title>Flight-associated cortisol dynamics and subjective assessments of pain and stress in fighter pilots: an exploratory study</title> <excerpt>Purpose: Operating a high-performance fifth-generation fighter jet is a potential stressor in which hypothalamic–pituitary–adrenal (HPA) axis dynamics may reflect the intensity of and adaptation to the stressor. The purpose of this study was to evaluate HPA axis activity in fighter pilots and explore whether indices of activity correlated with subjective indices of stress.</excerpt>
2025,Italy - Pakistan,The Moderating Role of Resilience in the Relationship Between Occupational Stressors and Psychological Distress Among Aviation Pilots in Pakistan,"<title>The Moderating Role of Resilience in the Relationship Between Occupational Stressors and Psychological Distress Among Aviation Pilots in Pakistan</title> <excerpt>Background: Aviation is one of the most demanding professions, exposing pilots to persistent stressors such as fatigue, irregular schedules, and high safety responsibility. These conditions heighten vulnerability to depression, anxiety, and stress (DAS), yet the protective mechanisms mitigating such effects remain less well understood.</excerpt>"
2025,,Post-COVID-19 Neurocognitive Screening in Routine Pilot Aeromedical Evaluations,"<title>Post-COVID-19 Neurocognitive Screening in Routine Pilot Aeromedical Evaluations</title> <excerpt>INTRODUCTION: One crucial aspect of flight safety is being able to detect medical or neuropsychological conditions during aeromedical examinations. However, subtle but safety-significant post-COVID-19 neurocognitive impairments may go unreported or undetected.</excerpt>"
2025,,"Medical Reporting Behavior of Military, Commercial, and General Aviation Pilots","<title>Medical Reporting Behavior of Military, Commercial, and General Aviation Pilots</title> <excerpt>INTRODUCTION: Pilots are undoubtedly among employees who undergo rigorous medical evaluations to ensure they are fit to fly. However, accidents like the Germanwings Flight 9525 highlight that medically unfit individuals can still end up in the cockpit.</excerpt>"
2025,Netherlands - United Kingdom,Quantifying the Impact of Spatial Disorientation on Pilot Mental Workload and Attentional Focus,<title>Quantifying the Impact of Spatial Disorientation on Pilot Mental Workload and Attentional Focus</title> <excerpt>Objective: We aimed to find objective measures of the impact of spatially disorienting (SD) stimuli on pilot cognition in an ecologically valid environment. Background: SD frequently occurs in military rotary-wing operations and often contributes to mishaps.</excerpt>
2025,China,Detection and risk factors of psycho-cardiological diseases in civil aviation aircrews; 民航空勤人员双心疾病检出情况及危险因素分析,"<title>Detection and risk factors of psycho-cardiological diseases in civil aviation aircrews; 民航空勤人员双心疾病检出情况及危险因素分析</title> <excerpt>Objective To investigate the detection rates of and risk factors for psycho-cardiological diseases in civil aviation aircrews. Methods A total of 134 civil aviation aircrews with cardiovascular diseases detected during annual physical examinations at the Aviation Health Center of China Southern Airlines Co., Ltd.</excerpt>"
2025,"Korea, Republic of",Non-native English Communication and Anxiety in Military ATC: Insights from Korean Air Traffic Controllers,<title>Non-native English Communication and Anxiety in Military ATC: Insights from Korean Air Traffic Controllers</title> <excerpt>This mixed-methods study investigated language anxiety among Korean military air traffic controllers (ATCOs) when communicating with native English-speaking pilots. The quantitative phase (N = 81) used hierarchical regression analysis examining relationships between individual characteristics and anxiety levels.</excerpt>
2025,"Korea, Republic of",Effects of Flight Attendants' Mental Health Resulting From Emotion Regulation Among Coworkers on Flight Safety Attitudes: Moderating Effects of Behavioral Activation Systems,"<title>Effects of Flight Attendants' Mental Health Resulting From Emotion Regulation Among Coworkers on Flight Safety Attitudes: Moderating Effects of Behavioral Activation Systems</title> <excerpt>We developed a causal conceptual framework from a social-psychological perspective to investigate whether cabin crews' mental health affects flight safety attitudes via emotion regulation toward coworkers. In addition, the moderating effect of behavioral activation systems (BAS) in linking emotion regulation to mental health is examined.</excerpt>"
2025,Greece,Assessment of Occupational Health and Safety Performance in Air Traffic Control: An Empirical Investigation of Stress and Well-Being,"<title>Assessment of Occupational Health and Safety Performance in Air Traffic Control: An Empirical Investigation of Stress and Well-Being</title> <excerpt>Air traffic control is widely recognized as one of the most psychologically demanding occupations, where safety and operational performance are tightly interwoven. This study explores the relationship between occupational health and safety (OHS) systems and the psychological well-being of Air Traffic Controllers (ATCOs), focusing on factors such as perceived safety, job satisfaction, stress, and mental strain.</excerpt>"
2025,United States,Evaluating the Impact of a Spine Training Program on Air Force Student Fighter Pilots,"<title>Evaluating the Impact of a Spine Training Program on Air Force Student Fighter Pilots</title> <excerpt>Introduction: A 2022 survey conducted by Headquarters Air Combat Command Aircrew Performance Branch found that 98% of fighter aircrew reported flight-related neck pain during their career. Despite the high prevalence of neck pain and growing operational demands, there remains no consensus regarding best practices for mitigating aircrew pain and injury.</excerpt>"
2025,,"Cognitive Engagement Profiling of Pilots in High-Speed, High-Threat Scenarios","<title>Cognitive Engagement Profiling of Pilots in High-Speed, High-Threat Scenarios</title> <excerpt>INTRODUCTION: This study investigated pilot cognitive engagement patterns across diverse flight conditions using electroencephalography (EEG)-based measurements in a high-fidelity rotary-wing simulation environment. METHODS: A total of 8 experienced U.S.</excerpt>"
2025,,Initial Psychometric Validation of a Self-Report Measure of the Symptoms of Mild Hypoxic Hypoxia,"<title>Initial Psychometric Validation of a Self-Report Measure of the Symptoms of Mild Hypoxic Hypoxia</title> <excerpt>INTRODUCTION: There has been long-standing interest in the physiological and psychological effects of mild hypoxia on aircrew, but to date there is no psychometrically valid self-report measure of subjective symptoms. METHODS: To address this gap, we developed a self-report scale along three dimensions of impairment: cognitive, sensory and affective.</excerpt>"
2025,Australia,A duty to enhance? Genetic engineering for the human Mars settlement,"<title>A duty to enhance? Genetic engineering for the human Mars settlement</title> <excerpt>Humans living off-world will face numerous physical, psychological and social challenges and are likely to suffer negative health effects due to their lack of evolutionary adaptation to space environments. While some of the necessary adaptations may develop naturally over many generations, genetic technologies could be used to speed this process along, potentially improving the wellbeing of early space settlers and their offspring.</excerpt>"
2025,China - Hong Kong - Sweden,Development and validation of a prediction model for the depressive symptom risk in commercial airline pilots,"<title>Development and validation of a prediction model for the depressive symptom risk in commercial airline pilots</title> <excerpt>Background/aims: Shift workers, such as medical personnel, and pilots, are facing an increased risk of depressive symptoms. Depressive symptoms significantly impact an individual’s quality of life and affect work performance, decision-making abilities, and overall public safety.</excerpt>"
2025,"Korea, Republic of",Development and validation of spatial disorientation scenarios using virtual reality and motion simulator,<title>Development and validation of spatial disorientation scenarios using virtual reality and motion simulator</title> <excerpt>Spatial Disorientation (SD) can cause critical aviation accidents by adversely affecting the pilot's ability to perform a flight mission. One of the strategies to improve pilots' ability to deal with SD is to perform SD training using Virtual Reality and Motion Simulator (VRMS) system.</excerpt>
2025,France,Impact of automation level on airline pilots’ flying performance and visual scanning strategies: A full flight simulator study,"<title>Impact of automation level on airline pilots’ flying performance and visual scanning strategies: A full flight simulator study</title> <excerpt>Cockpit automation has brought significant benefits in terms of mental workload and fatigue. However, the way primary flight instruments are monitored by pilots may be negatively affected by the high confidence in systems.</excerpt>"
2025,"China - India - Malaysia - Saudi Arabia - Taiwan, Province of China",Intelligent traffic management via personalized group consensus based on chimp optimization-guided random vector functional link and quantum theory: A perspective of randomization,"<title>Intelligent traffic management via personalized group consensus based on chimp optimization-guided random vector functional link and quantum theory: A perspective of randomization</title> <excerpt>In urban traffic management, bike-sharing systems are crucial for green transportation. However, due to the uneven distribution of shared bikes and randomization of user behavior, the urban dockless bicycle sharing system (UDBSS) faces issues of randomization.</excerpt>"
2025,China - Thailand,Understanding the airborne experiences of passengers with depression in long-haul air travels,<title>Understanding the airborne experiences of passengers with depression in long-haul air travels</title> <excerpt>This qualitative study scrutinises the role of depression in mediating air travellers' in-flight experiences. Depression can turn a travelling body into a docile object subject to others’ judgment.</excerpt>
2025,United States,XGate: Explainable Reinforcement Learning for Transparent and Trustworthy API Traffic Management in IoT Sensor Networks,"<title>XGate: Explainable Reinforcement Learning for Transparent and Trustworthy API Traffic Management in IoT Sensor Networks</title> <excerpt>The rapid proliferation of Internet of Things (IoT) devices and their associated application programming interfaces (APIs) has significantly increased the complexity of sensor network traffic management, necessitating more sophisticated and transparent control mechanisms. In this paper, we introduce XGate, a novel explainable reinforcement learning framework designed specifically for API traffic management in sensor networks.</excerpt>"
2025,Austria - Germany,Assessing the Speed–Accuracy Tradeoff in Psychological Testing Using Experimental Manipulations,"<title>Assessing the Speed–Accuracy Tradeoff in Psychological Testing Using Experimental Manipulations</title> <excerpt>The speed–accuracy tradeoff (SAT), where increased response speed often leads to decreased accuracy, is well established in experimental psychology. However, its implications for psychological assessments, especially in high-stakes settings, remain less understood.</excerpt>"
2025,United States,After the Accident: Is There a Blame Bias Against the Airline?,"<title>After the Accident: Is There a Blame Bias Against the Airline?</title> <excerpt>Based on the deontological ethical perspective and concepts from blame psychology such as the defensive attribution hypothesis and culpable control, it is argued that people are predisposed to blame a transportation company when it is involved in an accident. This was tested in a scenario of an airline accident of uncertain cause, finding that respondents blamed the airline the most among a list of five blamable entities (pilots, mechanics-maintenance-inspectors, the weather, ground crew-air traffic control, and airline).</excerpt>"
2025,China,Comprehensive Evaluation of Remote Tower Controllers’ Situation Awareness Level Based on the Entropy Weight Method (EWM)–TOPSIS–Gray Relational Analysis Model,"<title>Comprehensive Evaluation of Remote Tower Controllers’ Situation Awareness Level Based on the Entropy Weight Method (EWM)–TOPSIS–Gray Relational Analysis Model</title> <excerpt>In recent years, the rapid development of remote tower technology has made it crucial to accurately assess the situational awareness (SA) levels of remote tower controllers. Such an assessment is significant for controller training and remote tower system design.</excerpt>"
2025,Australia,Identifying Human Factor Causes of Remotely Piloted Aircraft System Safety Occurrences in Australia,"<title>Identifying Human Factor Causes of Remotely Piloted Aircraft System Safety Occurrences in Australia</title> <excerpt>Remotely piloted aircraft are a fast-emerging sector of the aviation industry. Although technical failures have been the largest cause of accident occurrences for Remotely Piloted Aircraft Systems (RPASs), if they are to follow the path of conventionally crewed aviation, Human Factors (HFs) will increasingly contribute to accidents as the technology of RPASs improves.</excerpt>"
2025,"Korea, Republic of",FLDQN: Cooperative Multi-Agent Federated Reinforcement Learning for Solving Travel Time Minimization Problems in Dynamic Environments Using SUMO Simulation,"<title>FLDQN: Cooperative Multi-Agent Federated Reinforcement Learning for Solving Travel Time Minimization Problems in Dynamic Environments Using SUMO Simulation</title> <excerpt>The increasing volume of traffic has led to severe challenges, including traffic congestion, heightened energy consumption, increased air pollution, and prolonged travel times. Addressing these issues requires innovative approaches for optimizing road network utilization.</excerpt>"
2025,Australia - Turkey,Aircraft Maintenance Technician Perceptions and Evaluations about the Safety Culture and Responsibility Related Competencies,<title>Aircraft Maintenance Technician Perceptions and Evaluations about the Safety Culture and Responsibility Related Competencies</title> <excerpt>Aircraft maintenance operations are carried out by aircraft maintenance technicians (AMTs) with the necessary competencies and qualifications. The level of competency of maintenance technicians directly affects the safety and effectiveness of maintenance operations and flight operations.</excerpt>
2025,China,Perception and performance: Evaluating driver behavior on horizontal curves at day and night based on optical flow model analysis,"<title>Perception and performance: Evaluating driver behavior on horizontal curves at day and night based on optical flow model analysis</title> <excerpt>Objective: This study investigates the interaction between human perception and driver behavior on horizontal curves, focusing on how road geometry and visibility affect driving performance. Methods: A driving simulator replicated 3 curve types by radius—200 m (sharp), 400 m (moderate), and 600 m (loose)—under day and night conditions.</excerpt>"
2025,Hong Kong,"Gaze behaviours, situation awareness and cognitive workload of air traffic controllers in radar screen monitoring tasks with varying task complexity","<title>Gaze behaviours, situation awareness and cognitive workload of air traffic controllers in radar screen monitoring tasks with varying task complexity</title> <excerpt>Objectives. Air traffic controllers should maintain high situational awareness (SA) and low cognitive workload to ensure aviation safety.</excerpt>"
2025,"Korea, Republic of",Impact of the Burnout Symptoms of Flight Attendants on Absenteeism and Turnover Intention: The Moderating Role of Emotional Intelligence,"<title>Impact of the Burnout Symptoms of Flight Attendants on Absenteeism and Turnover Intention: The Moderating Role of Emotional Intelligence</title> <excerpt>This study investigates the mediating role of absenteeism on the relationship between burnout and turnover intention, and the moderated mediating role of emotional intelligence on the relationship between burnout and absenteeism among Korean flight attendants, utilizing a structural equation modeling approach. Empirical data were collected from 183 flight attendants with over 1 year of experience in the airline industry.</excerpt>"
2025,,The Feeling of Fatigue Scale for Brazilian Fighter Pilots,"<title>The Feeling of Fatigue Scale for Brazilian Fighter Pilots</title> <excerpt>INTRODUCTION: Fighter pilots are a population particularly vulnerable to developing mental fatigue, which puts the safety of military operations at risk. Although there is no gold standard tool for its assessment, Yoshitake's Feeling of Fatigue Scale (FFS) appears promising for application to fighter pilots as it has already been validated for Brazilian commercial airline pilots.</excerpt>"
2025,,Cognitive and Emotional Impacts of Face Pareidolia Application Among Pilot Students,"<title>Cognitive and Emotional Impacts of Face Pareidolia Application Among Pilot Students</title> <excerpt>INTRODUCTION: Metaphoric signs, which refer to a resemblance to something absent, are, like pareidolia, strong cognitive tools that help us understand abstract concepts by relating them to concrete, sensory experiences, and these have not been studied in student pilots. Evaluating the characteristics of students in aviation, including sensory experiences such as stress, decision-making, and pattern recognition, is important for safe flight.</excerpt>"
2025,Thailand,The impact mechanism of competency and professional identity on career success: evidence from cabin crew of Chinese Xiamen Airlines,"<title>The impact mechanism of competency and professional identity on career success: evidence from cabin crew of Chinese Xiamen Airlines</title> <excerpt>In China, about 20% of cabin crew positions become vacant every year due to reasons such as transfer or separation, a phenomenon that seriously threatens the stability of the cabin crew team and the service quality of airlines. The study aims to analyze how cabin crew’s competency and professional identity affect their career success, with the aim of providing airlines with practical guidance on cabin crew training and human resource management.</excerpt>"
2025,Sweden,Is it safe to be safe? Examining underreporting and presenteeism among European pilots: The role of employment type,"<title>Is it safe to be safe? Examining underreporting and presenteeism among European pilots: The role of employment type</title> <excerpt>Background: Atypical employment among pilots is a growing concern in the European aviation industry. Following deregulation, atypical forms of employment (eg, being employed by subsidiaries or agencies, or on a temporary basis) have become more common, raising concerns about their implications for flight safety and pilots’ safety behaviors.</excerpt>"
2025,China,Supporting driver performance in closely spaced tunnel-interchange structure: Traffic control devices and effects on driving behavior,"<title>Supporting driver performance in closely spaced tunnel-interchange structure: Traffic control devices and effects on driving behavior</title> <excerpt>Objectives: With the rapid development of expressways in the mountainous regions of southwestern China, closely spaced tunnel-interchange structures have inevitably emerged due to topographical constraints and environmental limitations. Given the unfavorable road geometry and rapid cross-section transitions, drivers face significant safety concerns.</excerpt>"
2025,United Kingdom,"Examining flight time, cognitive reflection, workload, stress and metacognition on decision making performance for pilots during flight simulation","<title>Examining flight time, cognitive reflection, workload, stress and metacognition on decision making performance for pilots during flight simulation</title> <excerpt>Despite technological advancements, human decision errors still contribute to civil aviation accidents. This study investigated whether flight time, cognitive reflection, task-load, metacognition, and perceived stress predicted decision-making (DM) performance during two in-flight training simulations with 104 commercial pilots at Bogota International Airport.</excerpt>"
2025,Brazil,Variations in mood states among Brazilian air force pilots: a crossover analysis between operational and aerobatic flight missions,"<title>Variations in mood states among Brazilian air force pilots: a crossover analysis between operational and aerobatic flight missions</title> <excerpt>Background: Aerobatic flight maneuvers expose military pilots to a confluence of physiological and psychological stressors—including sustained G-forces, vestibular disorientation, and neuromuscular fatigue—that may acutely modulate emotional states and compromise cognitive performance. However, the differential psychometric impact of routine operational flights versus high-intensity air demonstrations remains poorly characterized.</excerpt>"
2025,China,Emotion Transition Recognition Using Multimodal Physiological Signal Fusion,"<title>Emotion Transition Recognition Using Multimodal Physiological Signal Fusion</title> <excerpt>Most existing emotion recognition studies rely on discrete stimulus paradigms under controlled laboratory conditions, failing to capture the inherently dynamic and transitional nature of emotional states encountered in real-world operational environments. To address this gap, we propose a novel approach for emotion transition recognition using multimodal physiological signal fusion.</excerpt>"
2025,Canada - United States,"""You're a trainee telling your consultant to hold their question until later"": Using a resident-led faculty development workshop to explore trainee-consultant expertise role-reversal","<title>""You're a trainee telling your consultant to hold their question until later"": Using a resident-led faculty development workshop to explore trainee-consultant expertise role-reversal</title> <excerpt>Background: Medical education traditionally involves directional flow of knowledge/skills/attitudes from a senior to junior individual. However, medical training also provides opportunities for expertise role-reversal, where the direction of flow is reversed.</excerpt>"
2025,Viet Nam,How positive psychological capital promotes service recovery performance through mental health and work engagement: Does service climate matter?,"<title>How positive psychological capital promotes service recovery performance through mental health and work engagement: Does service climate matter?</title> <excerpt>Purpose – This study aims to examine the contribution of positive psychological capital (PsyCap) to service recovery performance (SRP) through the mediating roles of mental health (MH) and work engagement (WE). Additionally, it considers the moderating role of service climate (SC).</excerpt>"
2025,India,"Failure to switch tasks due to cognitive lockup in airline pilots: a review of mechanisms, influences and mitigation strategies","<title>Failure to switch tasks due to cognitive lockup in airline pilots: a review of mechanisms, influences and mitigation strategies</title> <excerpt>Unstable approaches contribute significantly to accidents during the critical approach and landing phases of flight, many of which could have been prevented by executing a go-around. This review investigates cognitive lockup, a tendency to adhere to task completion despite shifting priorities, and its role in aviation incidents.</excerpt>"
2025,China,"Job satisfaction, burnout, and safety behavior in air traffic controllers: a mediation analysis and decision tree insights","<title>Job satisfaction, burnout, and safety behavior in air traffic controllers: a mediation analysis and decision tree insights</title> <excerpt>Introduction: This study aims to explore the mediating role of burnout in the relationship between job satisfaction and safety behavior among air traffic controllers (ATCs), and to identify the most influential factor affecting ATCs’ safety behavior using a decision tree model. Methods: Data were collected from 357 ATCs using established questionnaires measuring job satisfaction, burnout, and safety behavior.</excerpt>"
2025,Netherlands - United Kingdom - United States,Recommended Practices Related to Data Collection in Aviation Peer Support Programs,"<title>Recommended Practices Related to Data Collection in Aviation Peer Support Programs</title> <excerpt>INTRODUCTION: A viation peer support programs (PSPs)—comprised of trained volunteers of the same professional background who offer confidential, nonjudgmental support to fellow aviation personnel dealing with stress from any source—have been forwarded as a solution to address mental healthcare avoidance based on expert opinion that PSPs are of sufficient safety and effectiveness. There is a growing interest in data collection in PSPs for a range of reasons as driven by European Union Aviation Safety Agency regulation requirements and an international interest in incorporating mental health functions into an aviation safety management system as outlined in the Federal Aviation Administration Aviation Rulemaking Committee on Mental Health.</excerpt>"
2025,Russian Federation,PSYCHOPHYSIOLOGICAL TRAINING OF PILOTS FOR CASES OF EMERGENCY COCKPIT DECOMPRESSION; ПСИХОФИЗИОЛОГИЧЕСКАЯ ПОДГОТОВКА ЛЕТЧИКОВ К ДЕЯТЕЛЬНОСТИ В УСЛОВИЯХ АВАРИЙНОЙ РАЗГЕРМЕТИЗАЦИИ КАБИНЫ САМОЛЕТА,"<title>PSYCHOPHYSIOLOGICAL TRAINING OF PILOTS FOR CASES OF EMERGENCY COCKPIT DECOMPRESSION; ПСИХОФИЗИОЛОГИЧЕСКАЯ ПОДГОТОВКА ЛЕТЧИКОВ К ДЕЯТЕЛЬНОСТИ В УСЛОВИЯХ АВАРИЙНОЙ РАЗГЕРМЕТИЗАЦИИ КАБИНЫ САМОЛЕТА</title> <excerpt>Introduction. In the stratosphere, when the aircraft cockpit is depressurized, the pilot switches to breathing pressurized oxygen.</excerpt>"
2025,China,Pilot Performance on Original and Modified Attitude Indicators with and without Acute Stress,<title>Pilot Performance on Original and Modified Attitude Indicators with and without Acute Stress</title> <excerpt>INTRODUCTION: S patial disorientation and stress pose significant threats to flight safety. The attitude indicator (AI) is crucial for pilots to maintain spatial orientation.</excerpt>
2025,New Zealand,Appropriate Screening Tests to Assess Post-COVID-19 Cognitive Dysfunction in Aeromedical Settings,"<title>Appropriate Screening Tests to Assess Post-COVID-19 Cognitive Dysfunction in Aeromedical Settings</title> <excerpt>INTRODUCTION: Post-COVID-19, 10–20% of individuals may experience long-term symptoms (some having cognitive deficits), even after mild or nonsymptomatic infection. A sufficiently sensitive screening test of cognitive function, based on the typical cognitive effects of COVID-19 and skills considered most relevant to pilot performance, would be highly beneficial to be used alongside other performance checks.</excerpt>"
2025,China,Cognitive Response Efficiency Under Varying Audiovisual Display Modalities of Flight Deck Warnings,"<title>Cognitive Response Efficiency Under Varying Audiovisual Display Modalities of Flight Deck Warnings</title> <excerpt>INTRODUCTION: Warning information is mainly transmitted to pilots through visual and auditory forms in flight, with only a small portion transmitted through vibration. Poorly designed flight deck warnings have negative effects on pilot performance and safety.</excerpt>"
2025,United States,"The Most Common Disqualifying Medical Conditions in Army Aviators, 2016–2020","<title>The Most Common Disqualifying Medical Conditions in Army Aviators, 2016–2020</title> <excerpt>INTRODUCTION: Military aviators have long undergone enhanced medical screening to minimize accidents and deaths. U.S.</excerpt>"
2025,China,Pilot Performance in Instrument-Based Tasks Under Acute Stress,"<title>Pilot Performance in Instrument-Based Tasks Under Acute Stress</title> <excerpt>INTRODUCTION: Pilots often experience acute stress during flights, potentially affecting flight safety. The effect of acute stress on instrument-based tasks remains unclear.</excerpt>"
2025,India,Relationship between psychological contract and organisational commitment: an empirical investigation on airline cabin crew,<title>Relationship between psychological contract and organisational commitment: an empirical investigation on airline cabin crew</title> <excerpt>The study explores the link between organisational commitment (OCO) and psychological contract (PCO) among airline cabin crews. The study also investigates the moderation effect of the type of organisation and work experience in the relationship between PCO and OCO.</excerpt>
2025,Italy,Gemelli’s legacy in the knowledge of spatial orientation in flight,"<title>Gemelli’s legacy in the knowledge of spatial orientation in flight</title> <excerpt>Agostino Gemelli, an Italian Franciscan physician and psychologist, was a pioneer in aviation psychology and spatial orientation research in the early twentieth century. This historical article explores Gemelli’s groundbreaking contributions to understanding spatial cognition, particularly in aviation contexts, decades before contemporary scientific findings.</excerpt>"
2025,France,Mental health of airline pilots in France: insights from an anonymous online survey,"<title>Mental health of airline pilots in France: insights from an anonymous online survey</title> <excerpt>Background: The German wings crash highlighted the need to better understand the mental health of airline pilots. Airline pilots are exposed to psychosocial risks, and they may constitute a population at risk of developing anxiety and depressive disorders.</excerpt>"
2025,"Iran, Islamic Republic of",Drivers’ perception and awareness of delay at traffic signals with countdown timers,"<title>Drivers’ perception and awareness of delay at traffic signals with countdown timers</title> <excerpt>The time spent at signalised intersections significantly influences route choice decisions, with perceived time often outweighing actual time in drivers’ decision making. While psychological and behavioural studies suggest limited user awareness of temporal changes, empirical evidence in transportation remains scarce.</excerpt>"
2025,Poland,IMPACT OF THE COVID-19 PANDEMIC ON LIFESTYLE HABITS AND BODY WEIGHT OF MILITARY FLYING PERSONNEL OF THE POLISH ARMED FORCES,<title>IMPACT OF THE COVID-19 PANDEMIC ON LIFESTYLE HABITS AND BODY WEIGHT OF MILITARY FLYING PERSONNEL OF THE POLISH ARMED FORCES</title> <excerpt>Background: The aim of this study was to assess whether and to what extent the coronavirus disease (COVID-19) pandemic affected the lifestyle and body weight of military flying personnel. Material and Methods: The study involved 930 Polish soldiers –members of aircrew.</excerpt>
