year,country,affiliations,title,doc,topic
2025,,,Spatial Disorientation Event During Flight Due to Proposed Reverse-Dip Visual Illusion,"<title>Spatial Disorientation Event During Flight Due to Proposed Reverse-Dip Visual Illusion</title> <excerpt>BACKGROUND: Spatial disorientation is a leading nontechnical cause of fatal military aviation accidents, triggered by insufficient or misleading cues mainly from the visual and vestibular systems. Spatial disorientation accounts for 20-38% of fatal military aviation accidents, but case reports describing specific illusions during actual flight are rare. CASE REPORT: On a clear night, an aerial refueling tanker was cruising at 16,000 ft (4877 m), while an F-15I fighter aircraft was 3 mi behind and 971 ft (296 m) below.</excerpt>",11
2025,United States,"Naval Medical Center San Diego, San Diego, CA, United States; Cyber Science & Technology, Naval Information Warfare Center Pacific, San Diego, CA, United States; Naval Surface Force, Joint Base Pearl Harbor–Hickam, Honolulu, HI, United States; Military Performance Division, United States Army Research Institute for Environmental Medicine, Natick, MA, United States; Fleet Logistics Multi-Mission Wing, San Diego, CA, United States; Helicopter Sea Combat Wing Pacific, San Diego, CA, United States; Leidos Inc., Reston, VA, United States",Development and Validation of the Military Readiness Scale in U.S. Naval Aircrew,"<title>Development and Validation of the Military Readiness Scale in U.S. Naval Aircrew</title> <excerpt>Introduction Readiness is a ubiquitous term in DoD doctrine and has been broadly defined as the ability of military forces to meet the demands of assigned missions. There is currently no criterion standard of military readiness and there is also a lack of published readiness measures for the individual military service member, the fundamental building block of force readiness. This report describes the development and validation of the Military Readiness Scale-15 (MRS-15), a self-report instrument, in U.S.</excerpt>",37
2025,France - Netherlands,"Department of Cognitive Science and Artificial Intelligence, Tilburg University, Tilburg, Noord-Brabant, Netherlands; Department of Computer Science, Vrije Universiteit Amsterdam, Amsterdam, Noord-Holland, Netherlands; Communauté d'universités et établissements de Toulouse, Toulouse, Occitanie, France",Assessment of individual and dyadic workload of student and instructor pilots in real and simulated flight: An exploratory study,"<title>Assessment of individual and dyadic workload of student and instructor pilots in real and simulated flight: An exploratory study</title> <excerpt>Flight instructors are vital in the training of novice pilots. Just as the mental workload in student pilots fluctuates during training, so does the mental workload of the instructors, affecting their dyadic performance and judgment. This paper explored how training environments (simulated vs real flight), flight control conditions (student pilot flying vs monitoring), and flight phases (take-off vs downwind vs landing) could affect mental workload in student and instructor pilots, as well as their interpersonal coordination through electrocardiography (ECG) based measures.</excerpt>",5
2025,United States,"Department of Medicine, Medical College of Wisconsin, Milwaukee, WI, United States; Department of Surgery, Medical College of Wisconsin, Milwaukee, WI, United States; Department of Physiology, Medical College of Wisconsin, Milwaukee, WI, United States; Cardiovascular Research Center, Medical College of Wisconsin, Milwaukee, WI, United States; Department of Anesthesiology, Medical College of Wisconsin, Milwaukee, WI, United States; Children’s Wisconsin, Milwaukee, WI, United States; Marquette University and Medical College of Wisconsin Joint Department of Biomedical Engineering, Milwaukee, WI, United States; Division of Research, Milwaukee VA Medical Center, Milwaukee, WI, United States; Department of Neurosurgery, Medical College of Wisconsin, Milwaukee, WI, United States; Neuroscience Research, Milwaukee VA Medical Center, Milwaukee, WI, United States",Flight-associated cortisol dynamics and subjective assessments of pain and stress in fighter pilots: an exploratory study,<title>Flight-associated cortisol dynamics and subjective assessments of pain and stress in fighter pilots: an exploratory study</title> <excerpt>Purpose: Operating a high-performance fifth-generation fighter jet is a potential stressor in which hypothalamic–pituitary–adrenal (HPA) axis dynamics may reflect the intensity of and adaptation to the stressor. The purpose of this study was to evaluate HPA axis activity in fighter pilots and explore whether indices of activity correlated with subjective indices of stress. Methods: We studied HPA axis dynamics in 20 experienced fifth-generation fighter pilots (18 men/2 women) by measuring salivary cortisol at various times from bedtime the night before a flight training to awakening the morning after the flight training.</excerpt>,37
2025,Italy - Pakistan,"Department of Psychology, University of Karachi, Karachi, Sindh, Pakistan; Department of Psychology, National University of Modern Languages, Islamabad, Islamabad, Pakistan; Department of Psychology, Riphah Institute of Clinical and Professional Psychology, Lahore, Pakistan; Department of Political and Social Studies, Università degli Studi di Salerno, Salerno, SA, Italy; Department of Psychology, Università degli Studi di Torino, Turin, TO, Italy",The Moderating Role of Resilience in the Relationship Between Occupational Stressors and Psychological Distress Among Aviation Pilots in Pakistan,"<title>The Moderating Role of Resilience in the Relationship Between Occupational Stressors and Psychological Distress Among Aviation Pilots in Pakistan</title> <excerpt>Background: Aviation is one of the most demanding professions, exposing pilots to persistent stressors such as fatigue, irregular schedules, and high safety responsibility. These conditions heighten vulnerability to depression, anxiety, and stress (DAS), yet the protective mechanisms mitigating such effects remain less well understood. Objective: This study examined the roles of resilience, coping strategies, and fatigue in predicting DAS among commercial airline pilots.</excerpt>",18
2025,,,Post-COVID-19 Neurocognitive Screening in Routine Pilot Aeromedical Evaluations,"<title>Post-COVID-19 Neurocognitive Screening in Routine Pilot Aeromedical Evaluations</title> <excerpt>INTRODUCTION: One crucial aspect of flight safety is being able to detect medical or neuropsychological conditions during aeromedical examinations. However, subtle but safety-significant post-COVID-19 neurocognitive impairments may go unreported or undetected. The Trail Making Test (TMT) and Symbol Digit Modalities Test (SDMT) can detect these impairments in domains essential to pilot performance, though further investigation is needed to assess their effectiveness and clinical utility in routine pilot aeromedical examinations.</excerpt>",110
2025,,,"Medical Reporting Behavior of Military, Commercial, and General Aviation Pilots","<title>Medical Reporting Behavior of Military, Commercial, and General Aviation Pilots</title> <excerpt>INTRODUCTION: Pilots are undoubtedly among employees who undergo rigorous medical evaluations to ensure they are fit to fly. However, accidents like the Germanwings Flight 9525 highlight that medically unfit individuals can still end up in the cockpit. METHODS: This study sought to investigate Greek pilots' attitudes toward medical reporting, given that the available national research is very limited.</excerpt>",35
2025,Netherlands - United Kingdom,"Delft University of Technology, Delft, Zuid-Holland, Netherlands; Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO, The Hague, Zuid-Holland, Netherlands; Cranfield University, Cranfield, Bedfordshire, United Kingdom",Quantifying the Impact of Spatial Disorientation on Pilot Mental Workload and Attentional Focus,"<title>Quantifying the Impact of Spatial Disorientation on Pilot Mental Workload and Attentional Focus</title> <excerpt>Objective: We aimed to find objective measures of the impact of spatially disorienting (SD) stimuli on pilot cognition in an ecologically valid environment. Background: SD frequently occurs in military rotary-wing operations and often contributes to mishaps. Effects of SD stimuli on pilots are usually quantified using control errors, but effects on cognition have not yet been successfully quantified.</excerpt>",11
2025,China,"Co. Ltd, Guangzhou, China",Detection and risk factors of psycho-cardiological diseases in civil aviation aircrews; 民航空勤人员双心疾病检出情况及危险因素分析,"<title>Detection and risk factors of psycho-cardiological diseases in civil aviation aircrews; 民航空勤人员双心疾病检出情况及危险因素分析</title> <excerpt>Objective To investigate the detection rates of and risk factors for psycho-cardiological diseases in civil aviation aircrews. Methods A total of 134 civil aviation aircrews with cardiovascular diseases detected during annual physical examinations at the Aviation Health Center of China Southern Airlines Co., Ltd. in 2023 were selected.</excerpt>",51
2025,"Korea, Republic of","Department of English Education, Jeju National University, Jeju, Jeju-do, South Korea",Non-native English Communication and Anxiety in Military ATC: Insights from Korean Air Traffic Controllers,"<title>Non-native English Communication and Anxiety in Military ATC: Insights from Korean Air Traffic Controllers</title> <excerpt>This mixed-methods study investigated language anxiety among Korean military air traffic controllers (ATCOs) when communicating with native English-speaking pilots. The quantitative phase (N = 81) used hierarchical regression analysis examining relationships between individual characteristics and anxiety levels. The qualitative phase (N = 13) employed semi-structured interviews exploring controllers' experiences, anxiety triggers, and coping mechanisms.</excerpt>",16
2025,"Korea, Republic of","School of Tourism, Hanyang University, Seoul, South Korea",Effects of Flight Attendants' Mental Health Resulting From Emotion Regulation Among Coworkers on Flight Safety Attitudes: Moderating Effects of Behavioral Activation Systems,"<title>Effects of Flight Attendants' Mental Health Resulting From Emotion Regulation Among Coworkers on Flight Safety Attitudes: Moderating Effects of Behavioral Activation Systems</title> <excerpt>We developed a causal conceptual framework from a social-psychological perspective to investigate whether cabin crews' mental health affects flight safety attitudes via emotion regulation toward coworkers. In addition, the moderating effect of behavioral activation systems (BAS) in linking emotion regulation to mental health is examined. Data were collected through a quantitative survey administered both online and face to face at major airports in Korea over 2 months (January–March 2025).</excerpt>",22
2025,Greece,"Department of Economics, Democritus University of Thrace, Komotini, Eastern Macedonia and Thrace, Greece; Alexandroupolis “Dimokritos” Airport, Alexandroupoli, Greece; Department of Medicine, Democritus University of Thrace, Komotini, Eastern Macedonia and Thrace, Greece",Assessment of Occupational Health and Safety Performance in Air Traffic Control: An Empirical Investigation of Stress and Well-Being,"<title>Assessment of Occupational Health and Safety Performance in Air Traffic Control: An Empirical Investigation of Stress and Well-Being</title> <excerpt>Air traffic control is widely recognized as one of the most psychologically demanding occupations, where safety and operational performance are tightly interwoven. This study explores the relationship between occupational health and safety (OHS) systems and the psychological well-being of Air Traffic Controllers (ATCOs), focusing on factors such as perceived safety, job satisfaction, stress, and mental strain. Conducted within the Hellenic Air Navigation Services Provider, the research adopts a cross-sectional design using a structured questionnaire distributed nationwide.</excerpt>",16
2025,United States,"Eglin Air Force Base, Valparaiso, FL, United States; Air Force Research Laboratory, Dayton, OH, United States; 4th Fighter Wing Optimizing the Human Weapon System, Seymour Johnson Air Force Base, Seymour, NC, United States; Joint Base Langley-Eustis, Hampton, VA, United States; Holloman Air Force Base, Alamogordo, NM, United States; Sheppard Air Force Base, Sheppard, TX, United States; 56th Fighter Wing Human Performance Team, Luke Air Force Base, Glendale, AZ, United States; Air Force Element Department of Defense, United States Air Force, Arlington, VA, United States; Human Performance Test, Nellis Air Force Base, Las Vegas, NV, United States; Joint Base San Antonio, San Antonio, TX, United States; Joint Base Langley-Eustis, Hampton, VA, United States",Evaluating the Impact of a Spine Training Program on Air Force Student Fighter Pilots,"<title>Evaluating the Impact of a Spine Training Program on Air Force Student Fighter Pilots</title> <excerpt>Introduction: A 2022 survey conducted by Headquarters Air Combat Command Aircrew Performance Branch found that 98% of fighter aircrew reported flight-related neck pain during their career. Despite the high prevalence of neck pain and growing operational demands, there remains no consensus regarding best practices for mitigating aircrew pain and injury. Although most pilot training locations have established aircrew performance teams, only select locations have mandated training hours to support injury mitigation training.</excerpt>",90
2025,,,"Cognitive Engagement Profiling of Pilots in High-Speed, High-Threat Scenarios","<title>Cognitive Engagement Profiling of Pilots in High-Speed, High-Threat Scenarios</title> <excerpt>INTRODUCTION: This study investigated pilot cognitive engagement patterns across diverse flight conditions using electroencephalography (EEG)-based measurements in a high-fidelity rotary-wing simulation environment. METHODS: A total of 8 experienced U.S. Army test pilots completed 24 flights across 3 distinct route designs using the National Aeronautics and Space Administration Ames Vertical Motion Simulator, with airspeeds ranging from 120 to 240 kn.</excerpt>",3
2025,,,Initial Psychometric Validation of a Self-Report Measure of the Symptoms of Mild Hypoxic Hypoxia,"<title>Initial Psychometric Validation of a Self-Report Measure of the Symptoms of Mild Hypoxic Hypoxia</title> <excerpt>INTRODUCTION: There has been long-standing interest in the physiological and psychological effects of mild hypoxia on aircrew, but to date there is no psychometrically valid self-report measure of subjective symptoms. METHODS: To address this gap, we developed a self-report scale along three dimensions of impairment: cognitive, sensory and affective. We administered this scale to active and retired aircrew (N = 354) with on average 25.04 yr (SD = 11.27) of military service and subjected their responses to exploratory factor analysis using Maximum Likelihood Estimation, followed by reliability analysis to determine cohesiveness of associated items.</excerpt>",65
2025,Australia,"Swinburne University of Technology, Hawthorn, VIC, Australia",A duty to enhance? Genetic engineering for the human Mars settlement,"<title>A duty to enhance? Genetic engineering for the human Mars settlement</title> <excerpt>Humans living off-world will face numerous physical, psychological and social challenges and are likely to suffer negative health effects due to their lack of evolutionary adaptation to space environments. While some of the necessary adaptations may develop naturally over many generations, genetic technologies could be used to speed this process along, potentially improving the wellbeing of early space settlers and their offspring. With broad support, such a program could lead to significant genetic modification of off-world communities, for example, to limit radiation damage on body systems or prevent bone and muscle loss in reduced gravity conditions.</excerpt>",15
2025,China - Hong Kong - Sweden,"International Peace Maternity & Child Health Hospital of China welfare institute, Shanghai, China; Shanghai Key Laboratory of Embryo Original Diseases, Shanghai, China; School of Public Health, Shanghai Jiao Tong University School of Medicine, Shanghai, China; CAAC East China Aviation Personnel Medical Appraisal Center, Shanghai, China; Diversity and Welfare, Malmö Universitet, Malmo, Skane, Sweden; College of Computing, City University of Hong Kong, Hong Kong, Hong Kong; Department of Neurobiology, Karolinska Institutet, Stockholm, Stockholms, Sweden; Department of Radiology, Ruijin Hospital, Shanghai, China; School of Nursing, Shanghai Jiao Tong University School of Medicine, Shanghai, China",Development and validation of a prediction model for the depressive symptom risk in commercial airline pilots,"<title>Development and validation of a prediction model for the depressive symptom risk in commercial airline pilots</title> <excerpt>Background/aims: Shift workers, such as medical personnel, and pilots, are facing an increased risk of depressive symptoms. Depressive symptoms significantly impact an individual’s quality of life and affect work performance, decision-making abilities, and overall public safety. This study aims to establish a multidimensional depressive symptom prediction model based on a large sample of commercial airline pilots to facilitate early identification, prevention, and personalized intervention strategies.</excerpt>",51
2025,"Korea, Republic of","Department of Systems Engineering, Korean Air Force Academy, Cheongju, Chungcheongbuk-do, South Korea; Department of Industrial Engineering, Seoul National University, Seoul, South Korea; Samsung Electronics Co., Ltd., Suwon, Gyeonggi-do, South Korea",Development and validation of spatial disorientation scenarios using virtual reality and motion simulator,"<title>Development and validation of spatial disorientation scenarios using virtual reality and motion simulator</title> <excerpt>Spatial Disorientation (SD) can cause critical aviation accidents by adversely affecting the pilot's ability to perform a flight mission. One of the strategies to improve pilots' ability to deal with SD is to perform SD training using Virtual Reality and Motion Simulator (VRMS) system. However, there is still a lack of studies that investigated the application of VRMS for SD training.</excerpt>",11
2025,France,"Communauté d'universités et établissements de Toulouse, Toulouse, Occitanie, France; Université Toulouse - Jean Jaurès, Toulouse, Occitanie, France",Impact of automation level on airline pilots’ flying performance and visual scanning strategies: A full flight simulator study,"<title>Impact of automation level on airline pilots’ flying performance and visual scanning strategies: A full flight simulator study</title> <excerpt>Cockpit automation has brought significant benefits in terms of mental workload and fatigue. However, the way primary flight instruments are monitored by pilots may be negatively affected by the high confidence in systems. We examined the effects of automation level on mental workload, manual flight performance and visual strategies.</excerpt>",8
2025,"China - India - Malaysia - Saudi Arabia - Taiwan, Province of China","School of Computer and Information Technology, Shanxi University, Taiyuan, Shanxi, China; Shanxi University, Taiyuan, Shanxi, China; International Graduate School of Artificial Intelligence, National Yunlin University of Science and Technology, Douliou, Yunlin, Taiwan; School of Engineering and Technology, Sunway University, Sunway City, Selangor, Malaysia; Chandigarh University, Mohali, PB, India; Department of Computer Engineering, King Saud University, Riyadh, Riyad, Saudi Arabia",Intelligent traffic management via personalized group consensus based on chimp optimization-guided random vector functional link and quantum theory: A perspective of randomization,"<title>Intelligent traffic management via personalized group consensus based on chimp optimization-guided random vector functional link and quantum theory: A perspective of randomization</title> <excerpt>In urban traffic management, bike-sharing systems are crucial for green transportation. However, due to the uneven distribution of shared bikes and randomization of user behavior, the urban dockless bicycle sharing system (UDBSS) faces issues of randomization. Since rebalancing in UDBSS involves the opinion and preference of multiple stakeholders, it can be modeled as a group consensus problem.</excerpt>",0
2025,China - Thailand,"School of Culture Tourism and Geography, Guangdong University of Finance & Economics, Guangzhou, Guangdong, China; School of Geography, Nanjing Normal University, Nanjing, Jiangsu, China; Department of Medical Psychology, Nanjing Medical University, Nanjing, Jiangsu, China; Faculty of Nursing, Chiang Mai University, Chiang Mai, Chiang Mai, Thailand",Understanding the airborne experiences of passengers with depression in long-haul air travels,"<title>Understanding the airborne experiences of passengers with depression in long-haul air travels</title> <excerpt>This qualitative study scrutinises the role of depression in mediating air travellers' in-flight experiences. Depression can turn a travelling body into a docile object subject to others’ judgment. As a consequence, the vulnerable body may become less connected with its surroundings.</excerpt>",51
2025,United States,"The Fu Foundation School of Engineering and Applied Science, New York, NY, United States; Pratt School of Engineering, Durham, NC, United States; Department of Computer Science, Piscataway, NJ, United States; School of Computer Science, Pittsburgh, PA, United States",XGate: Explainable Reinforcement Learning for Transparent and Trustworthy API Traffic Management in IoT Sensor Networks,"<title>XGate: Explainable Reinforcement Learning for Transparent and Trustworthy API Traffic Management in IoT Sensor Networks</title> <excerpt>The rapid proliferation of Internet of Things (IoT) devices and their associated application programming interfaces (APIs) has significantly increased the complexity of sensor network traffic management, necessitating more sophisticated and transparent control mechanisms. In this paper, we introduce XGate, a novel explainable reinforcement learning framework designed specifically for API traffic management in sensor networks. XGate addresses the critical challenge of balancing optimal routing decisions with the interpretability demands of network administrators operating large-scale IoT deployments.</excerpt>",0
2025,Austria - Germany,"Freie Universität Berlin, Berlin, Berlin, Germany; Universität Wien, Vienna, Vienna, Austria; Leibniz Institute for Science and Mathematics Education, Kiel, Schleswig-Holstein, Germany",Assessing the Speed–Accuracy Tradeoff in Psychological Testing Using Experimental Manipulations,"<title>Assessing the Speed–Accuracy Tradeoff in Psychological Testing Using Experimental Manipulations</title> <excerpt>The speed–accuracy tradeoff (SAT), where increased response speed often leads to decreased accuracy, is well established in experimental psychology. However, its implications for psychological assessments, especially in high-stakes settings, remain less understood. This study presents an experimental approach to investigate the SAT within a high-stakes spatial ability assessment.</excerpt>",21
2025,United States,"Department of Marketing and Finance, Frostburg State University, Frostburg, MD, United States",After the Accident: Is There a Blame Bias Against the Airline?,"<title>After the Accident: Is There a Blame Bias Against the Airline?</title> <excerpt>Based on the deontological ethical perspective and concepts from blame psychology such as the defensive attribution hypothesis and culpable control, it is argued that people are predisposed to blame a transportation company when it is involved in an accident. This was tested in a scenario of an airline accident of uncertain cause, finding that respondents blamed the airline the most among a list of five blamable entities (pilots, mechanics-maintenance-inspectors, the weather, ground crew-air traffic control, and airline). Additionally, based on the virtue theory of ethics and the moral character perspective of blame psychology, it was hypothesized that manipulation of the virtue of the airline (mercenary versus altruistic) would result in less blame assigned to the altruistic airline in a quasi-experiment where the other factor was outcome of the accident (safe landing with a few injuries versus crash with many fatalities).</excerpt>",1
2025,China,"College of Air Traffic Management, Civil Aviation University of China, Tianjin, Tianjin, China",Comprehensive Evaluation of Remote Tower Controllers’ Situation Awareness Level Based on the Entropy Weight Method (EWM)–TOPSIS–Gray Relational Analysis Model,"<title>Comprehensive Evaluation of Remote Tower Controllers’ Situation Awareness Level Based on the Entropy Weight Method (EWM)–TOPSIS–Gray Relational Analysis Model</title> <excerpt>In recent years, the rapid development of remote tower technology has made it crucial to accurately assess the situational awareness (SA) levels of remote tower controllers. Such an assessment is significant for controller training and remote tower system design. This study employed the SART scale to compare controllers’ SA scores in traditional and remote tower environments.</excerpt>",0
2025,Australia,"University of New South Wales at Australian Defence Force Academy, Canberra, ACT, Australia; Edith Cowan University, Perth, WA, Australia; University of New South Wales at Australian Defence Force Academy, Canberra, ACT, Australia; University of New South Wales at Australian Defence Force Academy, Canberra, ACT, Australia",Identifying Human Factor Causes of Remotely Piloted Aircraft System Safety Occurrences in Australia,"<title>Identifying Human Factor Causes of Remotely Piloted Aircraft System Safety Occurrences in Australia</title> <excerpt>Remotely piloted aircraft are a fast-emerging sector of the aviation industry. Although technical failures have been the largest cause of accident occurrences for Remotely Piloted Aircraft Systems (RPASs), if they are to follow the path of conventionally crewed aviation, Human Factors (HFs) will increasingly contribute to accidents as the technology of RPASs improves. Examining an RPAS accident database from 2008–2019 for HF-caused accidents and coding to the Human Factors Analysis and Classification System (HFACS) taxonomy, an exploration of RPAS HFs is carried out and the predominant HF issues for RPAS pilots identified.</excerpt>",1
2025,"Korea, Republic of","School of Information and Communication Engineering, Chungbuk National University, Cheongju, Chungcheongbuk-do, South Korea; School of Artificial Intelligence, Daegu University, Gyeongsan, Gyeongsangbuk-do, South Korea; Ltd., Seoul, South Korea",FLDQN: Cooperative Multi-Agent Federated Reinforcement Learning for Solving Travel Time Minimization Problems in Dynamic Environments Using SUMO Simulation,"<title>FLDQN: Cooperative Multi-Agent Federated Reinforcement Learning for Solving Travel Time Minimization Problems in Dynamic Environments Using SUMO Simulation</title> <excerpt>The increasing volume of traffic has led to severe challenges, including traffic congestion, heightened energy consumption, increased air pollution, and prolonged travel times. Addressing these issues requires innovative approaches for optimizing road network utilization. While Deep Reinforcement Learning (DRL)-based methods have shown remarkable effectiveness in dynamic scenarios like traffic management, their primary focus has been on single-agent setups, limiting their applicability to real-world multi-agent systems.</excerpt>",0
