,year,publication,title,abstract,excerpt,doc
130,2011,ProQuest Dissertations and Theses,Neurocognitive Predictors of Flight Performance of Successful Solo Flight Students,"Cognitive abilities have been identified as a significant source for determining the potential for individuals to achieve success as pilots. However, while assessments of specific cognitive abilities are considered critical to predicting pilot performance, they do not form part of university admission processes for students applying to flight programs, where attrition rates can be high as 70%. The Cattell-Horn-Carroll (CHC) three-stratum model theory of cognitive abilities links academic and cognitive performance; however, further research could contribute to stratum modifications by expanding understanding of the relationships between CHC theory information processing abilities and specific human performance. In an independent-sample t test research design, this nonexperimental quantitative study examined the relationship between cognitive predictors and successful solo flight performance of student pilots. The CogScreen Aeromedical Edition neurological assessment was used to determine if cognitive factors are valid and reliable of successful solo flight performance. The study participants were 70 student pilots (a convenience sample) between the ages of 18 and 25, 10 female (14%) and 60 male (86%), selected from Embry-Riddle Aeronautical University. The CogScreen-AE measure was administered to the participants prior to their flight instruction. Flight instructors used the FA121 Flight Training Syllabus to evaluate student performance during their training. At the completion of the training, participants were placed in Solo-Completed (n = 52) and Solo-Not-Completed (n = 18) groups. Independent-sample t tests were used to compare the mean scores between the Solo-Completed and Solo-Not-Completed groups. The test was significant for the three cognitive measures: divided attention t(68) = 3.77, p< .001, speed-working memory t(68) = 6.81, p< .001, and LRPV  t(68) = 17.67, p< .001. The Pearson correlation results revealed that LRPV (r[52] = .32, p< .05) had the strongest relationship of the three cognitive measures. In addition, regression analyses revealed that the LRPV was the most predictive that explained 81% of the variance (R² = .81,  F[1, 51] = 213.15, p < .001) in successful solo flight performance. These findings suggest that these cognitive measures are significant of successful solo flight performance and provide further evidence in support of the CHC theory. It is concluded that applying a cognitive performance measure prior to admission to a flight program may reduce attrition rates, support necessary accommodations, and identify flight deficiencies. Further research should compare results among different university flight programs to confirm the findings and to improve the reliability of the CogScreen-AE as a standardized measure for beginning flight students.","Cognitive abilities have been identified as a significant source for determining the potential for individuals to achieve success as pilots. However, while assessments of specific cognitive abilities are considered critical to predicting pilot performance, they do not form part of university admission processes for students applying to flight programs, where attrition rates can be high as 70%. The Cattell-Horn-Carroll (CHC) three-stratum model theory of cognitive abilities links academic and cognitive performance; however, further research could contribute to stratum modifications by expanding understanding of the relationships between CHC theory information processing abilities and specific human performance.","<title>Neurocognitive Predictors of Flight Performance of Successful Solo Flight Students</title> <excerpt>Cognitive abilities have been identified as a significant source for determining the potential for individuals to achieve success as pilots. However, while assessments of specific cognitive abilities are considered critical to predicting pilot performance, they do not form part of university admission processes for students applying to flight programs, where attrition rates can be high as 70%. The Cattell-Horn-Carroll (CHC) three-stratum model theory of cognitive abilities links academic and cognitive performance; however, further research could contribute to stratum modifications by expanding understanding of the relationships between CHC theory information processing abilities and specific human performance.</excerpt>"
131,1999,ProQuest Dissertations and Theses,An examination of U.S. Army Aviation Warrant Officers' personality and promotability,"This study examined the personality characteristics of U.S. Army Aviation Warrant Officers using a modified version of the NEO [Neuroticism, Extraversion, Openness] Five-Factor Inventory (NEO-FFI) (Costa & McCrae, 1992). The purpose of this study was to determine if specific personality domains afford an Army Aviation Warrant Officer greater likelihood of being promoted in the United States Army. The NEO-FFI examines the five-factor model of personality in terms of five basic dimensions: Extraversion, Agreeableness, Conscientiousness, Neuroticism, and Openness to Experience. This study reviewed the published literature summarizing the historical development and description of the five-factor model of personality, the assessment of the model, applications of the model, military aviation application of personality testing, and specific methodological details of the study. Results suggested the personality domain of Agreeableness may influence the likelihood of an Army Aviation Warrant Officer being promoted to the ranks of Chief Warrant Officer Four and Chief Warrant Officer Five to a greater extent than the other personality domains. Implications for interpretation of promotion selection of Army Aviation Warrant Officers are discussed.","This study examined the personality characteristics of U.S. Army Aviation Warrant Officers using a modified version of the NEO [Neuroticism, Extraversion, Openness] Five-Factor Inventory (NEO-FFI) (Costa & McCrae, 1992). The purpose of this study was to determine if specific personality domains afford an Army Aviation Warrant Officer greater likelihood of being promoted in the United States Army.","<title>An examination of U.S. Army Aviation Warrant Officers' personality and promotability</title> <excerpt>This study examined the personality characteristics of U.S. Army Aviation Warrant Officers using a modified version of the NEO [Neuroticism, Extraversion, Openness] Five-Factor Inventory (NEO-FFI) (Costa & McCrae, 1992). The purpose of this study was to determine if specific personality domains afford an Army Aviation Warrant Officer greater likelihood of being promoted in the United States Army.</excerpt>"
132,2010,ProQuest Dissertations and Theses,A comparison of the effect of variations to U.S. airport terminal signs on the successful wayfinding of Chinese and American cultural groups,"Processing passengers quickly and efficiently is one of the top goals for airport administrators, and major international gateways have the added challenge of processing passengers representing a variety of cultures and nations. People having diverse cultural backgrounds may interpret signage layouts differently with respect to symbols and text. Consequently, dedicated research into signage perception may provide airport administrators with a more informed sense of how to convey appropriate movement and directional information within their terminals. There are many ways to answer the broad question of what signage encourages passengers to move most efficiently through an airport terminal. This study focused on the different ways in which Chinese and American airline passengers navigated through a terminal using either signs showing text only, symbols only, or both text and symbols. Quantitative in nature, the study used a unique computer simulation to generate paths having signage with English text, common symbols, or a combination of both. Participants clicked on arrows to follow the path to the specified goal for each different variation. Total completion time measurements and completion accuracy (in terms of correct versus incorrect clicks) were gathered. Analysis of the results suggested that there was a statistically significant difference related to cultural differences on a passenger's ability to wayfind based on the type of signage used.  Additionally, within cultural groups there was a statistically significant difference as to which arrangements encouraged better wayfinding and those which did not. Lastly, the results suggested a difference in which sign type produced the best wayfinding performance and which sign type people actually preferred.","Processing passengers quickly and efficiently is one of the top goals for airport administrators, and major international gateways have the added challenge of processing passengers representing a variety of cultures and nations. People having diverse cultural backgrounds may interpret signage layouts differently with respect to symbols and text. Consequently, dedicated research into signage perception may provide airport administrators with a more informed sense of how to convey appropriate movement and directional information within their terminals.","<title>A comparison of the effect of variations to U.S. airport terminal signs on the successful wayfinding of Chinese and American cultural groups</title> <excerpt>Processing passengers quickly and efficiently is one of the top goals for airport administrators, and major international gateways have the added challenge of processing passengers representing a variety of cultures and nations. People having diverse cultural backgrounds may interpret signage layouts differently with respect to symbols and text. Consequently, dedicated research into signage perception may provide airport administrators with a more informed sense of how to convey appropriate movement and directional information within their terminals.</excerpt>"
133,2010,ProQuest Dissertations and Theses,Qualitative phenomenological study of leadership perspectives in commercial airlines,"The lack of identified leadership skills in the airline industry does not allow for proper training or accurate measurement of the leadership ability of the airline captain. The purpose of the qualitative phenomenological study was to identify perceptions of leadership skills considered necessary for the role of an airline captain in North America. The study attempts to clarify the nature of airline captain leadership behaviors in order to inform the development of captain upgrade training by answering the research questions: (a) What leadership skills are necessary for becoming a captain of the airplane? and (b) How do North American airlines train leadership skills before upgrading to the captain’s position? A qualitative phenomenological design was used to gather experiences from captains from five North American passenger airlines through telephone interviews. Structured protocols were followed and captains’ responses were analyzed in order to develop themes capturing the leadership role on the flight deck from the perspective of the captain. Five emergent leadership themes were: (a) communication, (b) teamwork, (c) knowledge, (d) self-awareness, and (e) leader as mentor. Responses to the second research question suggested leadership training is lacking in depth and should be scenario-based, focused on actual situations, integrate leadership in all aspects and at times involve all flight crewmembers. Recommendations to the airlines include better structuring of leadership objectives with emphasis on depth of topic and relevance to actual job roles, integrating leadership training into all aspects of aircraft training especially during scenario-based training sessions, and including more training in overall organization and commercial issues for the aircraft captains.",The lack of identified leadership skills in the airline industry does not allow for proper training or accurate measurement of the leadership ability of the airline captain. The purpose of the qualitative phenomenological study was to identify perceptions of leadership skills considered necessary for the role of an airline captain in North America. The study attempts to clarify the nature of airline captain leadership behaviors in order to inform the development of captain upgrade training by answering the research questions: (a) What leadership skills are necessary for becoming a captain of the airplane? and (b) How do North American airlines train leadership skills before upgrading to the captain’s position? A qualitative phenomenological design was used to gather experiences from captains from five North American passenger airlines through telephone interviews.,<title>Qualitative phenomenological study of leadership perspectives in commercial airlines</title> <excerpt>The lack of identified leadership skills in the airline industry does not allow for proper training or accurate measurement of the leadership ability of the airline captain. The purpose of the qualitative phenomenological study was to identify perceptions of leadership skills considered necessary for the role of an airline captain in North America. The study attempts to clarify the nature of airline captain leadership behaviors in order to inform the development of captain upgrade training by answering the research questions: (a) What leadership skills are necessary for becoming a captain of the airplane? and (b) How do North American airlines train leadership skills before upgrading to the captain’s position? A qualitative phenomenological design was used to gather experiences from captains from five North American passenger airlines through telephone interviews.</excerpt>
134,2013,ProQuest Dissertations and Theses,Public sector pilot perceptions of Flight Operational Quality Assurance programs,"A Flight Operational Quality Assurance (FOQA) program monitors pilots by storing hundreds of flight parameters i.e. speed, altitude, instrument readings etc. retrievable for playback. Thus, FOQA is a powerful aviation safety tool, but FOQA has also raised critical data-protection issues regarding its use for disciplinary or FAA actions, and/or release to outside entities for civil or criminal litigation.  The FAA has a strong desire to expand FOQA, however only 17% of smaller air operators have voluntarily adopted it, and little is known about pilot perceptions of FOQA. Technology improvements and cost reductions have enabled its adoption. The General Accountability Office has maintained negative pilot perceptions are a barrier to further adoption of FOQA.   This is the first comparative research to study pilot perceptions of FOQA. This research hypothesized that public sector pilots flying under a FOQA program would have more positive perceptions, and lower negative perceptions, of FOQA than their counterparts not flying under a FOQA program. No significant differences were found on either the positive perceptions scale,  t(185) = .24, p=.81, or the negative perceptions scale t(185)= 1.56, p=.12. A one-way ANOVA indicated that education level did not have a significant relationship with either positive, F(3.178) = .69, p=.56, or negative, F(3.179) = 1.04,  p=.38 , perceptions of FOQA.    It was hypothesized that pilots with FOQA experience would have higher positive perception scale scores, and lower negative perception scale scores, than pilots operating without FOQA experience. The one-tailed point-biserial correlation indicated that there was no significant relationship between positive,  rpb(142) = .09, p= .14, or negative  rpb(142) = -.16, p= .03, perceptions with FOQA experience.   Public sector small air operators operate in a variety of environments that pose risk to safe operations. FAA's promotion of safety data analysis by air operators through voluntary adoption of FOQA has stalled. If FAA desires to retain global leadership in flight data analysis and safety risk management, they should initiate new action to reenergize broader adoption of FOQA including the protection of sensitive safety information from litigation discovery, and the reevaluation of FOQA as a voluntary safety program.","A Flight Operational Quality Assurance (FOQA) program monitors pilots by storing hundreds of flight parameters ie speed, altitude, instrument readings etc. retrievable for playback. Thus, FOQA is a powerful aviation safety tool, but FOQA has also raised critical data-protection issues regarding its use for disciplinary or FAA actions, and/or release to outside entities for civil or criminal litigation.","<title>Public sector pilot perceptions of Flight Operational Quality Assurance programs</title> <excerpt>A Flight Operational Quality Assurance (FOQA) program monitors pilots by storing hundreds of flight parameters ie speed, altitude, instrument readings etc. retrievable for playback. Thus, FOQA is a powerful aviation safety tool, but FOQA has also raised critical data-protection issues regarding its use for disciplinary or FAA actions, and/or release to outside entities for civil or criminal litigation.</excerpt>"
135,1997,ProQuest Dissertations and Theses,Evaluation of perspective and coplanar cockpit displays of traffic information to support hazard awareness in free flight,"A study was conducted to investigate the effects of display dimensionality on the ability of pilots to detect and avoid air traffic conflict in a part-task flight simulation paradigm. Thirty certified flight instructors from the Institute of Aviation at the University of Illinois flew a series of trials using one of three cockpit display of traffic information (CDTI) formats. A coplanar (two-panel) format displayed two orthogonal views of the airspace, a conventional top-down view, and a view looking forward from behind the pilot's aircraft which provided a spatial-analog representation of altitude. Two perspective projection formats (one using a 30$\sp\circ$ viewing vector elevation angle, the other using a 60$\sp\circ$ viewing angle) provided integrated exocentric views of the airspace from above and behind the pilot's aircraft. The pilots were instructed to fly to a navigational waypoint displayed on the traffic display, and to deviate from their flight path as necessary to maintain safe separation from conflicting traffic. Traffic approached from a variety of trajectories which were designed to either conflict with, or miss the pilot's aircraft. Results indicated that the coplanar format generally supported better conflict detection and avoidance performance than did the perspective displays. Additionally, the approach trajectory of the traffic interacted with display format to affect the types of maneuvering strategies used by the pilots, as well as their success in avoiding conflicts. The results reported here are contrasted with the findings of previous research which has shown comparative advantages for perspective displays over planar formats which have used alphanumeric and symbolic codes to represent altitude.","A study was conducted to investigate the effects of display dimensionality on the ability of pilots to detect and avoid air traffic conflict in a part-task flight simulation paradigm. Thirty certified flight instructors from the Institute of Aviation at the University of Illinois flew a series of trials using one of three cockpit display of traffic information (CDTI) formats. A coplanar (two-panel) format displayed two orthogonal views of the airspace, a conventional top-down view, and a view looking forward from behind the pilot's aircraft which provided a spatial-analog representation of altitude.","<title>Evaluation of perspective and coplanar cockpit displays of traffic information to support hazard awareness in free flight</title> <excerpt>A study was conducted to investigate the effects of display dimensionality on the ability of pilots to detect and avoid air traffic conflict in a part-task flight simulation paradigm. Thirty certified flight instructors from the Institute of Aviation at the University of Illinois flew a series of trials using one of three cockpit display of traffic information (CDTI) formats. A coplanar (two-panel) format displayed two orthogonal views of the airspace, a conventional top-down view, and a view looking forward from behind the pilot's aircraft which provided a spatial-analog representation of altitude.</excerpt>"
136,2004,ProQuest Dissertations and Theses,Acknowledgement response and interference timing during the processing of voice and datalink ATC commands,"In aviation, effective communication between air traffic control (ATC) and pilots is critical to pilot performance and safety. Problems and limitations of current radio communications initiated the development of datalink technology. Datalink is a text system used to send messages between ATC and pilots. Although datalink was intended to reduce errors associated with radio communication, there are new concerns related to changes in information processing demands associated with executing speech and text ATC commands. In addition, the nature of responses differs between voice and datalink systems. In a voice environment, responses are immediate. However, time delays exist with datalink. These time delays may create an opportunity for interference. Therefore, the timing of interference and the acknowledgement response on command execution performance were examined during the processing of simulated ATC commands. Verbal and central executive (CE) interference tasks were presented before or after the acknowledgement. Participants received both speech and text commands, responded by a verbal or manual acknowledgement, and set the controls in a flight simulator. Results demonstrated no differences between speech and text formats with a verbal acknowledgement. However, there was an advantage for a manual acknowledgement with longer messages. Regarding interference timing, CE as opposed to verbal interference prior to an acknowledgement had a greater negative effect on control setting performance and the magnitude of this effect was larger in the text condition. Thus, text information appears to be more susceptible to the negative effects of interference as resources begin to reach capacity. However, the differences between the sources of interference decreased with an increase in message length. Therefore, the timing and type of interference can have differential effects on resource capacity and the ability to rehearse information in memory. It was also suggested that the processing code of a task is of more importance than the response code. The findings are interpreted within the context of a working memory and resource perspective and implications are discussed with regard to the communication process in aviation.","In aviation, effective communication between air traffic control (ATC) and pilots is critical to pilot performance and safety. Problems and limitations of current radio communications initiated the development of datalink technology. Datalink is a text system used to send messages between ATC and pilots.","<title>Acknowledgement response and interference timing during the processing of voice and datalink ATC commands</title> <excerpt>In aviation, effective communication between air traffic control (ATC) and pilots is critical to pilot performance and safety. Problems and limitations of current radio communications initiated the development of datalink technology. Datalink is a text system used to send messages between ATC and pilots.</excerpt>"
137,2016,ProQuest Dissertations and Theses,"An evaluation of the relationships between safety management system initiatives, transformational safety leadership, self-efficacy, safety behavior, and safety-related events mediated by safety motivation in collegiate aviation","The study conceptualized Safety Management System (SMS) initiative, self-efficacy, and transformational safety leadership as constructs that relates to safety behavior (measured by safety compliance and safety participation) when mediated by safety motivation using a concurrent-triangulation approach. The study also evaluated the relationship between safety behavior and safety-related events.  Structural equation modeling techniques was used to derive a final measurement model that fit the empirical data and was used to test the study hypotheses. Utilizing a sample of 282 collegiate flight students and instructors from a large public university, a 46-item survey was conducted to measure respondent’s perceptions on the study variables. Semi-structured interviews were also conducted with 4 top-level management personnel to sample their opinions on the effectiveness of the SMS initiative. Factual safety performance data on the flight program over a six-year period was analyzed to complete a triangulation approach. The results indicate that perceptions of SMS policy implementation have direct, positive effect on safety compliance and SMS process engagement has direct, positive effect on safety participation. Self-efficacy had direct, positive effect on both safety compliance and safety participation. Safety motivation fully mediated the effect of transformational safety leadership on safety participation. Safety-related events did not fully mediate the effect between safety compliance and safety participation. There were indications that respondents were not familiar with the Emergency Response Plan. An ANOVA suggests that certified flight instructors significantly had better safety participation and safety compliance than pre-private pilots did. Senior significantly had better safety participation than juniors. A T-test of mean did not reveal any significant differences in safety participation and safety compliance between respondents with formal SMS training and those without.   A review of factual safety data suggests a positive effect on the safety reporting and safety meeting attendance among respondents due to the SMS initiative. Interviews revealed that top-level management support, resource provision and resilience are key elements in the success of any SMS initiative. The theoretical and policy implications of this study to improve proactive safety in collegiate aviation are discussed.","The study conceptualized Safety Management System (SMS) initiative, self-efficacy, and transformational safety leadership as constructs that relates to safety behavior (measured by safety compliance and safety participation) when mediated by safety motivation using a concurrent-triangulation approach. The study also evaluated the relationship between safety behavior and safety-related events. Structural equation modeling techniques was used to derive a final measurement model that fit the empirical data and was used to test the study hypotheses.","<title>An evaluation of the relationships between safety management system initiatives, transformational safety leadership, self-efficacy, safety behavior, and safety-related events mediated by safety motivation in collegiate aviation</title> <excerpt>The study conceptualized Safety Management System (SMS) initiative, self-efficacy, and transformational safety leadership as constructs that relates to safety behavior (measured by safety compliance and safety participation) when mediated by safety motivation using a concurrent-triangulation approach. The study also evaluated the relationship between safety behavior and safety-related events. Structural equation modeling techniques was used to derive a final measurement model that fit the empirical data and was used to test the study hypotheses.</excerpt>"
138,2014,ProQuest Dissertations and Theses,Development and Enhancement to a Pilot Selection Battery for a University Aviation Program,"There exists an imbalance between the number of pilots trained to practice in the field of aviation and the amount of those individuals who are qualified to fly airplanes. By putting a systematic selection system in place, it helps to ensure that the best possible candidates fill open positions in the field. Specifically developing a selection system to train and acclimate future pilots while they are in a university setting will not only help select top-tier candidates into the aviation program, but also prepare them for what to expect when they enter the job market. This research study built upon two iterations of a pilot selection battery for a Midwestern university aviation program. Participants completed a battery that was then used for research purposes to obtain information about the potential predictors of pilot performance. The measures include the IPIP Five Factor Scale, Assertive Interpersonal Schema Questionnaire, Cockpit Management Attitudes Questionnaire, Proactive Personality Scale - Short Version, Block Counting Measure, and Rotated Blocks Measure. Additionally, flight instructors evaluated their students based on several aspects of effective performance. Data from 30 student pilots were examined with bivariate correlations and linear regression and the results from the current sample indicated that a pilot personality profile, assertiveness, proactivity, cockpit management skills, and spatial reasoning did not consistently predict flight performance. Further research is warranted to accumulate a larger sample size in order to determine if these characteristics do, indeed, predict performance in the field.","There exists an imbalance between the number of pilots trained to practice in the field of aviation and the amount of those individuals who are qualified to fly airplanes. By putting a systematic selection system in place, it helps to ensure that the best possible candidates fill open positions in the field. Specifically developing a selection system to train and acclimate future pilots while they are in a university setting will not only help select top-tier candidates into the aviation program, but also prepare them for what to expect when they enter the job market.","<title>Development and Enhancement to a Pilot Selection Battery for a University Aviation Program</title> <excerpt>There exists an imbalance between the number of pilots trained to practice in the field of aviation and the amount of those individuals who are qualified to fly airplanes. By putting a systematic selection system in place, it helps to ensure that the best possible candidates fill open positions in the field. Specifically developing a selection system to train and acclimate future pilots while they are in a university setting will not only help select top-tier candidates into the aviation program, but also prepare them for what to expect when they enter the job market.</excerpt>"
139,2000,ProQuest Dissertations and Theses,An empirical assessment of situation awareness in an instrument flight rules (IFR) aviation simulation,"Situation awareness (SA) has received much attention from researchers during the past decade. However, many empirical attempts to examine SA are flawed because they rely solely on measures of performance to indicate the presence or absence of SA. This research assumed that SA was a descriptive label for correspondence, a phenomenon that could be defined operationally and examined empirically to determine its relationship to performance. Correspondence was defined operationally as the degree of similarity between the objective significance of a situation and a pilot's mental representation of that situation. Subject-matter experts derived criteria for correspondence and performance using Federal Aviation Regulations to identify the objective significance of several situations embedded within a full-mission aviation simulation. Correspondence was measured empirically by comparing the objective significance of each situation in the simulation (i.e., criteria) with a pilot's mental representation as revealed by responses to knowledge-based questions. T-tests were used to assess correspondence and performance relative to the criteria generated by subject-matter experts. In addition, this research tested whether the level of pilot knowledge, as defined by pilot certification level and amount of actual IFR experience, affected the frequency with which a pilot established correspondence. T-tests were used to assess the hypothesis that pilots with higher knowledge levels [i.e., Certified Flight Instructor-Instruments (CFII)] would demonstrate correspondence more frequently than pilots with lower knowledge levels (non-CFII). Relative to the 13 non-CFII pilots, the 12 CFII pilots established strong correspondence more frequently and they performed better. Measures of correspondence and performance enabled the development and utilization of matrices that were used to analyze the relationship between correspondence and performance. This analysis revealed several instances of dissociation between performance and correspondence, and it challenges the practice of using performance measures solely to infer causality between SA and performance. Furthermore, the correspondence-performance matrices allowed for the categorization of pilot behavior and the derivation of specific solutions to safety-related issues.","Situation awareness (SA) has received much attention from researchers during the past decade. However, many empirical attempts to examine SA are flawed because they rely solely on measures of performance to indicate the presence or absence of SA. This research assumed that SA was a descriptive label for correspondence, a phenomenon that could be defined operationally and examined empirically to determine its relationship to performance.","<title>An empirical assessment of situation awareness in an instrument flight rules (IFR) aviation simulation</title> <excerpt>Situation awareness (SA) has received much attention from researchers during the past decade. However, many empirical attempts to examine SA are flawed because they rely solely on measures of performance to indicate the presence or absence of SA. This research assumed that SA was a descriptive label for correspondence, a phenomenon that could be defined operationally and examined empirically to determine its relationship to performance.</excerpt>"
140,2011,ProQuest Dissertations and Theses,Deriving pilots' knowledge structures for weather information: An evaluation of elicitation techniques,"Systems that support or require human interaction are generally easier to learn, use, and remember when their organization is consistent with the user's knowledge and experiences (Norman, 1983; Roske-Hofstrand & Paap, 1986). Thus, in order for interface designers to truly design for the user, they must first have a way of deriving a representation of what the user knows about the domain of interest. The current study evaluated three techniques for eliciting knowledge structures for how General Aviation pilots think about weather information. Weather was chosen because of its varying implications for pilots of different levels of experience. Two elicitation techniques (Relationship Judgment and Card Sort) asked pilots to explicitly consider the relationship between 15 weather-related information concepts. The third technique, Prime Recognition Task, used response times and priming to implicitly reflect the strength of relationship between concepts in semantic memory. Techniques were evaluated in terms of pilot performance, conceptual structure validity, and required resources for employment. Validity was assessed in terms of the extent to which each technique identified differences in organization of weather information among pilots of different experience levels. Multidimensional scaling was used to transform proximity data collected by each technique into conceptual structures representing the relationship between concepts.   Results indicated that Card Sort was the technique that most consistently tapped into knowledge structure affected by experience. Only conceptual structures based on Card Sort data were able to be used to both discriminate between pilots of different experience levels and accurately classify experienced pilots as “experienced”. Additionally, Card Sort was the most efficient and effective technique to employ in terms of preparation time, time on task, flexibility, and face validity. The Card Sort provided opportunities for deliberation, revision, and visual feedback that allowed the pilots to engage in a deeper level of processing at which experience may play a stronger role. Relationship Judgment and Prime Recognition Task characteristics (e.g., time pressure, independent judgments) may have motivated pilots to rely on a more shallow or text-based level of processing (i.e., general semantic meaning) that is less affected by experience. Implications for menu structure design and assessment are discussed.","Systems that support or require human interaction are generally easier to learn, use, and remember when their organization is consistent with the user's knowledge and experiences (Norman, 1983; Roske-Hofstrand & Paap, 1986). Thus, in order for interface designers to truly design for the user, they must first have a way of deriving a representation of what the user knows about the domain of interest. The current study evaluated three techniques for eliciting knowledge structures for how General Aviation pilots think about weather information.","<title>Deriving pilots' knowledge structures for weather information: An evaluation of elicitation techniques</title> <excerpt>Systems that support or require human interaction are generally easier to learn, use, and remember when their organization is consistent with the user's knowledge and experiences (Norman, 1983; Roske-Hofstrand & Paap, 1986). Thus, in order for interface designers to truly design for the user, they must first have a way of deriving a representation of what the user knows about the domain of interest. The current study evaluated three techniques for eliciting knowledge structures for how General Aviation pilots think about weather information.</excerpt>"
141,2009,PLoS One,Identifying Blood Biomarkers and Physiological Processes That Distinguish Humans with Superior Performance under Psychological Stress,"Background Attrition of students from aviation training is a serious financial and operational concern for the U.S. Navy. Each late stage navy aviator training failure costs the taxpayer over $1,000,000 and ultimately results in decreased operational readiness of the fleet. Currently, potential aviators are selected based on the Aviation Selection Test Battery (ASTB), which is a series of multiple-choice tests that evaluate basic and aviation-related knowledge and ability. However, the ASTB does not evaluate a person's response to stress. This is important because operating sophisticated aircraft demands exceptional performance and causes high psychological stress. Some people are more resistant to this type of stress, and consequently better able to cope with the demands of naval aviation, than others.Methodology/Principal Findings Although many psychological studies have examined psychological stress resistance none have taken advantage of the human genome sequence. Here we use high-throughput -omic biology methods and a novel statistical data normalization method to identify plasma proteins associated with human performance under psychological stress. We identified proteins involved in four basic physiological processes: innate immunity, cardiac function, coagulation and plasma lipid physiology.Conclusions/Significance The proteins identified here further elucidate the physiological response to psychological stress and suggest a hypothesis that stress-susceptible pilots may be more prone to shock. This work also provides potential biomarkers for screening humans for capability of superior performance under stress.","Background Attrition of students from aviation training is a serious financial and operational concern for the U.S. Navy. Each late stage navy aviator training failure costs the taxpayer over $1,000,000 and ultimately results in decreased operational readiness of the fleet.","<title>Identifying Blood Biomarkers and Physiological Processes That Distinguish Humans with Superior Performance under Psychological Stress</title> <excerpt>Background Attrition of students from aviation training is a serious financial and operational concern for the U.S. Navy. Each late stage navy aviator training failure costs the taxpayer over $1,000,000 and ultimately results in decreased operational readiness of the fleet.</excerpt>"
142,2016,ProQuest Dissertations and Theses,Supporting multitasking: Evaluation of novel input and output characteristics to support primary and secondary task performance using situation awareness and mental workload,"Driving and flying are examples of tasks in dynamic process control environments where performing secondary tasks poses risks to the user, potentially resulting in detrimental effects on situation awareness (SA) and mental workload (MWL). The predominant theories of multitasking emphasize the potential of using alternate information processing channels to better support multitasking, and hence prompt the exploration of novel interface characteristics that may reduce cognitive and structural interference. This dissertation uses measures of SA and MWL to evaluate the potential of input and output display characteristics found in novel technologies, such as Google Glass, Pebble Smartwatch, and Windows Surface, to support multitasking performance. Three experiments were performed to evaluate the following input and output characteristics: voice input (Experiments 1 and 3), head-up display (Experiment 1), size of display (Experiments 2 and 3), use of discrete tactile signals (Experiment 2), and use of continuously informing tactile signals (Experiment 3). Experiments 1 and 2 altered only interface characteristics associated with secondary task performance, while Experiment 1 also altered interface characteristics associated with primary task performance in the attempt to more effectively redistribute MWL.  While Experiments 1 (Texting and Driving with Google Glass) and 2 (Weather Technology Characteristics in General Aviation Cockpits) indicate the potential SA and MWL benefits of using voice input and larger displays for secondary tasks in multitasking settings, Experiment 3 (Supporting Emergency Vehicle Mobile Command Terminal Use While Driving) sheds light on the limitations of these benefits with increasing task complexity. Experiment 1 showed that combining a head-up display with voice input provided additional marginal SA and MWL benefits. Experiment 2 also suggested SA and MWL benefits when using discrete tactile signals to aid in indicating the need for secondary task attentional shifts. Experiment 3 furthered this exploration of tactile signaling by presenting continuously informing vibrations relating to the primary task, exhibiting both the potential benefits of providing continuous information and the potential drawbacks of overreliance on such displays. These findings have the potential to fundamentally change the way users interact with technology by informing the development of and policies surrounding new products using these features.","Driving and flying are examples of tasks in dynamic process control environments where performing secondary tasks poses risks to the user, potentially resulting in detrimental effects on situation awareness (SA) and mental workload (MWL). The predominant theories of multitasking emphasize the potential of using alternate information processing channels to better support multitasking, and hence prompt the exploration of novel interface characteristics that may reduce cognitive and structural interference. This dissertation uses measures of SA and MWL to evaluate the potential of input and output display characteristics found in novel technologies, such as Google Glass, Pebble Smartwatch, and Windows Surface, to support multitasking performance.","<title>Supporting multitasking: Evaluation of novel input and output characteristics to support primary and secondary task performance using situation awareness and mental workload</title> <excerpt>Driving and flying are examples of tasks in dynamic process control environments where performing secondary tasks poses risks to the user, potentially resulting in detrimental effects on situation awareness (SA) and mental workload (MWL). The predominant theories of multitasking emphasize the potential of using alternate information processing channels to better support multitasking, and hence prompt the exploration of novel interface characteristics that may reduce cognitive and structural interference. This dissertation uses measures of SA and MWL to evaluate the potential of input and output display characteristics found in novel technologies, such as Google Glass, Pebble Smartwatch, and Windows Surface, to support multitasking performance.</excerpt>"
