Topic,Count,Name,Representation,Representative_Docs
25,22,25_Pilot risk perception,['Pilot risk perception'],"['<title>Risk profiling of airline pilots: Experience, temperamental traits and aggression</title> <excerpt>It has been assumed that the greater the number of flying hours, the better the pilot is at solving problems. The studies suggest, however, that this issue is more complex.</excerpt>', '<title>Predicting honest behavior based on Eysenck personality traits and gender: an explainable machine learning study using SHAP analysis</title> <excerpt>Introduction: This study bridges a critical gap in aviation safety research by examining how Eysenck personality traits (Neuroticism, Psychoticism, Extraversion) and gender predict dishonest behavior in high-risk aviation contexts. While prior studies have focused on the Big Five and HEXACO models in ethical decision-making, empirical applications of the Eysenck framework to honesty prediction remain scarce-particularly in aviation, where dishonest acts (eg, underreporting safety incidents) carry severe public safety consequences.</excerpt>', '<title>The effect of psychological risk elements on pilot flight operational performance</title> <excerpt>This study aims to examine the relationship between psychological risk elements and flight operation performance for airline pilots. First, the concept of “risky pilots” is discussed, and the existence of “risky pilots” is verified using a percentage analysis of flight exceedance events.</excerpt>', '<title>Flying Solo: A Vignette-Based Examination of General Aviation Pilot Risk Perception and Decision-Making</title> <excerpt>The paper examines general aviation (GA) pilot risk perception and decision-making via an online vignette study. GA is a high-risk area of aviation with many GA accidents considered to be the result of pilot performance rather than mechanical failure.</excerpt>', '<title>Development and Validation of a General Aviation Risk Perception Scale</title> <excerpt>The aim of this study was to develop a psychometric tool for measuring pilot perceptions of risk, with a focus on risk in general aviation (GA) flying. Unlike other objective protocols that pilots adhere to (eg, checklists), assessing and responding to risk is a subjective task, making it challenging to evaluate.</excerpt>']"
26,20,26_Aircraft noise effects,['Aircraft noise effects'],"['<title>Affective reactions to and preference for combinations of interior aircraft sound and vibration</title> <excerpt>Affective reactions to the interior aircraft environment are a basic constituent of perceived ride quality. This study addresses affective reactions to combinations of interior aircraft sound and vibration.</excerpt>', '<title>Electroencephalographic and behavioral effects of nocturnally occurring jet aircraft sounds.</title>', '<title>Nocturnal aircraft noise effects</title> <excerpt>Noise protection associated with the construction and extension of airports in the Federal Republic of Germany has been regulated by the law for protection against aircraft noise since 1971. This legislation is due for revision because of different aspects.</excerpt>', '<title>Sensorial aspects of helicopter operations</title> <excerpt>As components of physical and psychic workload in the piloting of helicopters, and therefore as possible concurrent pathogenetic factors of operational fatigue in helicopter aircrews, the author examines and analyzes the effects of some sensorial phenomena related to the use of such rotor-powered aircraft. Particularly acoustic and non-acoustic vibrations associated with flying this type of vehicle are discussed as to their action not only on the auditory apparatus, but also on the function of other apparatuses of the central nervous system, with special reference to the effects exerted by vibratory motions on visual function.</excerpt>', '<title>In-cabin noise levels during commercial aircraft flights</title> <excerpt>Air transport is one of the most commonly used mode of transportation and hence passenger comfort is highly desirable. Aircraft interior noise is important, especially in long-term flights, concerning the health, comfort, and psychological wellness of both passengers and flight crew.</excerpt>']"
27,19,27_Landing flare analysis,['Landing flare analysis'],"['<title>Transfer and quasi-transfer effects of scene detail and visual augmentation in landing training</title> <excerpt>Beginning flight students were taught landings in a flight simulator with a visual landing display to examine the effects of scene detail, visual augmented guidance, and number of landing training trials. Some students were trained in a control condition with no visual display.</excerpt>', '<title>Landing Flare Accident Reports and Pilot Perception Analysis</title> <excerpt>This study examined flare accident rates and probable causes for improper flares. Measures included the analysis of 6,676 aircraft accident reports published by the National Transportation Safety Board and a 21-item perception questionnaire administered to 134 pilots with varying experience levels.</excerpt>', '<title>The effects of pictorial detail on the timing of the landing flare: Results of a visual simulation experiment</title> <excerpt>Artificial outside-world displays currently used in flight simulators may, in the future, also be applied to aircraft cockpits to enhance vision or to provide a completely synthetic replacement. In both cases, a very important question for designers of such displays is which elements of pictorial detail in the presented image are needed for satisfactory task or mission performance.</excerpt>', '<title>Optic flow and visual analysis of the base-to-final turn</title> <excerpt>In the spirit of other optic flow research, we address the problem of how a pilot turns an airplane into alignment with a runway, a maneuver that is one of the more challenging phases of visually controlled flight. In earlier work, Loomis and Beall (1992) proposed a rule for turning an aircraft into alignment: Turn the aircraft in such a way as to hold constant the rate of change of splay (the angle the projected runway makes with respect to the vertical).</excerpt>', '<title>Scene Content and Runway Breadth Effects on Simulated Landing Approaches</title> <excerpt>Eight experienced pilots flew landing approaches in a light-aircraft simulator with a computer-generated landing display. Scene content and runway breadth were manipulated.</excerpt>']"
28,18,28_Human error analysis,['Human error analysis'],"['<title>Formal Papers: Human Performance and Systems Safety Considerations in Aviation Mishaps</title> <excerpt>This article provides an overview of (a) accident generation, (b) the ensuing investigation process, and (c) the types of prevention measures that will be employed to ultimately decrease the probability of similar mishaps. The stages of the accident-generation process include ubiquitous hazards which lead to occasional incidents that in turn result in less frequent accidents.</excerpt>', '<title>Aircraft assembly snags: Human errors or lack of production design?</title> <excerpt>To err is an intrinsic human trait, which means that human errors, at some point, are inevitable. Business improvement tools and practices neglect to deal with the root causes of human error; hence, they ignore certain design considerations that could possibly prevent or minimise such errors from occurring.</excerpt>', ""<title>Human error in ATC system operations</title> <excerpt>Air traffic control (ATC) system errors rarely occur in today's system. ATC-related aircraft accidents are even rarer events.</excerpt>"", '<title>Human error on the flight deck.</title> <excerpt>Despite terrorist bombs and structural failures, human error on the flight deck continues to account for the majority of aircraft accidents. The Royal Air Force (RAF) Institute of Aviation Medicine (IAM) has investigated the psychology of such error since the early 1970s, and to this end has used two principal techniques.</excerpt>', '<title>Structured methods for identifying and correcting potential human errors in space operations</title> <excerpt>Human performance plays a significant role in the development and operation of any complex system, and human errors are significant contributors to degraded performance, incidents, and accidents for technologies as diverse as medical systems, commercial aircraft, offshore oil platforms, nuclear power plants, and space systems. To date, serious accidents attributed to human error have fortunately been rare in space operations.</excerpt>']"
29,17,29_Crew Resource Management Training,['Crew Resource Management Training'],"['<title>The evolution of crew resource management training in commercial aviation</title> <excerpt>In this study, we describe changes in the nature of Crew Resource Management (CRM) training in commercial aviation, including its shift from cockpit to crew resource management. Validation of the impact of CRM is discussed.</excerpt>', '<title>Aviation Computer Games for Crew Resource Management Training</title> <excerpt>Crew resource management (CRM) training programs have existed for more than a decade, yet methods for providing aircrews with opportunities to practice CRM skills have been limited to role plays in class and scenarios in operational flight trainers. There are drawbacks to both training methods; role plays have few, if any, realistic environmental cues to help crews behave as they do in the cockpit, and simulator scenarios are limited by the cost and availability of the simulators.</excerpt>', '<title>Introducing a subject matter expert-based utility analysis approach to assessing the utility of organizational interventions such as crew resource management training</title> <excerpt>Utility analysis is a series of statistical procedures used to quantify the fiscal gains accrued from implementing human resource management interventions (eg, training programs) over their associated costs. Although empirical evaluation studies are typically used to generate the required utility parameters, particular circumstances might make it difficult if not impossible to conduct such studies.</excerpt>', ""<title>Practitioner Paper: Should Flight Attendants Be Included in CRM Training? A Discussion of a Major Air Carrier's Approach to Total Crew Training</title> <excerpt>Cockpit resource management (CRM) training has made significant progress throughout the past 10 years. Nearly all domestic and foreign carriers, however, limit CRM training to flight-deck crews.</excerpt>"", '<title>Assessing the effectiveness of bridge resource management training</title> <excerpt>Bridge resource management (BRM) is the maritime equivalent of crew resource management (CRM), and has been used in the civilian maritime industry for over a decade. An evaluation of the effectiveness of the U.S.</excerpt>']"
30,17,30_Psychological aspects of space missions,['Psychological aspects of space missions'],"['<title>Wireless monitoring of changes in crew relations during long-duration mission simulation</title> <excerpt>Group structure and cohesion along with their changes over time play an important role in the success of missions where crew members spend prolonged periods of time under conditions of isolation and confinement. Therefore, an objective system for unobtrusive monitoring of crew cohesion and possible individual stress reactions is of high interest.</excerpt>', ""<title>Study of the psychological adaptation of the crew during a 135 days space simulation</title> <excerpt>The purpose of this study is to examine human adaptation of a three members' crew during a 135 days MIR flight simulation and to compare and validate psychological methods for monitoring and support in flight. The main findings showed that isolation was not a key factor for the subjects who were more concerned by recreational activities, family, and work.</excerpt>"", '<title>Content analysis of the crew communication with external communicants under prolonged isolation</title> <excerpt>Background: The communication between space crews and outside monitoring personnel in Mission Control gives us valuable information about crewmember psychological health. Studying the formal parameters of similar communication during ground-based space simulation missions helps us understand the psychological climate of confined groups over time, and this information can be applied to long-term space missions.</excerpt>', '<title>Conflict-handling mode scores of three crews before and after a 264-day spaceflight simulation</title> <excerpt>Introduction: In both the Russian and U.S. space programs, crew safety and mission success have at times been jeopardized by critical incidents related to psychological, behavioral, and interpersonal aspects of crew performance.</excerpt>', '<title>Human performance time model of spacecraft control panel operation in simulated microgravity</title> <excerpt>BACKGROUND: Human performance modeling plays an important role in the design and management of human spaceflight missions. Previous studies reported that manual control task time increased in microgravity conditions.</excerpt>']"
31,16,31_Pilots' cardiovascular stress,"[""Pilots' cardiovascular stress""]","['<title>Heart rate variability, cardiac mechanics, and subjectively evaluated stress during simulator flight</title>', '<title>Heart rate responses to real and simulated BA Hawk MK 51 flight</title> <excerpt>Background: The effects of psychological workload on inflight heart rate were studied in five experienced (flight instructors) and five less experienced (cadets) military pilots of the Finnish Air Force (FAF). Method: The subjects performed the same flight mission twice; first with the BA Hawk MK 51 simulator with minimal G-forces and after that with the BA Hawk MK 51 jet trainer with Gz-forces below +2.</excerpt>', '<title>Practice effects of a breathing technique on pilots’ cognitive and stress associated heart rate variability during flight operations</title> <excerpt>Commercial pilots endure multiple stressors in their daily and occupational lives which are detrimental to psychological well-being and cognitive functioning. The Quick coherence technique (QCT) is an effective intervention tool to improve stress resilience and psychophysiological balance based on a five-minute paced breathing exercise with heart rate variability (HRV) biofeedback.</excerpt>', '<title>Comparison of myocardial ischemia during intense mental stress using flight simulation in airline pilots with coronary artery disease to that produced with conventional mental and treadmill exercise stress testing</title> <excerpt>Mental stress increases cardiovascular morbidity and mortality. Although laboratory mental stress often causes less myocardial ischemia than exercise stress (ES), it is unclear whether mental stress is intrinsically different or differences are due to less hemodynamic stress with mental stress.</excerpt>', '<title>Comparison between artificial neural network and multilinear regression models in an evaluation of cognitive workload in a flight simulator</title> <excerpt>In this study, the performances of artificial neural network (ANN) analysis and multilinear regression (MLR) model-based estimation of heart rate were compared in an evaluation of individual cognitive workload. The data comprised electrocardiography (ECG) measurements and an evaluation of cognitive load that induces psychophysiological stress (PPS), collected from 14 interceptor fighter pilots during complex simulated F/A-18 Hornet air battles.</excerpt>']"
32,16,32_Air traffic control performance,['Air traffic control performance'],"['<title>Instructions and information processing in a complex task</title> <excerpt>Designed 2 experiments involving a decision task with a static display analog of a radar display similar to that used in air traffic control. 50 male undergraduates were required to detect potential collision situations in a sequence of independent displays.</excerpt>', '<title>Color versus numeric coding in a keeping-track task: Performance under varying load conditions</title> <excerpt>Investigated the effectiveness of a color vs a numeric code in a modified keeping-track task-air traffic control. Altitude state was the coded variable.</excerpt>', '<title>Effects of information load and instructions on performance in a complex task</title> <excerpt>Employed a decision task designed with a static display analogue of a radar display similar to that used in air traffic control. The analogue allowed formal information load to vary independently of numerosity.</excerpt>', '<title>Effects of high visual taskload on the behaviours involved in complex monitoring</title> <excerpt>A simulated air traffic control task was used to study the effects of prolonged monitoring on some of the behaviours (complex discriminations, interpretations, decisions, memory for actions taken) frequently associated with operational monitoring tasks, but seldom examined in laboratory vigilance studies. Forty-eight subjects performed the monitoring task under relatively high taskload conditions for 2h.</excerpt>', '<title>The Sustained Attention to Response Task (SART) does not promote mindlessness during vigilance performance</title> <excerpt>Objective: In this study, we evaluated the validity of the Sustained Attention to Response Task (SART) as a means for promoting mindlessness in vigilance performance.Background: Vigilance tasks typically require observers to respond to critical signals and to withhold responding to neutral events. The SART features the opposite response requirements, which supposedly leads it to promote a mindless, non-thoughtful approach to the vigilance task To test that notion, we compared the SART to the traditional vigilance format (TVF) in terms of diagnostic accuracy assessed through decision theory measures of positive and negative predictive power (PPP and NPP), perceived mental workload indexed by the Multiple Resource Questionnaire, and oculomotor activity reflected in the Nearest Neighbor Index and fixation dwell times.Method: Observers in TVF and SART conditions monitored a video display for collision flight paths in a simulated air traffic control task.Results: Diagnostic accuracy in terms of NPP was high in both format conditions.</excerpt>']"
33,16,33_Alcohol effects on pilots,['Alcohol effects on pilots'],"['<title>Professional Pilots’ Views of Alcohol Use in Aviation and the Effectiveness of Employee-Assistance Programs</title> <excerpt>Pilots holding the Airline Transport Pilot certificate were surveyed about the seriousness of the alcohol problem in various areas of aviation and about the importance of a number of possible reasons why a pilot might drink and fly. They also rated a number of actions in terms of their potential effectiveness for reducing inappropriate alcohol use, and they evaluated a number of characteristics of employee-assistance programs.</excerpt>', '<title>A longitudinal investigation of the relationships among alcohol consumption, psychosocial factors, and blood pressure</title> <excerpt>Although a number of studies have demonstrated a link between alcohol intake and blood pressure, virtually no research has examined this relationship or the relevance of psychosocial variables in this context over time. This study utilized data from 416 subjects in the Air Traffic Controller Health Change Study to track these associations across five examinations over a 3-year period.</excerpt>', ""<title>Pilot's attitudes toward alcohol use and flying</title> <excerpt>Questionnaires were sent to a national sample of licensed pilots. Respondents reported their flying experience and their drinking behavior.</excerpt>"", '<title>Effects of Low Blood Alcohol Levels On Pilots’ Prioritization of Tasks During a Radio Navigation Task</title> <excerpt>Eight pilots flew a specified cross-country route using radio navigation in a flight simulator with simulated air traffic control. Four of the pilots flew with a low blood alcohol level (BAL; mean BAL = 20.63 mg%).</excerpt>', '<title>Methodological Issues in Research on the Effects of Alcohol on Pilot Performance</title> <excerpt>The effects of low blood-alcohol levels on pilot performance have been found to be surprisingly inconsistent, given the variety of cognitive, attentional, and motor coordination processes involved in piloting tasks and the presumed susceptibility of these processes to alcohol. Discussed in this article are a number of methodological issues that are relevant to research in this area, including task and subject characteristics, compensation for alcohol effects, and experimental design procedure considerations.</excerpt>']"
34,15,34_Psychological capital in service industry,['Psychological capital in service industry'],"['<title>Relationships among service climate, psychological contract, work engagement and service performance</title> <excerpt>The paper identifies relationships between cabin service directors and flight attendants and service climate, psychological contracts, work engagement, service performance and cue perception ability. We find that relational psychological contracts have a positive influence on work engagement; transactional psychological contracts have a negative influence on work engagement; work engagement has a positive influence on service performance; work engagement mediates the relationship between relational psychological contracts and service performance; service climate has a positive influence on service performance; and cue perception ability moderates the relationship between work engagement and service performance.</excerpt>', ""<title>Positive psychological capital and emotional labor in Korea: the job demands-resources approach</title> <excerpt>This study examined the effect of organizational justice perception on service employees' positive psychological capital and the influence of positive psychological capital on surface and deep acting. Drawing on the job demands-resources (JD-R) model and the literature on positive work environment, the indirect effects of perceived distributive and procedural justice on surface and deep acting through service employees' psychological capital were hypothesized.</excerpt>"", '<title>Examining the moderating effects of service climate on psychological capital, work engagement, and service behavior among flight attendants</title> <excerpt>This study aims to validate the mediating process of “psychological capital-work engagement-service behavior”, and examines the moderated mediating effect of service climate. By questionnaire survey, this study investigated 375 flight attendants of China Airlines based in Taiwan, and validated the hypotheses through hierarchical regression analysis.</excerpt>', '<title>How positive psychological capital promotes service recovery performance through mental health and work engagement: Does service climate matter?</title> <excerpt>Purpose – This study aims to examine the contribution of positive psychological capital (PsyCap) to service recovery performance (SRP) through the mediating roles of mental health (MH) and work engagement (WE). Additionally, it considers the moderating role of service climate (SC).</excerpt>', '<title>Effects of Psychological Capital and Person-Job Fit on Hospitality Employees’ Work-Family Conflict, Family-Work Conflict and Job Performance: The Moderating Role of Marital Status</title> <excerpt>Drawing on the conservation of resources (COR) theory and congruence theory, this study aims to investigate the influence of psychological capital (PsyCap) and person-job fit (PJ fit) on work–family conflict (WFC), family–work conflict (FWC) and job performance (JP), especially the moderating effect of marital status on hypothesized relationships between two directions of conflicts in the work-family interface and JP. Utilizing a two-stage design, this study surveyed 312 flight attendants employed by two international airline companies in Malaysia and used the structural equation modeling technique to test the hypothesized relationships.</excerpt>']"
35,15,35_Spatial Disorientation Training,['Spatial Disorientation Training'],"['<title>Susceptibility to Flight Simulator-Induced Spatial Disorientation in Pilots and Non-Pilots</title> <excerpt>Objective: This study aimed to investigate whether pilots and non-pilots differ in their susceptibility to spatial disorientation (SD) during a flight in various disorienting scenarios, and in coping with SD. Background: Pilot selection is relevant in assessing pilots’ susceptibility to SD.</excerpt>', '<title>Flight Experience and Mental Representations of Space</title> <excerpt>Objective: This study investigated whether increased flight experience as a pilot was associated with improved small-scale spatial skills and the ability to form a cognitive map of a novel ground-based virtual environment. Background: Early-career civil aviation pilots have been shown to form more accurate cognitive maps of a novel virtual environment than nonpilots.</excerpt>', '<title>Quantifying the Impact of Spatial Disorientation on Pilot Mental Workload and Attentional Focus</title> <excerpt>Objective: We aimed to find objective measures of the impact of spatially disorienting (SD) stimuli on pilot cognition in an ecologically valid environment. Background: SD frequently occurs in military rotary-wing operations and often contributes to mishaps.</excerpt>', ""<title>Development and validation of spatial disorientation scenarios using virtual reality and motion simulator</title> <excerpt>Spatial Disorientation (SD) can cause critical aviation accidents by adversely affecting the pilot's ability to perform a flight mission. One of the strategies to improve pilots' ability to deal with SD is to perform SD training using Virtual Reality and Motion Simulator (VRMS) system.</excerpt>"", ""<title>Spatial disorientation: So-called vertigo</title> <excerpt>This report describes statistic investigation on pilots experiences, indicates occurences and influences upon pilot's control, and discusses possibility of preventation and alleviation by training of spatial disorientation, with the knowledge acquired through questionnaire survey, interview investigation, lives as pilot, and discussion with many other pilots about “vertigo”. The questionaires covered three areas of interest; frequency of occurrence, degree and duration of three directional disorientation, namely pitch, bank and yaw directional disorientation according to writers classification.</excerpt>""]"
36,15,36_Psychological factors in military training,['Psychological factors in military training'],"['<title>Comparison of mental health between aircrew and ground crew at ratio of 1:1 among 122 army airmen</title> <excerpt>Background: The training task for aircrew of army airmen is very heavy, the evaluation of flight personnel on psychological diathesis is performed to early discover and deal with corresponding questions. Objective: To compare the difference of mental health between aircrew and ground crew of army airmen and provide reference data for implementing corresponding norms.</excerpt>', ""<title>Influence of attitude and expectation on moods and symptoms during cold weather military training</title> <excerpt>The present study examined the influence of the following: 1) air temperature, 2) day into training, 3) self rating of life stress, 4) rating of relative warmth in cold weather, and 5) expectation for liking cold weather training, on 59 soldiers' self-reports of illness and mood during 3 days of training in the cold (-18° to 0°C range). Mood was assessed on six domains of the Profile of Mood States rating scale, and symptoms of illness were assessed on 5 domains of the Environmental Symptoms Questionnaire.</excerpt>"", '<title>Mood as a predictor of discharge from air force basic training</title> <excerpt>In order to determine the predictive validity of the Total Mood score, the Negative Mood Scale, and the Positive Mood Scale of the ST-Depression Adjective Check Lists (ST-DACL), the state version of lists C and D of the ST-DACL was administered on the second day of the Air Force basic training program to 229 newly enlisted Air Force recruits (men = 113; women = 116). Findings were that DACL total score yielded the best overall classification rate, the Positive Mood Scale was most related to predicting eventual discharge, and the Negative Mood Scale was best at predicting graduation..</excerpt>', '<title>Changes in psychological variables, use of medical services and presentation of medical problems following brief psychological intervention on an Israel Air Force base.</title>', '<title>Ejection in hostile environments: Medico-psychological aspects for the fighter pilot</title> <excerpt>Introduction: In the French Air Force, commitment of fighter squadrons in Afghanistan revives the fear among pilots of being ejected in a hostile environment, along with the prospect of being captured. Clinical Observations: Although ejection in a hostile environment is an exceptional event, it is what flight crews fear most strongly over enemy territory.</excerpt>']"
37,15,37_Aeromedical nursing responsibilities,['Aeromedical nursing responsibilities'],"[""<title>Discriminatory referrals: Uncovering a potential ethical dilemma facing practitioners</title> <excerpt>An ethical dilemma exists regarding client referral. Standards 2.01(b) (Boundaries of Competence) and 3.01 (Unfair Discrimination) of the American Psychological Association's Ethical Principles of Psychologists Code of Conduct provide psychologists with contradictory reasons to take possibly conflicting and incompatible courses of action when considering whether to refer a client.</excerpt>"", '<title>Nurses’ responsibilities in the aerospace environment; Atribuições do enfermeiro no ambiente aeroespacial; Atribuciones del enfermero en el medio ambiente aeroespacial</title> <excerpt>Objectives: to characterize the nurses who work in the aerospace environment and to identify their most frequent responsibilities during the pre-flight, flight, and post-flight periods. Methods: a quantitative, exploratory-descriptive research, conducted using a survey through Google forms®, from January to April of 2018, with 50 nurses from aerospace services in Brazil.</excerpt>', '<title>Experiences and perceptions of nurses and air ambulance service providers in carrying out aeromedical evacuations in Indonesia: A qualitative research</title> <excerpt>Background: Basic non-military flight nurse training is essential for enhancing nurses’ competency in conducting aeromedical evacuations. Trained nurses possessing flight nurse proficiency are indispensable for ensuring stable patient conditions amidst the unique physical, physiological, and psychological challenges encountered during flights.</excerpt>', ""<title>Personal experience of aeromedical evacuation of patients in the Balkans.</title> <excerpt>Nurses in the Princess Mary's Royal Air Force Nursing Service (PMRAFNS) undertake a variety of different roles in providing nursing care to Armed Forces personnel wherever they may serve. One such role is the evacuation by air of sick or injured personnel.</excerpt>"", '<title>Care in the air: Bringing the wounded closer to home</title> <excerpt>Aeromedical evacuation (AE) is a system within the Air Force to provide patient care in the air during transport between levels of care. The system predominantly uses guard and reserve flight crew members who are arranged into rotations.</excerpt>']"
38,14,38_Cognitive effects of altitude,['Cognitive effects of altitude'],"['<title>Cognitive performance deficits in a simulated climb of Mount Everest: Operation Everest II</title> <excerpt>Cognitive function as stimulated altitude was investigated in a repeated-measures, within-subject study of performance by seven volunteers in a hypobaric chamber, in which atmospheric pressure was systematically lowered over a period of 40 d to finally reach a pressure equivalent to 8,845 m, the approximate height of Mount Everest. The portable cognitive test battery used, Automated Performance Test System (APTS), was specifically designed for field research under adverse environmental conditions as evidenced by compact computer design; automated test administrations, data storage, and retrieval; psychometric properties of stability and reliability; and factorial richness.</excerpt>', '<title>Effects of dexamethasone and high terrestrial altitude on cognitive performance and affect</title> <excerpt>This study examined the effects of dexamethasone and exposure to high terrestrial altitude on cognitive performance, affect, and personality. Cognitive performance was evaluated by five cognitive tasks, affect was evaluated by the Clyde Mood Scale and the Multiple Affect Adjective Check List, and personality was examined using the Minnesota Multiphasic Personality Inventory.</excerpt>', '<title>Cognitive changes at high altitude in healthy climbers and in climbers developing acute mountain sickness</title> <excerpt>We report the cognitive functions of 17 non-acclimatized mountaineers who ascended from low lands to an altitude of 4,559 m in 24 h and were studied there within 6 h. We found that this rapid ascent to high altitude had small, but differential effects upon cognitive performance depending upon the later development of acute mountain sickness (AMS).</excerpt>', '<title>The effect of moderate levels of simulated altitude on sustained cognitive performance</title> <excerpt>Previous work has documented cognitive deficits at high altitudes (15,000-25,000 ft), but there is controversy for lower altitudes. This study looked at the effects of moderate altitudes - 12,500 ft and 15,000 ft - on short-term memory in comparison to 2,000 ft.</excerpt>', '<title>Cognition at altitude: Impairment in executive and memory processes under hypoxic conditions</title> <excerpt>Background : The negative effect of hypoxia on cognitive function has been well described. However, less has been published regarding cognitive dysfunction resulting from hypoxia produced by exposure to different altitudes.</excerpt>']"
39,14,39_Astronaut selection criteria,['Astronaut selection criteria'],"['<title>Psychological predictors of astronaut effectiveness</title> <excerpt>Are the personality characteristics of astronauts related to their professional effectiveness? In order to answer this question, effectiveness and personality data were collected from 65 NASA astronauts. Several findings emerged from these data.</excerpt>', '<title>The recruitment and organizational integration of space personnel</title> <excerpt>This paper describes the philosophy of selection of astronaut scientists. It deals mainly with psychological selection criteria oriented at the job demands.</excerpt>', ""<title>Predicting astronaut effectiveness: A multivariate approach</title> <excerpt>In this study, measures of astronaut effectiveness were administered to volunteers from the astronaut corps in order to validate psychological 'select-in' criteria for long-duration space missions. Using a peer nomination format, astronauts rated their peers with whom they had either flown or trained.</excerpt>"", ""<title>Psychological evaluation of European astronaut applications: Results of the 1991 selection campaign</title> <excerpt>In the summer of 1991, the European Space Agency (ESA) performed its second selection campaign since 1977 in order to find 10 astronaut candidates (laboratory specialists and space plane specialists). An integral part of this selection process was the psychological evaluation, according to the principles laid down in the study report 'Definition of Psychological Testing of Astronaut Candidates.' After national preselection, 59 applicants underwent the psychological evaluation, which consisted of the assessment of operational aptitudes (basic cognitive and psychomotor functions) and personality traits (motivation, social capability, stress resistance).</excerpt>"", ""<title>Psychiatric diagnoses in a group of astronaut applicants</title> <excerpt>Between 1959 and 1987, the psychiatric evaluation of astronaut candidates evolved from a 30-h intensive examination evaluating applicants for psychopathology, and studying their performance under stress, to a 2-h clinical interview whose structure and contents were determined by the individual examiner. Evaluations done during these years applied both psychiatric (or, ''select-out'') criteria and psychological (or, ''select-in'') criteria.</excerpt>""]"
40,14,40_Stress management in pilots,['Stress management in pilots'],"[""<title>Aircrew perceived stress: Examining crew performance, crew position and captains personality</title> <excerpt>This study was conducted at NASA Ames Research Center as a part of a larger research project assessing the impact of captain's personality on crew performance and perceived stress in 24 air transport crews (5). Three different personality types for captains were classified based on a previous cluster analysis (3).</excerpt>"", ""<title>Subjective stress assessment: a new, simple method to determine pilot workload</title> <excerpt>Charged with the preparation of an expert opinion concerning psychophysical workload on pilots, the Aviation Psychology Branch of the GAF/IAM studied the 'Subjective Stress Assessment' in which 217 Army, Air Force and Navy pilots filled in a standardized questionnaire. This questionnaire included 170 items to force the pilots into rating their on- and off-duty life; the answers of these people (117 jet, 41 multiple-prop, 14 single-engine, and 45 helicopter pilots) were evaluated quantitatively and qualitatively It may be said - with all reservations towards subjectivity of pilots' opinions - that the pilots' image certainly requires some corrections, in particular as it relates to the ideal and material assessment of the activities of the separate groups of jet, helicopter, and prop pilots.</excerpt>"", '<title>An empirical assessment of stress-coping styles in military pilots</title> <excerpt>Although aircraft pilots generally regarded as having superior stress-coping skills, there has been relatively little empirical research on how pilots cope with stress. New stress-coping models and measures for understanding and assessing these previously elusive processes greatly facilitate the empirical study of stress-coping styles.</excerpt>', '<title>Impairment of flying efficiency in anancastic pilots</title> <excerpt>Previous work on the effects of stress upon flying efficiency has shown two types of psychological stress to exist; these are usually referred to as cognitive and affective stress, respectively. A refinement in affective stress analysis has enabled two subtypes of stress to be demonstrated: one is characterized by activity of the sympathetic nervous system (SNS) and subjective feelings of rage, fear, anxiety, or frustration; the other by excessive rumination.</excerpt>', '<title>Effects of domestic stress upon flying proficiency</title> <excerpt>A single case psychometric study of an airline pilot is presented in the context of previous nomothetic group studies of flying personnel. The evaluation continued over an 18 mth period, and consisted of psychological testing, laboratory investigations of physiological responses to imposed stress, and inflight assessment of psychophysiological functioning.</excerpt>']"
41,14,41_Urban Air Mobility,['Urban Air Mobility'],"['<title>Personality Traits That Distinguish Special Operations Female Aircrew</title> <excerpt>INTRODUCTION: U.S. Air Force Special Operations Command (AFSOC) female aircrew represent a small group of military personnel in challenging high-risk, high-demand professions.</excerpt>', '<title>Technology Adoption and Acceptance of Urban Air Mobility Systems: Identifying Public Perceptions and Integration Factors</title> <excerpt>Objective: This study aims to identify expectations and perceptions of Passenger Air Vehicles (PAVs). Specifically, (1) what are the initial perceptions of PAVs by the public, and (2) what are the differences between early and laggard adopters of PAVs.</excerpt>', ""<title>Female United States air force pilot personality: The new right stuff</title> <excerpt>With increasing numbers of female military pilots, it is important to understand the psychological and psychiatric gender differences of pilots. Using the 'big five' personality structure (neuroticism, extraversion, openness to new experiences, agreeableness, and conscientiousness), female United States Air Force pilots were compared with both male Air Force pilots and to a female comparison group.</excerpt>"", ""<title>Female United States Air Force (USAF) pilots: Themes, challenges, and possible solutions</title> <excerpt>Background: Identification of stresses of mixed-gender squadrons, attention to the psychological concerns of pilots in combat, and recognition of the difficulties of balancing a career and family are important in today's United States Air Force (USAF). What qualities are desirable in male and female pilots in combat situations, how do men and women view their career and family goals, and how do men and women work together in day-to-day squadron activities versus deployment and combat situations? Methods: A semi- structured clinical interview sought information about personal/family health, squadron relationships, and career/deployment stresses.</excerpt>"", '<title>Cars are Ready to Fly: Urban Air Mobility and Psychological Process of Sustainable Travel Mode Choices</title> <excerpt>Objective: This study is designed to predict individuals’ pro-social behavior in their choice of travel modes. Specifically, the consumer adoption process and the norm activation model are incorporated as the overarching theoretical model in consideration of the relative advantages of urban air mobility.</excerpt>']"
