year,country,title,doc,topic
2025,"Korea, Republic of",FLDQN: Cooperative Multi-Agent Federated Reinforcement Learning for Solving Travel Time Minimization Problems in Dynamic Environments Using SUMO Simulation,<title>FLDQN: Cooperative Multi-Agent Federated Reinforcement Learning for Solving Travel Time Minimization Problems in Dynamic Environments Using SUMO Simulation</title>,-1
2025,Australia - Turkey,Aircraft Maintenance Technician Perceptions and Evaluations about the Safety Culture and Responsibility Related Competencies,<title>Aircraft Maintenance Technician Perceptions and Evaluations about the Safety Culture and Responsibility Related Competencies</title>,87
2025,China,Perception and performance: Evaluating driver behavior on horizontal curves at day and night based on optical flow model analysis,<title>Perception and performance: Evaluating driver behavior on horizontal curves at day and night based on optical flow model analysis</title>,107
2025,Hong Kong,"Gaze behaviours, situation awareness and cognitive workload of air traffic controllers in radar screen monitoring tasks with varying task complexity","<title>Gaze behaviours, situation awareness and cognitive workload of air traffic controllers in radar screen monitoring tasks with varying task complexity</title>",178
2025,"Korea, Republic of",Impact of the Burnout Symptoms of Flight Attendants on Absenteeism and Turnover Intention: The Moderating Role of Emotional Intelligence,<title>Impact of the Burnout Symptoms of Flight Attendants on Absenteeism and Turnover Intention: The Moderating Role of Emotional Intelligence</title>,60
2025,,The Feeling of Fatigue Scale for Brazilian Fighter Pilots,<title>The Feeling of Fatigue Scale for Brazilian Fighter Pilots</title>,-1
2025,,Cognitive and Emotional Impacts of Face Pareidolia Application Among Pilot Students,<title>Cognitive and Emotional Impacts of Face Pareidolia Application Among Pilot Students</title>,-1
2025,Thailand,The impact mechanism of competency and professional identity on career success: evidence from cabin crew of Chinese Xiamen Airlines,<title>The impact mechanism of competency and professional identity on career success: evidence from cabin crew of Chinese Xiamen Airlines</title>,-1
2025,Sweden,Is it safe to be safe? Examining underreporting and presenteeism among European pilots: The role of employment type,<title>Is it safe to be safe? Examining underreporting and presenteeism among European pilots: The role of employment type</title>,92
2025,China,Supporting driver performance in closely spaced tunnel-interchange structure: Traffic control devices and effects on driving behavior,<title>Supporting driver performance in closely spaced tunnel-interchange structure: Traffic control devices and effects on driving behavior</title>,107
2025,United Kingdom,"Examining flight time, cognitive reflection, workload, stress and metacognition on decision making performance for pilots during flight simulation","<title>Examining flight time, cognitive reflection, workload, stress and metacognition on decision making performance for pilots during flight simulation</title>",7
2025,Brazil,Variations in mood states among Brazilian air force pilots: a crossover analysis between operational and aerobatic flight missions,<title>Variations in mood states among Brazilian air force pilots: a crossover analysis between operational and aerobatic flight missions</title>,-1
2025,China,Emotion Transition Recognition Using Multimodal Physiological Signal Fusion,<title>Emotion Transition Recognition Using Multimodal Physiological Signal Fusion</title>,24
2025,Canada - United States,"""You're a trainee telling your consultant to hold their question until later"": Using a resident-led faculty development workshop to explore trainee-consultant expertise role-reversal","<title>""You're a trainee telling your consultant to hold their question until later"": Using a resident-led faculty development workshop to explore trainee-consultant expertise role-reversal</title>",46
2025,Viet Nam,How positive psychological capital promotes service recovery performance through mental health and work engagement: Does service climate matter?,<title>How positive psychological capital promotes service recovery performance through mental health and work engagement: Does service climate matter?</title>,3
2025,India,"Failure to switch tasks due to cognitive lockup in airline pilots: a review of mechanisms, influences and mitigation strategies","<title>Failure to switch tasks due to cognitive lockup in airline pilots: a review of mechanisms, influences and mitigation strategies</title>",132
2025,China,"Job satisfaction, burnout, and safety behavior in air traffic controllers: a mediation analysis and decision tree insights","<title>Job satisfaction, burnout, and safety behavior in air traffic controllers: a mediation analysis and decision tree insights</title>",129
2025,Netherlands - United Kingdom - United States,Recommended Practices Related to Data Collection in Aviation Peer Support Programs,<title>Recommended Practices Related to Data Collection in Aviation Peer Support Programs</title>,110
2025,Russian Federation,PSYCHOPHYSIOLOGICAL TRAINING OF PILOTS FOR CASES OF EMERGENCY COCKPIT DECOMPRESSION; ПСИХОФИЗИОЛОГИЧЕСКАЯ ПОДГОТОВКА ЛЕТЧИКОВ К ДЕЯТЕЛЬНОСТИ В УСЛОВИЯХ АВАРИЙНОЙ РАЗГЕРМЕТИЗАЦИИ КАБИНЫ САМОЛЕТА,<title>PSYCHOPHYSIOLOGICAL TRAINING OF PILOTS FOR CASES OF EMERGENCY COCKPIT DECOMPRESSION; ПСИХОФИЗИОЛОГИЧЕСКАЯ ПОДГОТОВКА ЛЕТЧИКОВ К ДЕЯТЕЛЬНОСТИ В УСЛОВИЯХ АВАРИЙНОЙ РАЗГЕРМЕТИЗАЦИИ КАБИНЫ САМОЛЕТА</title>,35
2025,China,Pilot Performance on Original and Modified Attitude Indicators with and without Acute Stress,<title>Pilot Performance on Original and Modified Attitude Indicators with and without Acute Stress</title>,82
2025,New Zealand,Appropriate Screening Tests to Assess Post-COVID-19 Cognitive Dysfunction in Aeromedical Settings,<title>Appropriate Screening Tests to Assess Post-COVID-19 Cognitive Dysfunction in Aeromedical Settings</title>,-1
2025,China,Cognitive Response Efficiency Under Varying Audiovisual Display Modalities of Flight Deck Warnings,<title>Cognitive Response Efficiency Under Varying Audiovisual Display Modalities of Flight Deck Warnings</title>,89
2025,United States,"The Most Common Disqualifying Medical Conditions in Army Aviators, 2016–2020","<title>The Most Common Disqualifying Medical Conditions in Army Aviators, 2016–2020</title>",0
2025,China,Pilot Performance in Instrument-Based Tasks Under Acute Stress,<title>Pilot Performance in Instrument-Based Tasks Under Acute Stress</title>,82
2025,India,Relationship between psychological contract and organisational commitment: an empirical investigation on airline cabin crew,<title>Relationship between psychological contract and organisational commitment: an empirical investigation on airline cabin crew</title>,3
2025,Italy,Gemelli’s legacy in the knowledge of spatial orientation in flight,<title>Gemelli’s legacy in the knowledge of spatial orientation in flight</title>,55
2025,France,Mental health of airline pilots in France: insights from an anonymous online survey,<title>Mental health of airline pilots in France: insights from an anonymous online survey</title>,160
2025,"Iran, Islamic Republic of",Drivers’ perception and awareness of delay at traffic signals with countdown timers,<title>Drivers’ perception and awareness of delay at traffic signals with countdown timers</title>,107
2025,Poland,IMPACT OF THE COVID-19 PANDEMIC ON LIFESTYLE HABITS AND BODY WEIGHT OF MILITARY FLYING PERSONNEL OF THE POLISH ARMED FORCES,<title>IMPACT OF THE COVID-19 PANDEMIC ON LIFESTYLE HABITS AND BODY WEIGHT OF MILITARY FLYING PERSONNEL OF THE POLISH ARMED FORCES</title>,68
2025,Germany,User acceptance of autonomous combined transport systems in Germany: a cross-conceptual view,<title>User acceptance of autonomous combined transport systems in Germany: a cross-conceptual view</title>,174
2025,"Korea, Republic of",Dynamic Multi-Biosignal Fusion for Detecting the Mental States of Drivers and Passengers in Vehicles,<title>Dynamic Multi-Biosignal Fusion for Detecting the Mental States of Drivers and Passengers in Vehicles</title>,24
2025,China,Predicting honest behavior based on Eysenck personality traits and gender: an explainable machine learning study using SHAP analysis,<title>Predicting honest behavior based on Eysenck personality traits and gender: an explainable machine learning study using SHAP analysis</title>,167
2025,Turkey,"The effect of the uniforms and attitudes of the flight attendants on passenger repurchase intention, and the mediating role of brand imagery and brand perception","<title>The effect of the uniforms and attitudes of the flight attendants on passenger repurchase intention, and the mediating role of brand imagery and brand perception</title>",3
2025,Turkey,The Role of Cognitive Flexibility and Psychological Resilience in Enhancing Operational Performance Among Air Traffic Controllers,<title>The Role of Cognitive Flexibility and Psychological Resilience in Enhancing Operational Performance Among Air Traffic Controllers</title>,90
2025,China - Malaysia,Extension of mindful safety practices through safety knowledge and safety motivation: a study of the aviation industry,<title>Extension of mindful safety practices through safety knowledge and safety motivation: a study of the aviation industry</title>,16
2024,Indonesia,"Subjective Symptoms In Hipoxia of Military Aircraft Aircrews, Relationship With Age And Oxygen Saturation: A Cross-Sectional Study","<title>Subjective Symptoms In Hipoxia of Military Aircraft Aircrews, Relationship With Age And Oxygen Saturation: A Cross-Sectional Study</title>",84
2024,Finland,Cardiac autonomic responses in relation to cognitive workload during simulated military flight,<title>Cardiac autonomic responses in relation to cognitive workload during simulated military flight</title>,126
2024,New Zealand - United Kingdom,What I don’t know can hurt you: Collateral combat damage seems more acceptable when bystander victims are unidentified,<title>What I don’t know can hurt you: Collateral combat damage seems more acceptable when bystander victims are unidentified</title>,91
2024,Israel,Cognitive performance of air personnel following sleep deprivation,<title>Cognitive performance of air personnel following sleep deprivation</title>,9
2024,United States,The Role of State and Trait Self-Control on the Sustained Attention to Response Task,<title>The Role of State and Trait Self-Control on the Sustained Attention to Response Task</title>,-1
2024,United States,Performance Optimization and Injury Mitigation for Air Force Student Fighter Pilots,<title>Performance Optimization and Injury Mitigation for Air Force Student Fighter Pilots</title>,-1
2024,China,Research on the influence of bad working state on air traffic control effect based on multi-independent sample Kruskal-Wallis test,<title>Research on the influence of bad working state on air traffic control effect based on multi-independent sample Kruskal-Wallis test</title>,-1
2024,"Korea, Republic of",Effects of Post-COVID-19 Syndrome on Quality of Life Among Airline Crew,<title>Effects of Post-COVID-19 Syndrome on Quality of Life Among Airline Crew</title>,68
2024,China - Japan - Sweden,Dietary Rhythmicity and Mental Health Among Airline Personnel,<title>Dietary Rhythmicity and Mental Health Among Airline Personnel</title>,124
2024,Austria,A Novel Approach Using Non-Experts and Transformation Models to Predict the Performance of Experts in A/B Tests,<title>A Novel Approach Using Non-Experts and Transformation Models to Predict the Performance of Experts in A/B Tests</title>,-1
2024,United States,Quantitative analyses and empirical tests of perceptual theories of the Black Hole Illusion,<title>Quantitative analyses and empirical tests of perceptual theories of the Black Hole Illusion</title>,123
2024,Poland,The role of visual conditions and aircraft type on different aspects of pilot workload,<title>The role of visual conditions and aircraft type on different aspects of pilot workload</title>,-1
2024,Sweden,Factors associated with approaching Pilot Peer Support: a cross-sectional study,<title>Factors associated with approaching Pilot Peer Support: a cross-sectional study</title>,168
2024,Brazil,Metabolic flexibility associated with flight time among combat pilots of the Brazilian air force,<title>Metabolic flexibility associated with flight time among combat pilots of the Brazilian air force</title>,-1
2024,Indonesia,A Quasi-Experimental One Group Pre-Post Test Design in Air Traffic Controller in Indonesia: Progressive Muscle Relaxation,<title>A Quasi-Experimental One Group Pre-Post Test Design in Air Traffic Controller in Indonesia: Progressive Muscle Relaxation</title>,-1
2024,United States,Senior Aviator Medical Qualification Status,<title>Senior Aviator Medical Qualification Status</title>,11
2024,China,Exploring the relationship between trait mindfulness and psychological adaptation from a network perspective: is there any difference between pilots and other non-pilot civil aviation employees?,<title>Exploring the relationship between trait mindfulness and psychological adaptation from a network perspective: is there any difference between pilots and other non-pilot civil aviation employees?</title>,16
2024,Thailand,Investigating aviation safety factors and proposed conceptual model for safety behaviors among Thai flight crews: A qualitative approach,<title>Investigating aviation safety factors and proposed conceptual model for safety behaviors among Thai flight crews: A qualitative approach</title>,-1
2024,Argentina - Austria - Canada - Ecuador - Peru - United States,SY-MIS Project: Biomedical Design of Endo-Robotic and Laparoscopic Training System for Surgery on the Earth and Space,<title>SY-MIS Project: Biomedical Design of Endo-Robotic and Laparoscopic Training System for Surgery on the Earth and Space</title>,17
2024,China,The influence of representational gravity on spatial orientation: an eye movement study,<title>The influence of representational gravity on spatial orientation: an eye movement study</title>,-1
2024,Indonesia,Experiences and perceptions of nurses and air ambulance service providers in carrying out aeromedical evacuations in Indonesia: A qualitative research,<title>Experiences and perceptions of nurses and air ambulance service providers in carrying out aeromedical evacuations in Indonesia: A qualitative research</title>,166
2024,Greece - United Kingdom,"A comparative analysis of job satisfaction among military and airline pilots: During, and post COVID-19","<title>A comparative analysis of job satisfaction among military and airline pilots: During, and post COVID-19</title>",68
2024,"Korea, Republic of",A study on the effect of job stress factors on mental health and service sabotage: Focusing on flight attendants in foreign airlines,<title>A study on the effect of job stress factors on mental health and service sabotage: Focusing on flight attendants in foreign airlines</title>,-1
2024,Spain,EEG Dataset Collection for Mental Workload Predictions in Flight-Deck Environment,<title>EEG Dataset Collection for Mental Workload Predictions in Flight-Deck Environment</title>,24
2024,United States,Exploring the intellectual insights in aviation safety research: A systematic literature and bibliometric review,<title>Exploring the intellectual insights in aviation safety research: A systematic literature and bibliometric review</title>,43
2024,Greece,The effects of increased mental workload of air traffic controllers on time perception: Behavioral and physiological evidence,<title>The effects of increased mental workload of air traffic controllers on time perception: Behavioral and physiological evidence</title>,94
2024,Serbia,Occupational risk factors for sleep quality among Serbian airline pilots,<title>Occupational risk factors for sleep quality among Serbian airline pilots</title>,-1
2024,Indonesia,Flight Hours and Depression in Flight Attendants During the COVID-19 Pandemic,<title>Flight Hours and Depression in Flight Attendants During the COVID-19 Pandemic</title>,68
2024,Australia,Underreporting of Depression in Australian Commercial Pilots,<title>Underreporting of Depression in Australian Commercial Pilots</title>,179
2024,China - Pakistan,The effects of psychological safety and employee voice behavior on flight attendants’ mindful safety practices adoption,<title>The effects of psychological safety and employee voice behavior on flight attendants’ mindful safety practices adoption</title>,3
2024,United Kingdom,Air rage from the sharp end: cabin crew perspectives on disruptive passenger behaviour in Europe and its impact on occupational safety and well-being,<title>Air rage from the sharp end: cabin crew perspectives on disruptive passenger behaviour in Europe and its impact on occupational safety and well-being</title>,111
2024,Austria - Germany - Italy - Netherlands - United Kingdom,Lessons for Flying Astronauts with Disabilities Drawn from Experience in Aviation,<title>Lessons for Flying Astronauts with Disabilities Drawn from Experience in Aviation</title>,112
2024,Japan,Upregulation of Amy1 in the salivary glands of mice exposed to a lunar gravity environment using the multiple artificial gravity research system,<title>Upregulation of Amy1 in the salivary glands of mice exposed to a lunar gravity environment using the multiple artificial gravity research system</title>,-1
2024,"Korea, Republic of",Impact of Psychological Capital on Organizational Commitment and Turnover Intention: Evidence from Korean Flight Attendants,<title>Impact of Psychological Capital on Organizational Commitment and Turnover Intention: Evidence from Korean Flight Attendants</title>,3
2024,United Kingdom,Practice effects of a breathing technique on pilots’ cognitive and stress associated heart rate variability during flight operations,<title>Practice effects of a breathing technique on pilots’ cognitive and stress associated heart rate variability during flight operations</title>,39
2024,India,Air India pee gate case – need for comprehensive SOPs in customer management,<title>Air India pee gate case – need for comprehensive SOPs in customer management</title>,144
2024,China - Japan,Challenges and support needs in psychological and physical health among pilots: a qualitative study,<title>Challenges and support needs in psychological and physical health among pilots: a qualitative study</title>,19
2024,"Iran, Islamic Republic of",The Impact of Psychological Capital and Organizational Justice on Flight attendants’ Performance: The Mediating Role of Mental Health,<title>The Impact of Psychological Capital and Organizational Justice on Flight attendants’ Performance: The Mediating Role of Mental Health</title>,3
2024,"Taiwan, Province of China - United Kingdom",What can we learn from severity index on flight data monitoring? Analysis of safety resilience in flight operations during COVID-19 disruptions,<title>What can we learn from severity index on flight data monitoring? Analysis of safety resilience in flight operations during COVID-19 disruptions</title>,68
2024,Australia - China - Hong Kong - Macao,The Association of Sleep Duration and Sleep Quality With Depression and Anxiety Among Chinese Commercial Pilots,<title>The Association of Sleep Duration and Sleep Quality With Depression and Anxiety Among Chinese Commercial Pilots</title>,137
2023,Italy,Assessing Space Tourism Propensity: A New Questionnaire for Future Space Tourists,<title>Assessing Space Tourism Propensity: A New Questionnaire for Future Space Tourists</title>,-1
2023,United States,Using machine learning methods and EEG to discriminate aircraft pilot cognitive workload during flight,<title>Using machine learning methods and EEG to discriminate aircraft pilot cognitive workload during flight</title>,24
2023,China,Analysis on coupling dynamic effect of human errors in aviation safety,<title>Analysis on coupling dynamic effect of human errors in aviation safety</title>,25
2023,Germany,"The ""Digital Other"": Self-Objectification and Narration in Contemporary Fiction","<title>The ""Digital Other"": Self-Objectification and Narration in Contemporary Fiction</title>",5
2023,Indonesia,Identification of Psychological Conditions and Feelings of Fatigue Among Employees at Makassar Air Traffic Service Center,<title>Identification of Psychological Conditions and Feelings of Fatigue Among Employees at Makassar Air Traffic Service Center</title>,138
2023,Spain,CRM: Development of Pending Critical Aspects; CRM: Desarrollo de Aspectos Críticos Pendientes,<title>CRM: Development of Pending Critical Aspects; CRM: Desarrollo de Aspectos Críticos Pendientes</title>,20
2023,Canada - United Kingdom - United States,Crew Autonomy During Simulated Medical Event Management on Long Duration Space Exploration Missions,<title>Crew Autonomy During Simulated Medical Event Management on Long Duration Space Exploration Missions</title>,30
2023,Australia,Simulation of aircraft multi-axis acceleration in a four-axis Human Centrifuge System,<title>Simulation of aircraft multi-axis acceleration in a four-axis Human Centrifuge System</title>,4
2023,China,Effects of age and flight exposure on flight safety performance: Evidence from a large cross-sectional pilot sample,<title>Effects of age and flight exposure on flight safety performance: Evidence from a large cross-sectional pilot sample</title>,5
2023,United States,Examining the Future of Automation in Commercialized Flight and its Impact on Airline Pilots,<title>Examining the Future of Automation in Commercialized Flight and its Impact on Airline Pilots</title>,-1
2023,United States,Air traffic controller workload level prediction using conformalized dynamical graph learning,<title>Air traffic controller workload level prediction using conformalized dynamical graph learning</title>,14
2023,China,Bifurcation Analysis of Improved Traffic Flow Model on Curved Road,<title>Bifurcation Analysis of Improved Traffic Flow Model on Curved Road</title>,29
2023,China,Comparing Response Behaviors to System-Limit and System-Malfunction Failures with Four Levels of Operational Proficiency,<title>Comparing Response Behaviors to System-Limit and System-Malfunction Failures with Four Levels of Operational Proficiency</title>,162
2023,,Neurogenic Shock: A Case Report,<title>Neurogenic Shock: A Case Report</title>,-1
2023,Thailand,Effects of trust in organizations and trait mindfulness on optimism and perceived stress of flight attendants during the COVID-19 pandemic,<title>Effects of trust in organizations and trait mindfulness on optimism and perceived stress of flight attendants during the COVID-19 pandemic</title>,203
2023,China,More experience might not bring more safety: Negative moderating effect of pilots’ flight experience on their safety performance,<title>More experience might not bring more safety: Negative moderating effect of pilots’ flight experience on their safety performance</title>,15
2023,Australia - New Zealand,A Contactless App-Based Intervention to Improve Health Behaviors in Airline Pilots: A Randomized Trial,<title>A Contactless App-Based Intervention to Improve Health Behaviors in Airline Pilots: A Randomized Trial</title>,-1
2023,Spain,MAJOR AIR DISASTERS: ACCIDENT INVESTIGATION AS A TOOL FOR DEFINING ERAS IN COMMERCIAL AVIATION SAFETY CULTURE,<title>MAJOR AIR DISASTERS: ACCIDENT INVESTIGATION AS A TOOL FOR DEFINING ERAS IN COMMERCIAL AVIATION SAFETY CULTURE</title>,63
2023,Italy,SYNBIO® Probiotic and Antioxidant Dietary Supplementation: Clinical Trial Evaluation of Potential Effects on Airline Flight Crew Members’ Well-Being,<title>SYNBIO® Probiotic and Antioxidant Dietary Supplementation: Clinical Trial Evaluation of Potential Effects on Airline Flight Crew Members’ Well-Being</title>,2
2023,China,Can family-work conflict influence safety behavior in airline pilots? The mediating role of fatigue and the moderating role of extraversion,<title>Can family-work conflict influence safety behavior in airline pilots? The mediating role of fatigue and the moderating role of extraversion</title>,-1
2023,Belgium - France - Italy - Netherlands - Qatar - Serbia - United Kingdom,A Competency Framework for Aviation Psychologists and Human Factors Specialists in Aviation,<title>A Competency Framework for Aviation Psychologists and Human Factors Specialists in Aviation</title>,110
2023,Finland - United Kingdom,Commercial Aircraft-Assisted Suicide Accident Investigations Re-Visited—Agreeing to Disagree?,<title>Commercial Aircraft-Assisted Suicide Accident Investigations Re-Visited—Agreeing to Disagree?</title>,-1
2023,Canada - China,Mining attention distribution paradigm: Discover gaze patterns and their association rules behind the visual image,<title>Mining attention distribution paradigm: Discover gaze patterns and their association rules behind the visual image</title>,-1
2023,France,Reflexion about medical and psychological preparation of air force personnel; Considérations sur la préparation médico-psychologique des personnels de l'armée de l'Air,<title>Reflexion about medical and psychological preparation of air force personnel; Considérations sur la préparation médico-psychologique des personnels de l'armée de l'Air</title>,11
2023,France - India,Understanding quondam commitments to retain employees: insights from the case of flight attendants and pilots,<title>Understanding quondam commitments to retain employees: insights from the case of flight attendants and pilots</title>,-1
2023,United States,Resolving Problems With the Skill Retention Literature: An Empirical Demonstration and Recommendations for Researchers,<title>Resolving Problems With the Skill Retention Literature: An Empirical Demonstration and Recommendations for Researchers</title>,34
2023,United Kingdom - United States,A Qualitative Investigation of Space Exploration Medical Evacuation Risks,<title>A Qualitative Investigation of Space Exploration Medical Evacuation Risks</title>,-1
2023,Turkey,Application of rTMS to the Motor Cortex in a Patient with Startle Reaction: A Case Report,<title>Application of rTMS to the Motor Cortex in a Patient with Startle Reaction: A Case Report</title>,-1
2023,Ireland - Italy,A Mixed-Method Study on Job Satisfaction Among Air Traffic Controllers During the Pandemic: The Roles of Work-Family Interface and Resilience,<title>A Mixed-Method Study on Job Satisfaction Among Air Traffic Controllers During the Pandemic: The Roles of Work-Family Interface and Resilience</title>,129
2023,"Korea, Republic of",Daily Relationships Between Job Insecurity and Emotional Labor Amid COVID-19: Mediation of Ego Depletion and Moderation of Off-Job Control and Work-Related Smartphone Use,<title>Daily Relationships Between Job Insecurity and Emotional Labor Amid COVID-19: Mediation of Ego Depletion and Moderation of Off-Job Control and Work-Related Smartphone Use</title>,203
