"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Supporting multitasking: Evaluation of novel input and output characteristics to support primary and secondary task performance using situation awareness and mental workload","","Tippey, Kathryn Genevieve","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2016-01-01","2016","","","","","","978-1-369-33450-0","ENG","Driving and flying are examples of tasks in dynamic process control environments where performing secondary tasks poses risks to the user, potentially resulting in detrimental effects on situation awareness (SA) and mental workload (MWL). The predominant theories of multitasking emphasize the potential of using alternate information processing channels to better support multitasking, and hence prompt the exploration of novel interface characteristics that may reduce cognitive and structural interference. This dissertation uses measures of SA and MWL to evaluate the potential of input and output display characteristics found in novel technologies, such as Google Glass, Pebble Smartwatch, and Windows Surface, to support multitasking performance. Three experiments were performed to evaluate the following input and output characteristics: voice input (Experiments 1 and 3), head-up display (Experiment 1), size of display (Experiments 2 and 3), use of discrete tactile signals (Experiment 2), and use of continuously informing tactile signals (Experiment 3). Experiments 1 and 2 altered only interface characteristics associated with secondary task performance, while Experiment 1 also altered interface characteristics associated with primary task performance in the attempt to more effectively redistribute MWL.  While Experiments 1 (Texting and Driving with Google Glass) and 2 (Weather Technology Characteristics in General Aviation Cockpits) indicate the potential SA and MWL benefits of using voice input and larger displays for secondary tasks in multitasking settings, Experiment 3 (Supporting Emergency Vehicle Mobile Command Terminal Use While Driving) sheds light on the limitations of these benefits with increasing task complexity. Experiment 1 showed that combining a head-up display with voice input provided additional marginal SA and MWL benefits. Experiment 2 also suggested SA and MWL benefits when using discrete tactile signals to aid in indicating the need for secondary task attentional shifts. Experiment 3 furthered this exploration of tactile signaling by presenting continuously informing vibrations relating to the primary task, exhibiting both the potential benefits of providing continuous information and the potential drawbacks of overreliance on such displays. These findings have the potential to fundamentally change the way users interact with technology by informing the development of and policies surrounding new products using these features.","https://www.proquest.com/docview/1846156515?accountid=16562&bdid=134394&_bd=0D4%2F%2FmYZm5K%2Bd%2F%2FlmzwytxTgdY8%3D",""
"The effects of perceived efficacy, perceived cohesion, and selected non-cognitive individual differences on aviation crews' performance in a dynamic simulator task","","Beaubien, Jeffrey Matthew","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2003-01-01","2003","","","","","","978-0-493-99626-4","ENG","Previous research suggests that perceived efficacy and cohesion are strong predictors of group processes and performance. However, little research has assessed the generalizability of these findings to short-term, crew-based work settings. This study tested a model of the potential antecedents, outcomes, and moderators of perceived efficacy and cohesion using a sample of commercial airline pilots. Retrospective questionnaires were linked with standardized performance evaluations from a full-motion simulated flight. The results suggest that pilots who were high in conscientiousness, self-efficacy, and teamwork competencies perceived their crews to be higher in efficacy and cohesion. However, crew efficacy and cohesion were largely unrelated to crew processes or performance, and these results were not moderated by task-related stress. A competing model—one that does not contain perceived efficacy and cohesion—was also tested. The results suggest that personality characteristics, self-efficacy, and teamwork competencies were unrelated to crew processes and performance. Again, these results were not moderated by task-related stress. Implications and directions for future research are discussed.","https://www.proquest.com/docview/305245366?accountid=16562&bdid=134394&_bd=kWuCJaX2Dr5fIgOZQG5E0ZyAHAM%3D",""
"Study of Psycho-Physiological Correlates of Simulated Vibration Stress After 24 Hour of Wakefulness","","Babrzi, Zahidullah","PQDT - Global","Dissertations & Theses","","","","2019-01-01","2019","","","","","","9798380248075","ENG","Title:Study of Psycho-Physiological Correlates of Simulated Vibration Stress after 24 Hours of Wakefulness.Background and Objectives:Vibration is one of the aviation stressors that the aircrews are confronted with during flight, especially in the Helicopters. The objective is to study the effect of energy drink on cognitive function and physiological parameters when subjected to whole body vibration after 24 hours of wakefulness and compare with control group.Methodology:30 healthy Indian male volunteers participated in the study, conducted at the Institute of Aerospace Medicine, IAF, Bangalore India. The study was carried out on two groups, one control and other study group with energy drink. Each subject was exposed to vibration stressor and asked to perform the reaction time (RT) task of psychomotor vigilance task (PVT) monitor for 10 minute of duration after 24 hrs of wakefulness. Subsequently, the participants performed Psychology Experiment Building Language (PEBL) test. Energy drink Red Bull was asked to consume by the test group, 30 mins before exposure to the vibration stress test.Results & Conclusion:A descriptive statistical analysis of the data was carried out in the study. Significance was set at 5% level of (p<0.05) significance. Repeated measure ANOVA showed statistical significance difference between the variables at baseline and post sleep deprivation post vibration parameters. The PVT performance revealed that with sleep deprivation and vibration stress, the mean time of input increased however, there was no significant increase in mean error. The result of Chalder’s Fatigue Scale show significant increase in sleepiness and weakness post sleep deprivation. The study have also shown that the muscle strength showed significant improvement post energy drink consumption, suggesting the effects of taurine and vitamins and subjective feeling of freshness.","https://www.proquest.com/docview/2866352215?accountid=16562&bdid=134394&_bd=7jSNhWRWKiRYT8sv9Tudvsns53A%3D",""
"Development of a Pilot Selection System for a Midwestern University Aviation Program","","Wilson, Kathryn","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2013-01-01","2013","","","","","","978-1-303-12838-7","ENG","The research for the following paper titled, Development of a Pilot Selection System for a Midwestern University Aviation Program and authored by Kathryn Wilson was conducted at Minnesota State University, Mankato located in Mankato, Minnesota. This study was a requirement of the Industrial/Organizational Psychology Master's Program and was conducted during the 2012-2013 academic school year.  This paper discusses the evaluation of an existing selection system for a Midwestern University's Aviation Program and attempts to find significant predictors of pilot performance using personality measures including the Five Factor Scale, Cockpit Management Attitudes Questionnaire, Self Monitoring Scale, an Integrity Scale, and cognitive measures including Block Counting, Rotated Blocks and Numerical Reasoning. Data from 24 student pilots was examined with bivariate correlations and stepwise regression and results indicate personality plays a role in predicting successful pilot performance. The CMAQ, extraversion and block counting measures were positively correlated with facets of performance including decision making in-flight, consistently arriving on-time for lessons, and situational awareness in-flight, respectively. Also, agreeableness predicted a negative relationship with situational awareness in-flight and instructor rating of performance. Based on the results, it is suggested the current selection measure consist of the Five Factor Scale, CMAQ, Block Counting and Rotated Blocks measures and be validated in the future to evaluate reliability.","https://www.proquest.com/docview/1400506959?accountid=16562&bdid=134394&_bd=hYQAVMSFVQPy4NY2RTEGWO365Sk%3D",""
"Factors Leading to Human Error in Commercial Aviation Line Maintenance","","Froslee, Hans Michael","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2011-01-01","2011","","","","","","978-1-124-87724-2","ENG","Since World War II, commercial aviation, in partnership with aircraft manufacturers and regulatory agencies, has endeavored to promote safety by increasing system reliability. This effort has fostered a learning culture in the industry, moving many carriers toward becoming a high reliability organization (HRO). A core HRO characteristic is a preoccupation with detecting conditions leading to system failure. The Federal Aviation Administration, in partnership with the National Aeronautics and Space Administration, established the Aviation Safety Reporting System (ASRS) to provide a vehicle for personnel to self-report safety concerns. This study examined 361 ASRS cases voluntarily reported by maintainers from 2002 to 2007. The Human Factors Analysis Classification System-Maintenance Extension (HFACS-ME) was used to code conditions that can precipitate failures in pre- and postflight servicing, planned maintenance, and unplanned maintenance. The findings identified 4 specific latent conditions, or 15% of those provided by HFACS-ME, that can affect maintenance: adverse mental state, inadequate training or preparation, inadequate communication, and inadequate assertiveness. The results showed how these four conditions make up 66% of the factors influencing error on the flight line. These results may be used for commercial aviation maintenance to increase maintainer awareness of conditions leading to maintenance error. This awareness can promote the safety refinement of specific human intervention patterns through self-realization by line maintenance personnel. Implications for positive social change include improving workforce awareness of latent conditions that could lead to improved commercial aviation safety.","https://www.proquest.com/docview/895975141?accountid=16562&bdid=134394&_bd=VZHAyRgbNdS3%2BXQBTD1ghaVnOII%3D",""
"Training and Development for Crisis Situations and Disasters - An Approach Focused on Training Design","","Lehmann, Melanie","PQDT - Global","Dissertations & Theses","","","","2022-01-01","2022","","","","","","9798383245583","ENG","This paper examines how people around the world are being trained for crisis situations while identifying the required skills and competencies taught, with a special focus on soft skills. For the latter, a systematic crisis training literature review following the SPIDER approach was conducted on Google Scholar. For the examination of training designs, a benchmarking of training websites on Google was completed. Frequency analyses were finally conducted, resulting in practical recommendations for future research and practice in the crisis training niche, ultimately aiming at facilitating crisis management and skills trainings worldwide to better prepare the society for inevitable critical events.","https://www.proquest.com/docview/3085954590?accountid=16562&bdid=134394&_bd=cJUJyc11yBw0CQm%2F6DM7a4g3yqQ%3D",""
"A longitudinal model of social amplification of commercial aviation risks: Exploring United States news media attention to fatal accidents and media effects on air travel behavior, 1978–2001","","Romantan, Anca","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2004-01-01","2004","","","","","","978-0-496-85238-3","ENG","This dissertation addresses two questions: what determines U.S. news media coverage of fatal airplane accidents, and what is the effect of coverage and of media representations on the number of passengers who fly. It builds on theories of risk and theories of media effects integrating the concept of signal value and exploring how the news media react to a class of risks and generate processes of social amplification of risks in the population. Analyses combined content analyses of the amount and nature of Associated Press (AP) and television coverage of fatal accidents with government data about accidents and enplanements over the period from 1978 to August 2001. Findings suggest that news media attention to fatal accidents is a function of signal value components. Fatalities, carrier type, accident location, the intensity of media representations of accidents as air terrorism, and as mysterious, as well as the density of past accidents—generate coverage independently, but also in complex interactions. Fatalities is the strongest predictor of coverage. The full models accounted for 70% and 62% of the variance in AP and television news coverage, respectively. Some components—fatalities, carrier type, and representations of air terrorism—reinforce each other, generating spiraling amplification in coverage. Regarding the issue of time-concentrated reactions to risks, accidents occurring in periods dense in accidents have a higher likelihood of being selected for television coverage. However, they reduce the positive effect of fatalities and of links to air terrorism on coverage, perhaps because of disaster fatigue or competition for a limited news hole among the accidents covered. Addressing the media effects question, time-series analyses produced some evidence that air travel behavior responds inversely to the volume of media coverage. Media influence is non-linear: behavior tracks coverage inversely only after a threshold is reached and levels off at high levels of coverage. Furthermore, coverage effects are also contingent on monthly fatalities, density of accidents and media representations of accidents as the result of air terrorism. The latter interaction strengthens claims about a media effect on behavior resulting from the combined effect of volume of coverage and media representations.","https://www.proquest.com/docview/305144193?accountid=16562&bdid=134394&_bd=7F5jYzzStsrOh6wRFF9vLAEMJEc%3D",""
"Challenges of Aviation Security Regulation in Norwegian Post 9/11","","Olsvik, Elise Anonby","PQDT - Global","Dissertations & Theses","","","","2015-01-01","2015","","","","","","9798280744950","ENG","The 9/11 terrorist attacks in the USA had wide-ranging consequences for security issues in Western societies. Within civil aviation, the attacks became grim evidence that the security system constructed to prevent intentional attacks was deficient. In Europe, the European Union took on the responsibility to gather European civil aviation security under one banner, relieving the EU members’ national legislation on aviation security, uniting it through implementing one common supranational regulation for all EU countries.As a non-EU member, Norway was obligated by the European Economic Area Agreement (EEA Agreement) to implement the same regulations as the EU countries to avoid being banned from the One-Stop Security regime that had been in effect prior to the 9/11 attacks. The bearing principle in the OneStop Security regime is that any passenger who is security screened at any entry point within the system will forego any new screenings whilst travelling within the system. Therefore, every airport participating in this system must, regardless of size, implement measures that ensure that the EU regulative level is maintained at the same predefined level. In order to achieve this, a highly prescriptive regulation was developed, based on main documents from the International Civil Aviation Organisation (ICAO) that had previously been applied as guiding documents for the national civil aviation regulations and legislation. These documents had previously provided recommendations that each country was only obliged to report deviations from, but after 9/11 these became mandatory in the new EU regulation. This thesis aims at describing the consequences of this regulatory transition by investigating the following research problem: “What are the consequences of implementing EU security regulation in the Norwegian civil aviation system?”The main aim is, thus, to discover possible consequences of the regulatory system instated post 9/11, both on the authority and airport levels, connecting regulatory types to organisational challenges. In order to study these issues, a charting of the Norwegian civil aviation system and the regulatory landscape was performed by interviewing the main actors and authorities within Norwegian civil aviation. Thereafter, fieldworks were conducted at three different sized airports. In addition, to understand the findings of the Norwegian implementation, a comparative case was made by conducting interviews with key actors in the Icelandic civil aviation system. This comparison was intriguing since Iceland, like Norway, is obligated through the EEA Agreement, yet Iceland chose a different implementation than Norway. Airport security can be defined as a High Reliability Organisation (HRO), as defined by Weick et al. (Weick, Sutcliffe, & Obstfeld, 1999, p. 90). These are organisations that operate in a highly unforgiving environment which, in case of errors, has the potential for disastrous outcomes. As security is threatened by different kinds of risks than those with which HRO theory and literature normally have been occupied, I argue that this has less importance when the purpose is to investigate which factors produce reliable outcomes in organisations, regardless of whether the threats are intentionally caused (security) or accidentally caused (safety). Thus, studies on security can be profitably incorporated into the vast literature on organisational safety and reliability. The findings from this study reveal a high degree of constraint at the airport level, both among leaders and employees, caused by the construction of the security regulation and its implementation. Possibilities for action, through influence and involvement in regulatory processes, decreased exponentially with the increase in details and prescription after 9/11. Possibilities for action, or ‘space for action’ as it has been labelled in this thesis, is what facilitates the organisation to adapt and adjust regulation into the context. Seen in relation to HRO principles, limited possibilities for action may lead to mindlessness and, thus, threaten the overall reliability in an organisation. Consequences will necessarily follow a groundbreaking event like what occurred on 9/11. Not only did the security system demonstrate its limitations, but the symbolic value was also high. Consequently, this will affect people’s perception of the trustworthiness of the system. Authoritative action will be essential, and speed will demonstrate vigour. The regulatory work inaugurated in the hours following the terrorist act on 9/11 has unquestionably heightened the security level for civil aviation. However, more than a decade later, it is possible to explore the transition in hindsight to see its consequences in the actual context of the airport. ","https://www.proquest.com/docview/3228734003?accountid=16562&bdid=134394&_bd=fl%2FQ6pJaz8w7BO1fdebjguipfoM%3D",""
"Estimating Capacity Requirements for Mental Health Services After a Disaster Has Occurred: A Call for New Data","","Siegel, Carole E; Laska, Eugene; Meisner, Morris","American Journal of Public Health","Scholarly Journals","","94","4","2004-04-01","Apr 2004","582","","582-5","00900036","","","ENG","Siegel et al seek to estimate the extended mental health service capacity requirements of persons affected by the Sept 11, 2001 terrorist attacks. After a thorough study they recommend research-based surveys to understand service usage in non-mental health settings and suggest that federal guidelines be established to promote uniform data collection of a core set of items in studies carried out after disasters.","https://www.proquest.com/docview/215089751?accountid=16562&bdid=134394&_bd=JU%2B8hbhpeyBo7EvJhm5hvFvj6sw%3D",""
"The effect of spectrally selective filters on color perception and aviation performance","","Svec, Leedjia","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2005-01-01","2005","","","","","","978-0-542-60298-6","ENG","Color vision is within ourselves as well as the environment. Color vision is of extreme importance to pilots and in other occupations that require excellent color discrimination. Advancements in laser technology, however, have required the need for laser eye protection. Laser eye protection alters the spectral world that pilots and other professionals must work in. Understanding the effects of these alterations is necessary to prevent mishaps and further applied color vision knowledge. The present study experimentally manipulated the spectral environment and aviation tasks faced by military pilots. Several spectrally selective filters were used to modify the spectral environment. Subjects performed a wide and inclusive range of color vision and aviation tasks with the filters. The effects of these filters on color vision were modeled after current theories of color processing. The predicted results were compared with the actual results. It was found that color vision is both enhanced and decreased by spectrally selective filters, with certain filters safety is compromised when pilots are distracted, and computational modeling may offer predictive benefits in understanding filter and vision interactions. This research contributes to both applied and basic theories regarding the complex relationship between color vision, filters, and aviation.","https://www.proquest.com/docview/305429655?accountid=16562&bdid=134394&_bd=%2F4fiarvKgC0f8eOuzdxlt0DKZUM%3D",""
"Supporting pilot procedure following in nominal and off-nominal situations through the use of displays of procedure context","","Landry, Steven J.","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2004-01-01","2004","","","","","","978-0-496-87883-3","ENG","This dissertation provides evidence that information displays to support procedure following can aid performance and increase situational awareness and safety. The intent of such displays is to assist operators in not only following operational procedures, but also in comprehending the context of the procedures, enabling them to understand why, when, and how to deviate from the procedures if necessary. The results of the dissertation research show that the addition of procedure context increases situation awareness and reduces procedure-following errors, which has been shown to be a significant causative factor for accidents in aviation and other domains. In addition, a pilot's ability to comprehend noncompliance appears to be limited, despite their interest in (and ability to) detect noncompliance. Pilots do not appear be able to interpret the consequences of that noncompliance, suggesting that the design of displays and procedures should assist them in doing so. The results also demonstrate that pilots attempted to use procedure information even when clearly outside the scope of the procedure. This means that procedures and procedure-support aids should consider operation outside of its normal bounds in their design, rather than only for nominal operation as is currently the case.","https://www.proquest.com/docview/305185217?accountid=16562&bdid=134394&_bd=CLsMlFkd7oJsEBvcxwK66Ef6n5c%3D",""
"Effects of interdisciplinary high fidelity simulations: A look at initial industry success in aviation","","Beaufore, Amanda","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2016-01-01","2016","","","","","","978-1-339-74366-0","ENG","This study aimed to examine the effectiveness of interdisciplinary team training for aviation students at the collegiate level.  As it stands, students in the aviation program are trained in academic silos creating a lack of a shared mental model between team members of different disciplines.  Without a shared mental model, students in various disciplines are unaware of other’s knowledge and abilities related to their own.  This proves problematic once on the job, where aviation students are required to work in teams consisting of members from all disciplines (Swan, Scarbrough, & Newell, 2010).  With little to no prior training in teamwork between specializations, newly hired aviation employees may lack the interpositional knowledge, and teamwork skills, and abilities to perform adequately.  In order to address this need for teamwork training in the aviation industry, a NASA funded high fidelity flight operation center unified system (FOCUS Lab) was developed to aid in developing aviation students’ teamwork skills.  The FOCUS Lab simulates the environment in an airline’s Flight Operations Center.  While studies show that participants of the FOCUS Lab like the training and are learning and improving across simulations despite the increasing difficulty level (Littlepage et al., 2013; Littlepage, Hein, Moffett, Craig, & Georgiou, 2015), there has not been a study looking to see if these skills transfer beyond the simulation.  The purpose of the FOCUS Lab is to better prepare students for the workforce; however, if the skills do not transfer, then we cannot truly verify the success of the FOCUS Lab.  The Research Question for this study was what are the effects of high fidelity simulation training on initial employment experiences?  Participants consisted of aviation graduates from a large Southeastern University.  Additionally, as a control group Industrial and Organizational Psychology graduates were contacted as well.  Seven-hundred and three participants were contacted via e-mail and asked to complete an online Qualitrics quiz.  Results from the survey suggested that those graduating from the FOCUS Lab had lower turnover intentions and demonstrated more adequate teamwork skills in interdependent work settings.  Implications, limitations, and suggestions for future research are discussed.","https://www.proquest.com/docview/1797617811?accountid=16562&bdid=134394&_bd=DR1foFvm%2FPW360jEOgLJwx5GrIg%3D",""
"Use of discriminitave auditory cue to improve landing flare performance","","Benbassat, Danny","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2002-01-01","2002","","","","","","978-0-493-85434-2","ENG","The transition from a controlled descent to actual contact with the runway surface is crucial to a successful landing. That transition is known as the landing flare and allows the aircraft to gently settle on its main landing gear. Nevertheless, landing flare accident rates are relatively high and past studies have implicated flaws in flare instruction. This study tested the effectiveness and ergonomics of an alternative landing flare method. Twenty-six participants with no prior aviation background were trained to land a Cessna 182S simulator. Control participants were provided with traditional landing flare instruction and experimental participants with a discriminative auditory cue. Results indicated that control participants flared significantly higher, registered higher impacts at touchdown, and appeared to initiate the flare in a trial-and-error fashion. Thus, applying simple behavioral concepts to flare training may facilitate proper flares and reduce landing flare accidents rates.","https://www.proquest.com/docview/276309553?accountid=16562&bdid=134394&_bd=%2BI7lkoOm6cahSBhv1hqbLZHTDDU%3D",""
"A long and productive career: Franklin M. Henry--Scientist, mentor, pioneer","","Park, Roberta J","Research Quarterly for Exercise and Sport","Scholarly Journals","","65","4","1994-12-01","Dec 1994","295","","295-307","02701367","","","ENG","Franklin M.  Henry, Professor Emeritus of Physical Education at the University of California Berkeley, is profiled.  Franklin has made countless contributions to research and professional organizations in his field.","https://www.proquest.com/docview/218532416?accountid=16562&bdid=134394&_bd=sNhyzT3psQhTqE3TTwwkmwVdusk%3D","https://doi.org/10.1080/02701367.1994.10607633"
"Pilots' Likelihood to Quit Flying in Part 121 Commercial Aviation","","Tamilselvan, Gajapriya","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2018-01-01","2018","","","","","","978-0-438-97660-3","ENG","he purpose of the study was to develop a statistical model representing predictors to anticipate pilots’ likelihood to quit flying in Part 121 Commercial Aviation. The study was primarily focused on the current Part 121 pilots in the United States. The study was designed with a correlational methodology and multiple linear regression was employed as the statistical procedure to analyze the data collected from diverse sources. The sample of the study consists of 163 participants (33 females), and all of them currently working for either major or regional airline in the United States respectively. Simultaneous regression strategy was used to regress all 22 predictors with the outcome variables to generate significant results. The predictors were age, experience in flight hours, education, gender, race/ethnicity, organizational culture, workload, type of airline, current role, job satisfaction, months to upgrade from first officer to captain, years of service employed at current airline, total years of service as an Airline Transport Pilot, salary, marital status, level of spousal income, time away from spouse, number of dependent children, gender discrimination, sexual harassment, medical certification, and fatigue. The outcome variable was pilots’ likelihood to quit flying in Part 121 commercial aviation. Due to the presence of missing data points, multiple imputation was employed as the missing data handling procedure to generate complete datasets. The results of this study suggested that job satisfaction, annual salary before taxes, married vs cohabiting comparison, and medical certification significantly predict pilots’ likelihood to quit flying in Part 121 commercial aviation. Further information on limitations, recommendations for practice, and future research recommendations were addressed.","https://www.proquest.com/docview/2201448408?accountid=16562&bdid=134394&_bd=HRUUqLNax%2FPAwo4FKS%2FyyOQlsdg%3D",""
"A mixed method approach to collegiate aviation self-assessment of G-load on landing: Pilot perception versus reality","","Hensellek, Karin Louise","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2013-01-01","2013","","","","","","978-1-303-43859-2","ENG","Because there is no universal definition of a hard landing, pilots themselves must determine if a landing was hard enough to require an unscheduled maintenance inspection. Large, transport category aircraft are equipped with flight data monitoring (FDM) as a secondary data source that can help pilots determine if a hard landing occurred, but FDM is not commonplace in general aviation. It is important for a pilot to be able to differentiate between a firm landing that does not cause damage to the aircraft and hard landing that potentially could cause damage to the aircraft by means of vestibular, visual, and proprioceptive cues. Self-assessment of these cues helps pilots determine if the landing should be considered a hard landing. Self-assessments are subjective and depending upon metacognitive level, a pilot may fall prey to self-serving bias.  To determine if self-serving bias is present in the aviation domain, participants completed a survey on landing perceptions. Additionally, flight data monitoring equipment provided actual landing data. Results suggest that self-serving bias is not common in the aviation domain unlike existing literature suggests. Many participants were unable to accurately perceive landing G-load, indicating that FDM equipment provides reliable data.","https://www.proquest.com/docview/1449156733?accountid=16562&bdid=134394&_bd=Obv0093eti0vLZiVJGy7HqSKIRg%3D",""
"A simulation study of pilots' ability to perceive angular motion under the influence of alcohol","","Mughni, Wali N.","ProQuest Dissertations and Theses","Dissertations & Theses","","","","1994-01-01","1994","","","","","","979-8-209-63871-1","ENG","Abstract not available.","https://www.proquest.com/docview/878700523?accountid=16562&bdid=134394&_bd=i6RQdZxxPaWhkmV2Sb%2BBgzJS7sU%3D",""
"Niche Channels : A Study on Status and Trends in India","","Khaneja, Priyanka","PQDT - Global","Dissertations & Theses","","","","1999-01-01","1999","","","","","","9798346531555","ENG","The purpose of this study is to study the trends of viewership of niche channels in India. The scope of the study is restricted to Music Channels, Information Channels(Discovery) and News Channels(Star News).Secondary research was carried out by studying the trends of ratings and channel share of these channels from INTAM across of two periods of Jan'98- Mar'98 and Nov'98-Jan'99. The target audience was SEC A & B, 15-24 years and 25-34 years.Primary research was conducted among 10 media planners, 40 households and two channel marketers.The analysis of ratings showed that the ratings for these channels peaked during prime-time which in India is the time when TV viewing is the highest. The ratings are higher for weekends then for weekdays.The most favourable time-band for Discovery is from 8:00 p.m.-11:00 p.m. for all the target audiences studied. Ratings have shown a considerable increase across the two periods for Discovery and MTV. Ratings for Channel V have seen a considerable decline during this period. The peak ratings across music channels correspond to Hindi music programmingThe survey among the media planners showed that from a broad perspective niche channels can be defined by the genres of programming, which means there are certain kinds of programming preferred by certain segments of the audience. Thus these channels cater to a Particular need of that small segment of the audience. The role of these channels is to provide an environment, for qualitative factors that go beyond numbers and to provide additional reach within a particular reach more cost effectively as compared to popular, general entertainment channels.In-spite of all the reasons cited by the media planners, advertising on these channels still seems to be guided by the good deals offered by them and their marketing efforts.The survey conducted among the viewers showed that Discovery was emerging as a preferred channel for males both in the 15-24 years and in 25-34 years age group. The core audience for music in terms of preference of programming was the youth(15-24 years). Among the music channels MTV was the Top of mind channel followed by Channel V and Music Asia. Although ratings for Music Asia are higher than Channel V, it was not mentioned as a preferred channel by the youth as it as a down-market image in this audience. Music as a genre was also doing well among 25-34 years females with MTV taking the lead again, followed by Music Asia and Channel V lagging behind.Discovery has aspirational value for viewers in India. It is a channel which they like to say they watch but, as of now, actual viewership is much lower than claimed viewership. As far as news channels are concerned the core audience was 25-34 years males. Star News emerged as the most popular news both for its content as well as presentation followed by . DD1 still retains its credibility for the national news. The 7:00-7:30p.m. and the 9:00-9:30p.m. day-parts are doing the best for Star News channel","https://www.proquest.com/docview/3132877633?accountid=16562&bdid=134394&_bd=rksapMJY%2FKAE8FYIhB1ucKDPwGI%3D",""
"Developing a Training Program for the Traffic Alert and Collision Avoidance System in Context","","Fleming, Elizabeth S.","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2013-01-01","2013","","","","","","9798263349639","ENG","The Traffic alert and Collision Avoidance System (TCAS) is an aircraft collision avoidance system designed to prevent mid-air collisions. During an advisory, danger is imminent, and TCAS is assumed to have better, more up-to-date information than the ground operated air traffic control (ATC) facility. Following a TCAS RA is generally the safe course of action during an advisory. However, pilot compliance with RAs is surprisingly low. Results from a TCAS monitoring study show pilots are not complying with many TCAS advisories. As revealed by pilot-submitted Aviation Safety Reporting System (ASRS) reports, this noncompliance could be attributed, in part, to pilot confusion to TCAS operation as well as misunderstandings of the appropriate response to a TCAS issued advisory.This thesis details the development and evaluation of a TCAS training program intended to improve pilots’ understanding of TCAS use for collision avoidance in a range of traffic situations. The training program integrated Demonstration Based and Event Based Training techniques. Its efficacy was analyzed in an integrated ATC-cockpit simulator study in which eighteen commercial airline pilots were asked to complete the TCAS training program and afterwards experienced twelve experimental traffic events. The trained pilots’ performance was compared to the performance of 16 baseline pilots who did not receive the modified training.Overall, the training program did have a significant impact on the pilots’ behavior and response to TCAS advisories. The measure Time Pilots First Achieved Compliance decreased with the trained pilots, as did the measure Autopilot Disconnect Time AfterA Initiation. Trained pilots exhibited less aggressive performance in response to a TCAS RA (including a decrease in the measures Altitude Deviation Over Duration Of RA, Average Vertical Rate Difference, Maximum Vertical Rate Difference, and Maximum Vertical Rate). The measure Percent Compliance did not significantly vary between trained and baseline pilots, although trained pilots had a more consistent response in the traffic event with conflicting ATC guidance. Finally, on the postexperiment questionnaires, pilots commented on their increase in understanding of TCAS as well as an increase in their trust in the advisory system.Results of this research inform TCAS training objectives provided by the FAA as well as the design of TCAS training. Additionally, conclusions extend more broadly to improved training techniques for other similar complex, time-critical situations.","https://www.proquest.com/docview/3275487432?accountid=16562&bdid=134394&_bd=W%2BLDPDf6KF5pY2VG7CQsQC3BsTw%3D",""
"An exploration of workplace preparedness for the spectrum of critical incidents: Business preparedness for the human factor in a variety of emergencies","","Benson, Lynn","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2006-01-01","2006","","","","","","978-0-542-77705-9","ENG","This research is based on a questionnaire that surveyed businesses in Maine with regard to participants' knowledge of critical incident preparedness plans at their workplace. The design of this study was a questionnaire with one open ended question for qualitative data and statistical analysis of the remainder of the questions. The analysis used a correlational methodology comparing the relationship between the understanding of their company's plan and several variables (knowledge of the plan compared to gender, age, and time with company and history of exposure). All types of employers may be affected by workplace downsizing, violence, and terrorism. It is important to understand the human-related, negative consequences that can occur in the aftermath of a critical incident. Crisis Care Network and International Critical Incident Stress Foundation are two organizations that are available for critical incident training and preparation of critical incident plans. The results indicated that participating businesses are prepared for evacuation; however, none of the surveyed workplaces appeared to be prepared for the spectrum of critical incidents. A recommendation drawn from this research is to involve all employees, giving each a role in the preparedness plans of their workplace. This will enable each employee a greater understanding and a larger degree of participation during a critical incident. This study concludes that a majority of the participants indicated there was no plan at their workplace. Therefore there should be more focus on encouraging businesses to develop plans.","https://www.proquest.com/docview/304908137?accountid=16562&bdid=134394&_bd=wNK%2FJ%2FNdGYb1KYtc5cR%2B%2FYtUCVQ%3D",""
